,rights
1800,6.308669981081039e-05
1801,7.072746666381136e-05
1802,9.901163866743445e-05
1803,6.466128252213821e-05
1804,6.252112507354468e-05
1805,6.890981603646651e-05
1806,6.440778815886006e-05
1807,7.363352051470429e-05
1808,6.855616084067151e-05
1809,6.040557855158113e-05
1810,6.27090412308462e-05
1811,8.083171996986493e-05
1812,9.562509512761608e-05
1813,9.026912448462099e-05
1814,9.120254253502935e-05
1815,7.92217833804898e-05
1816,8.437580254394561e-05
1817,9.248257265426219e-05
1818,8.010376041056588e-05
1819,7.582167017972097e-05
1820,7.450877455994487e-05
1821,6.730421591782942e-05
1822,6.938481237739325e-05
1823,6.884026515763253e-05
1824,6.36296026641503e-05
1825,7.547507993876934e-05
1826,8.036802319111302e-05
1827,7.785049820085987e-05
1828,8.127444016281515e-05
1829,8.708210953045636e-05
1830,8.706413063919172e-05
1831,8.372174488613382e-05
1832,0.00018744560657069087
1833,9.531311661703512e-05
1834,8.778935443842784e-05
1835,8.644040644867346e-05
1836,9.895395487546921e-05
1837,8.936097583500668e-05
1838,8.427185821346939e-05
1839,8.477416849927977e-05
1840,8.251583494711667e-05
1841,8.429980516666546e-05
1842,7.07965373294428e-05
1843,8.087691094260663e-05
1844,7.85135489422828e-05
1845,8.411778981098905e-05
1846,9.377446258440614e-05
1847,7.901160279288888e-05
1848,9.018976561492309e-05
1849,8.798049384495243e-05
1850,8.894239726942033e-05
1851,8.962396532297134e-05
1852,9.00755258044228e-05
1853,9.652241715230048e-05
1854,9.14930715225637e-05
1855,8.774905290920287e-05
1856,9.35532443691045e-05
1857,8.497003727825359e-05
1858,9.294715709984303e-05
1859,8.01952846813947e-05
1860,8.902112313080579e-05
1861,9.205617243424058e-05
1862,8.15082312328741e-05
1863,8.795381290838122e-05
1864,9.271023009205237e-05
1865,8.832143066683784e-05
1866,0.00010317015403416008
1867,8.913736382964998e-05
1868,9.185845556203276e-05
1869,8.654614794068038e-05
1870,9.312673500971869e-05
1871,9.003046579891816e-05
1872,9.124471398536116e-05
1873,9.414105443283916e-05
1874,9.015161049319431e-05
1875,9.71348345046863e-05
1876,9.067709470400587e-05
1877,9.254130418412387e-05
1878,9.024405881064013e-05
1879,8.999905548989773e-05
1880,9.17567012947984e-05
1881,9.332528861705214e-05
1882,9.657481859903783e-05
1883,9.297890937887132e-05
1884,0.00010276147804688662
1885,9.733549086377025e-05
1886,0.00011125071614515036
1887,0.00010554601612966508
1888,0.00010177508374908939
1889,9.508954099146649e-05
1890,9.87778403214179e-05
1891,9.422245057066903e-05
1892,9.675180626800284e-05
1893,9.373616194352508e-05
1894,9.716331260278821e-05
1895,0.00010495237802388147
1896,9.664981189416721e-05
1897,9.910026710713282e-05
1898,9.852826042333618e-05
1899,9.311106259701774e-05
1900,9.667908307164907e-05
1901,0.00010372621181886643
1902,9.549206879455596e-05
1903,0.0001014567242236808
1904,0.00010068203118862584
1905,0.00010311124788131565
1906,0.00011106066085631028
1907,0.00010221483535133302
1908,0.0001015968737192452
1909,0.00010340337757952511
1910,0.00010491204739082605
1911,0.00010494671732885763
1912,0.00011388544226065278
1913,0.00010575620399322361
1914,0.00010782782192109153
1915,0.00011295020522084087
1916,0.00010901585483225062
1917,0.00011110442574135959
1918,0.00010601303074508905
1919,0.00011098057439085096
1920,0.00010242339340038598
1921,0.00010088232374982908
1922,0.00010531993029871956
1923,0.00010139517689822242
1924,9.965691424440593e-05
1925,9.720693924464285e-05
1926,0.00010468577238498256
1927,0.0001003901197691448
1928,0.00010256461973767728
1929,9.817822865443304e-05
1930,9.833645890466869e-05
1931,0.00010165001731365919
1932,0.00010110892617376521
1933,9.933661203831434e-05
1934,0.0001015885645756498
1935,9.98784089460969e-05
1936,0.00011343588266754523
1937,0.00010572332394076511
1938,0.0001113526668632403
1939,0.00011815991456387565
1940,0.00011714026186382398
1941,0.00011874155461555347
1942,0.00011808849376393482
1943,0.00011737595195882022
1944,0.00011037478543585166
1945,0.00011580502905417234
1946,0.00011115105007775128
1947,0.00012777785013895482
1948,0.00012351368786767125
1949,0.00012473460810724646
1950,0.00011019985686289147
1951,0.00011025698768207803
1952,0.00010927159746643156
1953,0.00011155622632941231
1954,0.00011845735571114346
1955,0.00011343852384015918
1956,0.00010918646876234561
1957,0.00011707119847415015
1958,0.00010342189489165321
1959,0.0001117102219723165
1960,0.00011536576494108886
1961,0.00010691271745599806
1962,0.0001025732490234077
1963,0.00011049831664422527
1964,0.00011194669787073508
1965,0.0001157903898274526
1966,0.00011087535676779225
1967,0.00011638410796876997
1968,0.0001153362900367938
1969,0.00011291776900179684
1970,0.00012008962949039415
1971,0.00011538340186234564
1972,0.00012059850996593013
1973,0.00011727338278433308
1974,0.00012037986743962392
1975,0.00012316979700699449
1976,0.0001272340159630403
1977,0.00013932303409092128
1978,0.0001421347405994311
1979,0.00013750093057751656
1980,0.00013158981164451689
1981,0.0001342662435490638
1982,0.00013727213081438094
1983,0.00013568258145824075
1984,0.00013038500037509948
1985,0.00013662352284882218
1986,0.00013600564852822572
1987,0.00014831531734671444
1988,0.00014392334560398012
1989,0.00014578706759493798
1990,0.00014768284745514393
1991,0.00015405980229843408
1992,0.0001561894896440208
1993,0.00016101244546007365
1994,0.00016207642329391092
1995,0.00016770399815868586
1996,0.00017235738050658256
1997,0.00017370382556691766
1998,0.0001777316356310621
1999,0.00018033955711871386
2000,0.00017406784172635525
2001,0.00017649863730184734
2002,0.00017910939641296864
2003,0.00017671394743956625
2004,0.00017199777357745916
2005,0.00017233804101124406
2006,0.00016667970339767635
2007,0.00016505994426552206
2008,0.00015830615302547812
2009,0.0001540271332487464
2010,0.00015713255561422557
2011,0.00017253364785574377
2012,0.00018381989502813667
2013,0.00016444738139398396
2014,0.0001566869323141873
2015,0.0001603354321559891
2016,0.00017884325643535703
2017,0.0001351884420728311
2018,0.00013285833119880408
2019,0.00012850892380811274
