,say
1800,0.00034331195638515055
1801,0.00029746771906502545
1802,0.0002613101387396455
1803,0.0002795082691591233
1804,0.00034259038511663675
1805,0.0003080520255025476
1806,0.0003465278714429587
1807,0.0003223409876227379
1808,0.0004272549122106284
1809,0.00041398705798201263
1810,0.00038819617475382984
1811,0.000430145300924778
1812,0.00046870039659552276
1813,0.00039067090256139636
1814,0.00039382901741191745
1815,0.0003726453287526965
1816,0.0005013679037801921
1817,0.0004100216319784522
1818,0.0003841935540549457
1819,0.0003616096219047904
1820,0.0004586775612551719
1821,0.00044355064164847136
1822,0.00041173442150466144
1823,0.00042044356814585626
1824,0.00043788511538878083
1825,0.00042767261038534343
1826,0.00042069569462910295
1827,0.0003915742563549429
1828,0.0004131410096306354
1829,0.0003987903182860464
1830,0.00043733068741858006
1831,0.000455343397334218
1832,0.000448431761469692
1833,0.00045799731742590666
1834,0.00044243934098631144
1835,0.0004286847834009677
1836,0.00044191241613589227
1837,0.0004326222697272897
1838,0.00044956858619116247
1839,0.0004454097361303866
1840,0.0004257801629137248
1841,0.000433099310612306
1842,0.000428665429353714
1843,0.00045972593943588436
1844,0.0004643680003937334
1845,0.00042149145156145096
1846,0.00043935951543971896
1847,0.00041985829011537135
1848,0.00045204246998764575
1849,0.0004182271659374237
1850,0.0004515036125667393
1851,0.0004419485048856586
1852,0.00044660907587967813
1853,0.00047476906911469996
1854,0.00043137825559824705
1855,0.000428323051892221
1856,0.00043379346607252955
1857,0.0004412924172356725
1858,0.0004387743247207254
1859,0.0004271719662938267
1860,0.0004651275812648237
1861,0.0004517740453593433
1862,0.00046853700769133866
1863,0.0004342701577115804
1864,0.0004665542801376432
1865,0.00045806358684785664
1866,0.0004745399346575141
1867,0.00046504050260409713
1868,0.0004772012180183083
1869,0.0004884974332526326
1870,0.0004802268813364208
1871,0.00046872824896126986
1872,0.0005236112629063427
1873,0.00045205181231722236
1874,0.00046753385686315596
1875,0.0004551185993477702
1876,0.00046361517161130905
1877,0.00045292970025911927
1878,0.0004547994176391512
1879,0.0004544963885564357
1880,0.0004361298051662743
1881,0.00044574023922905326
1882,0.00046520985779352486
1883,0.0004357043362688273
1884,0.00044946608250029385
1885,0.00043824929161928594
1886,0.0004365718050394207
1887,0.00044902291847392917
1888,0.0004355653072707355
1889,0.00042811373714357615
1890,0.00041641833377070725
1891,0.00042038309038616717
1892,0.00042539657442830503
1893,0.00042576121632009745
1894,0.00043126053060404956
1895,0.0004034349403809756
1896,0.00040537165477871895
1897,0.0003820955753326416
1898,0.00038947947905398905
1899,0.0004173358320258558
1900,0.0004092543967999518
1901,0.00038773115375079215
1902,0.00038498768117278814
1903,0.00037796146352775395
1904,0.00038048968417569995
1905,0.00035081803798675537
1906,0.0003693223698064685
1907,0.00035909362486563623
1908,0.00037096606683917344
1909,0.00037118059117347
1910,0.0003479821316432208
1911,0.0003561645862646401
1912,0.0003623997326940298
1913,0.00034939442411996424
1914,0.0003393793595023453
1915,0.0003052646352443844
1916,0.0003335365036036819
1917,0.0003084509226027876
1918,0.00031829994986765087
1919,0.00032958065276034176
1920,0.0003307574661448598
1921,0.00031264437711797655
1922,0.0003121732152067125
1923,0.0003068175574298948
1924,0.00033887819154188037
1925,0.0003016990958712995
1926,0.00031365203903988004
1927,0.00029069758602418005
1928,0.00030172374681569636
1929,0.0002962063590530306
1930,0.0002912141790147871
1931,0.0002737710310611874
1932,0.0002857948711607605
1933,0.0002666655054781586
1934,0.0002967731561511755
1935,0.00029637565603479743
1936,0.00028548328555189073
1937,0.0002738386392593384
1938,0.0002737687318585813
1939,0.00028123112861067057
1940,0.00025583768729120493
1941,0.00025784652098082006
1942,0.0002655457647051662
1943,0.0002827874559443444
1944,0.00027756360941566527
1945,0.00028400865267030895
1946,0.0002929996117018163
1947,0.0003009192587342113
1948,0.0002979226119350642
1949,0.0002667676890268922
1950,0.0002800410147756338
1951,0.00029297018772922456
1952,0.00030359416268765926
1953,0.00028529088012874126
1954,0.00027090648654848337
1955,0.00029102718690410256
1956,0.00029369606636464596
1957,0.00028829360962845385
1958,0.00027765336562879384
1959,0.0002656434662640095
1960,0.00026188138872385025
1961,0.0002652800758369267
1962,0.0002619330771267414
1963,0.00026003760285675526
1964,0.00026213322416879237
1965,0.00025615538470447063
1966,0.0002683919738046825
1967,0.0002659520832821727
1968,0.0002724729711189866
1969,0.00027006224263459444
1970,0.0002622936153784394
1971,0.00025103954249061644
1972,0.00023803606745786965
1973,0.0002260651672258973
1974,0.00023236159177031368
1975,0.00021753869077656418
1976,0.0002140184660675004
1977,0.0002075301599688828
1978,0.00020275030692573637
1979,0.0002037470112554729
1980,0.00020181876607239246
1981,0.00019057966710533947
1982,0.0001944180257851258
1983,0.00019613032054621726
1984,0.00020037936337757856
1985,0.00019205224816687405
1986,0.0002007820876315236
1987,0.0001969699951587245
1988,0.00020243783365003765
1989,0.00020082796982023865
1990,0.00020248204236850142
1991,0.0002032096090260893
1992,0.0002041005645878613
1993,0.00019943366351071745
1994,0.00020611177023965865
1995,0.00020179434795863926
1996,0.0002086526365019381
1997,0.00021335190103854984
