,section
1800,2.9434109819703735e-05
1801,4.175760113867e-05
1802,3.0468030672636814e-05
1803,2.106772444676608e-05
1804,2.4631404812680557e-05
1805,2.596729427750688e-05
1806,2.752085310930852e-05
1807,3.176620157319121e-05
1808,3.225584077881649e-05
1809,3.468578870524652e-05
1810,2.7681433493853547e-05
1811,3.105287760263309e-05
1812,2.4943199605331756e-05
1813,3.0441095077549107e-05
1814,3.604918674682267e-05
1815,3.658896457636729e-05
1816,2.9085271307849325e-05
1817,3.9687627577222884e-05
1818,3.361710696481168e-05
1819,3.724589623743668e-05
1820,3.1933705031406134e-05
1821,4.294742029742338e-05
1822,4.123951293877326e-05
1823,3.669107536552474e-05
1824,3.8367274100892246e-05
1825,5.2773251809412614e-05
1826,5.686958320438862e-05
1827,4.8526766477152705e-05
1828,5.5177704780362546e-05
1829,5.463669731398113e-05
1830,5.3057869081385434e-05
1831,5.877551302546635e-05
1832,0.0001589924650033936
1833,6.261365342652425e-05
1834,7.21472897566855e-05
1835,7.001635822234675e-05
1836,7.921097130747512e-05
1837,7.751741941319779e-05
1838,8.898601663531736e-05
1839,7.204567373264581e-05
1840,6.633065640926361e-05
1841,7.928130798973143e-05
1842,7.877692405600101e-05
1843,7.37504378776066e-05
1844,7.220681436592713e-05
1845,7.880324847064912e-05
1846,9.668144775787368e-05
1847,8.490979234920815e-05
1848,8.394275209866464e-05
1849,9.68999884207733e-05
1850,0.00010656186350388452
1851,0.00011731594713637605
1852,0.00012011511716991663
1853,9.90959961200133e-05
1854,0.00010793352703331038
1855,0.00011688571248669177
1856,0.00010783979087136686
1857,0.00011341086792526767
1858,0.00011769616685342044
1859,0.00011223853653063998
1860,0.00011066713341278955
1861,0.00014312658458948135
1862,0.0001406436786055565
1863,0.0001371608377667144
1864,0.00013151860912330449
1865,0.000141707670991309
1866,0.00014767961692996323
1867,0.000149324449012056
1868,0.0001737597049213946
1869,0.00015520873421337456
1870,0.0001829802495194599
1871,0.00017008553550112993
1872,0.00018129873205907643
1873,0.00019227877783123404
1874,0.00020353480067569762
1875,0.00019295360834803432
1876,0.00019529587007127702
1877,0.0002074720396194607
1878,0.00019750827050302178
1879,0.0002140588767360896
1880,0.00019837978470604867
1881,0.00023172117653302848
1882,0.00020936536020599306
1883,0.00020847572886850685
1884,0.0002055888035101816
1885,0.00022955791791900992
1886,0.00021805867436341941
1887,0.0002416176430415362
1888,0.0002158427523681894
1889,0.00024336519709322602
1890,0.00021916635159868747
1891,0.00024535274133086205
1892,0.00021746367565356195
1893,0.00024045126338023692
1894,0.0002193328255089
1895,0.0002572511148173362
1896,0.00022584586986340582
1897,0.0002544410526752472
1898,0.000229771772865206
1899,0.0002292651479365304
1900,0.0002255291328765452
1901,0.0002545702736824751
1902,0.00023331619740929455
1903,0.0002617526042740792
1904,0.00024335445777978748
1905,0.0002673818089533597
1906,0.00027722358936443925
1907,0.00028675334760919213
1908,0.0002730769047047943
1909,0.00029591264319606125
1910,0.0002670334361027926
1911,0.00029228226048871875
1912,0.00028868240769952536
1913,0.00031063848291523755
1914,0.00031125228269957006
1915,0.000336955941747874
1916,0.00030822629923932254
1917,0.00033021578565239906
1918,0.0002923497522715479
1919,0.0003267842985223979
1920,0.00028850053786300123
1921,0.0003202461521141231
1922,0.00029171863570809364
1923,0.00032476455089636147
1924,0.00030612177215516567
1925,0.00032562317210249603
1926,0.00030098663410171866
1927,0.0003439348947722465
1928,0.00029166671447455883
1929,0.0003229261201340705
1930,0.0003094688872806728
1931,0.00032678109710104764
1932,0.00034287560265511274
1933,0.00036481834831647575
1934,0.00031717290403321385
1935,0.0003940333554055542
1936,0.0003446400223765522
1937,0.00035320123424753547
1938,0.0003347019955981523
1939,0.0004053099546581507
1940,0.0003229199501220137
1941,0.000405180238885805
1942,0.0003385318850632757
1943,0.0003637059999164194
1944,0.0003566096711438149
1945,0.0003563478821888566
1946,0.0003223556559532881
1947,0.0003655327600426972
1948,0.00036084846942685544
1949,0.00040296296356245875
1950,0.0003476679848972708
1951,0.0003607299586292356
1952,0.00033055184758268297
1953,0.0004126449639443308
1954,0.000425971724325791
1955,0.00036887277383357286
1956,0.0003515086427796632
1957,0.0003905945341102779
1958,0.0003659140202216804
1959,0.00042165457853116095
1960,0.0003585706290323287
1961,0.0003675834450405091
1962,0.0003477530844975263
1963,0.00035503660910762846
1964,0.00035943390685133636
1965,0.00036651809932664037
1966,0.0003325219440739602
1967,0.0003513182164169848
1968,0.0003160772321280092
1969,0.0003179974446538836
1970,0.0003365585289429873
1971,0.00036109224311076105
1972,0.00034438687725923955
1973,0.0003751320473384112
1974,0.00035752038820646703
1975,0.00039927358739078045
1976,0.00040807080222293735
1977,0.00039417497464455664
1978,0.00038579347892664373
1979,0.00039539329009130597
1980,0.0003582793870009482
1981,0.00036271836142987013
1982,0.00038971746107563376
1983,0.00037465698551386595
1984,0.0003507554647512734
1985,0.00033610480022616684
1986,0.0003395926614757627
1987,0.0003553189744707197
1988,0.00038548992597498
1989,0.0003683789982460439
1990,0.00035059350193478167
1991,0.00034651148598641157
1992,0.0003486001805868
1993,0.00033895301748998463
1994,0.0003518984594848007
1995,0.00044532076572068036
1996,0.0003367966855876148
1997,0.0003712473262567073
1998,0.00033276507747359574
1999,0.00034701143158599734
2000,0.00032824886147864163
2001,0.0003661131195258349
2002,0.00032961214310489595
2003,0.00031959140324033797
2004,0.00029753748094663024
2005,0.0003020671138074249
2006,0.00030162723851390183
2007,0.0002873947669286281
2008,0.00030419143149629235
2009,0.0002561526489444077
2010,0.0002191972016589716
2011,0.00019316442194394767
2012,0.00020174098608549684
2013,0.00017625285545364022
2014,0.00016293098451569676
2015,0.0001352659019175917
2016,0.00014203155296854675
2017,0.00012109213275834918
2018,0.0001223514846060425
2019,0.00011279496538918465
