,series
1800,3.121198096778244e-05
1801,3.257894786656834e-05
1802,3.4198208595626056e-05
1803,2.941873754025437e-05
1804,3.600449417717755e-05
1805,3.259510776842944e-05
1806,3.7906593206571415e-05
1807,3.743179695447907e-05
1808,2.9311098842299543e-05
1809,4.171162800048478e-05
1810,3.474055847618729e-05
1811,3.237585406168364e-05
1812,2.957975993922446e-05
1813,3.52862844010815e-05
1814,4.098109275219031e-05
1815,4.2570991354295984e-05
1816,3.5897635825676844e-05
1817,3.697430656757206e-05
1818,4.189260653220117e-05
1819,4.298873318475671e-05
1820,3.913989712600596e-05
1821,3.958496745326556e-05
1822,3.992546407971531e-05
1823,4.32418382843025e-05
1824,4.0897735743783414e-05
1825,4.1515355405863374e-05
1826,4.2447427404113114e-05
1827,4.0590752178104594e-05
1828,4.3948944949079305e-05
1829,4.7678124246886e-05
1830,4.8309422709280625e-05
1831,4.937501216772944e-05
1832,4.761244053952396e-05
1833,5.315172529662959e-05
1834,5.423255424830131e-05
1835,6.072280302760191e-05
1836,5.775268073193729e-05
1837,5.65217160328757e-05
1838,5.888649320695549e-05
1839,5.650455568684265e-05
1840,5.621472155326046e-05
1841,6.366216257447377e-05
1842,6.751663750037551e-05
1843,6.242183735594153e-05
1844,5.619482180918567e-05
1845,6.55424446449615e-05
1846,6.286118878051639e-05
1847,6.283959373831749e-05
1848,6.65233310428448e-05
1849,6.84322149027139e-05
1850,6.743054836988449e-05
1851,7.021607598289847e-05
1852,6.811469938838854e-05
1853,6.374672375386581e-05
1854,6.918018334545195e-05
1855,7.569522131234407e-05
1856,7.471159187844023e-05
1857,7.478496991097927e-05
1858,8.141131547745317e-05
1859,7.963726238813251e-05
1860,7.49677128624171e-05
1861,8.077193342614919e-05
1862,9.20015518204309e-05
1863,8.28460106276907e-05
1864,8.348618575837463e-05
1865,8.287117816507816e-05
1866,7.984709372976795e-05
1867,8.279129542643204e-05
1868,7.987624849192798e-05
1869,8.35958489915356e-05
1870,8.298917964566499e-05
1871,8.531551429769024e-05
1872,8.96624696906656e-05
1873,9.387467434862629e-05
1874,9.143770876107737e-05
1875,9.119147580349818e-05
1876,9.118881280301139e-05
1877,9.563916682964191e-05
1878,9.891616355162114e-05
1879,9.779279207577929e-05
1880,9.540950122755021e-05
1881,9.786194277694449e-05
1882,9.747811418492347e-05
1883,9.881304140435532e-05
1884,0.00010097127233166248
1885,0.00010673459473764524
1886,0.0001005474550765939
1887,9.955477435141802e-05
1888,0.00010567439312580973
1889,0.00011117569374619052
1890,0.00011275875294813886
1891,0.00011580134014366195
1892,0.00011539532715687528
1893,0.00012132594565628096
1894,0.00011485778668429703
1895,0.00012002182484138757
1896,0.00012013183004455641
1897,0.00011980240378761664
1898,0.00012162750499555841
1899,0.00010754397953860462
1900,0.00011142374569317326
1901,0.00011120691488031298
1902,0.00012071461242157966
1903,0.0001249862980330363
1904,0.00012768813758157194
1905,0.0001307398924836889
1906,0.00011860094673465937
1907,0.000125752660096623
1908,0.0001224458683282137
1909,0.00011877933866344392
1910,0.00012262551172170788
1911,0.00012373823847156018
1912,0.00012051649537170306
1913,0.0001259687269339338
1914,0.0001247172331204638
1915,0.00012409608461894095
1916,0.00012337071530055255
1917,0.00011851421004394069
1918,0.00011647181963780895
1919,0.00011853046453325078
1920,0.00011838342470582575
1921,0.00012120380415581167
1922,0.00012720513041131198
1923,0.00013031353591941297
1924,0.0001249911292688921
1925,0.00012960609456058592
1926,0.00013076681352686137
1927,0.00013035692973062396
1928,0.0001345433556707576
1929,0.00013152117026038468
1930,0.00013132416643202305
1931,0.0001364895433653146
1932,0.00013768114149570465
1933,0.0001402173948008567
1934,0.00013793336984235793
1935,0.00013372785178944468
1936,0.00013200128159951419
1937,0.00013622353435494006
1938,0.00014235022536013275
1939,0.00013176702486816794
1940,0.00014014584303367883
1941,0.00013606285210698843
1942,0.00013221333210822195
1943,0.00012406922178342938
1944,0.00012780720135197043
1945,0.00012122332555009052
1946,0.0001240395213244483
1947,0.00013212530757300556
1948,0.00013833705452270806
1949,0.00014128501061350107
1950,0.00014523154823109508
1951,0.00013908612891100347
1952,0.00013707102334592491
1953,0.0001434016157872975
1954,0.00014726142399013042
1955,0.00013803665933664888
1956,0.00014564473531208932
1957,0.00013889241381548345
1958,0.0001445342059014365
1959,0.0001480804057791829
1960,0.00015238190826494247
1961,0.00015278157661668956
1962,0.0001505361287854612
1963,0.00015298757352866232
1964,0.00015193123545031995
1965,0.00014530609769281
1966,0.00014781839854549617
1967,0.0001380644243909046
1968,0.00014295385335572064
1969,0.00013934052549302578
1970,0.0001409971300745383
1971,0.00014111115888226777
1972,0.00014268387167248875
1973,0.00013835782010573894
1974,0.00014196784468367696
1975,0.00014235878188628703
1976,0.00013950586435385048
1977,0.00014002893294673413
1978,0.00014124748122412711
1979,0.0001407876843586564
1980,0.0001443173678126186
1981,0.00013799934822600335
1982,0.0001364664058201015
1983,0.00013429406681098044
1984,0.00013430679973680526
1985,0.00013482435315381736
1986,0.00013614592899102718
1987,0.0001313129614572972
1988,0.00012814013462048024
1989,0.00012957175204064697
1990,0.00012711713497992605
1991,0.0001227276079589501
1992,0.00012243387755006552
1993,0.00012500802404247224
1994,0.00012026232434436679
1995,0.00011794215970439836
1996,0.0001221127313328907
1997,0.0001161388645414263
1998,0.00011418358917580917
1999,0.0001117890133173205
2000,0.00010923286026809365
2001,0.00010824949276866391
2002,0.00010643092537065968
2003,0.0001056561668519862
2004,0.00010507003753446043
2005,0.00010451392154209316
2006,0.00010549955914029852
2007,0.0001039416019921191
2008,9.475049591856077e-05
2009,9.366167068947107e-05
2010,9.027823398355395e-05
2011,8.854842599248514e-05
2012,9.758189844433218e-05
2013,9.83042482403107e-05
2014,8.87126661837101e-05
2015,8.998946577776223e-05
2016,9.289645095122978e-05
2017,8.464189886581153e-05
2018,8.155433897627518e-05
2019,8.559349225834012e-05
