,service
1800,0.0001435513113392517
1801,0.0001662243448663503
1802,0.00018157600425183773
1803,0.00016049046826083213
1804,0.0001778057194314897
1805,0.00019221572438254952
1806,0.0001836361625464633
1807,0.00017636381380725652
1808,0.00017123315774369985
1809,0.00017695453425403684
1810,0.00017023473628796637
1811,0.00017878469952847809
1812,0.0002370509464526549
1813,0.00020438585488591343
1814,0.0002018997329287231
1815,0.00018289635772816837
1816,0.00019156494818162173
1817,0.00017931470938492566
1818,0.00017196167027577758
1819,0.00015904486645013094
1820,0.00018535797426011413
1821,0.0001807278167689219
1822,0.00016993124154396355
1823,0.00017020734958350658
1824,0.00016287554171867669
1825,0.00017024230328388512
1826,0.00018040476425085217
1827,0.00017726804071571678
1828,0.0001776029821485281
1829,0.00016382464673370123
1830,0.00016514888557139784
1831,0.00016730601782910526
1832,0.00021049255155958235
1833,0.00016829599917400628
1834,0.00017886383284348994
1835,0.00017490320897195488
1836,0.00017344857042189687
1837,0.000171097184647806
1838,0.00017101105186156929
1839,0.00016734417295083404
1840,0.0001779550948413089
1841,0.00016348386998288333
1842,0.00015734060434624553
1843,0.00016816759307403117
1844,0.00016256526578217745
1845,0.00015917990822345018
1846,0.00016560677613597363
1847,0.00016185513231903315
1848,0.00016138667706400156
1849,0.0001594035275047645
1850,0.00015165541844908148
1851,0.0001614823122508824
1852,0.00017547403695061803
1853,0.00017433561151847243
1854,0.0001678915141383186
1855,0.00017974137153942138
1856,0.0001750444498611614
1857,0.00016298894479405135
1858,0.00018367453594692051
1859,0.0001826938969315961
1860,0.00019324058666825294
1861,0.0002010231837630272
1862,0.00019445760699454695
1863,0.0002045583532890305
1864,0.00020862609380856156
1865,0.00019757058180402964
1866,0.0001952112652361393
1867,0.00018069644283968955
1868,0.0001828113745432347
1869,0.00016951365978457034
1870,0.00017145488527603447
1871,0.00017432619642931968
1872,0.0001702423905953765
1873,0.00016375190170947462
1874,0.0001649305340833962
1875,0.00017280556494370103
1876,0.00017690302047412843
1877,0.00017278626910410821
1878,0.00016679549298714846
1879,0.0001742723397910595
1880,0.000179524693521671
1881,0.00017311277042608708
1882,0.0001822757039917633
1883,0.00016875308938324451
1884,0.00018250365974381566
1885,0.0001843905047280714
1886,0.00019421761680860072
1887,0.00018416666716802865
1888,0.00019119217176921666
1889,0.00019089903798885643
1890,0.00018915410328190774
1891,0.00018694483151193708
1892,0.00019196678476873785
1893,0.00018878618720918894
1894,0.00018559374439064413
1895,0.00020534916257020086
1896,0.00019939884077757597
1897,0.00021712320449296385
1898,0.00022187532158568501
1899,0.00022484186047222465
1900,0.00022771517978981137
1901,0.000234288745559752
1902,0.00022487434034701437
1903,0.00021670233400072902
1904,0.00022788567002862692
1905,0.0002267442032461986
1906,0.0002364102692808956
1907,0.00024727723211981356
1908,0.00024974424741230905
1909,0.00024337500508408993
1910,0.0002581919834483415
1911,0.00026018370408564806
1912,0.0002836215717252344
1913,0.00030788162257522345
1914,0.0003371415368746966
1915,0.00034857483115047216
1916,0.0003758084785658866
1917,0.00041020699427463114
1918,0.0004405735817272216
1919,0.00044324659393168986
1920,0.00040987582178786397
1921,0.0003935658896807581
1922,0.00038054940523579717
1923,0.00036768667632713914
1924,0.00037335563683882356
1925,0.0003622231015469879
1926,0.00036194385029375553
1927,0.00035452356678433716
1928,0.0003658928326331079
1929,0.00035299709998071194
1930,0.0003749319294001907
1931,0.0003530736721586436
1932,0.0003645197721198201
1933,0.0003492178220767528
1934,0.0003340519033372402
1935,0.00036024051951244473
1936,0.00039062791620381176
1937,0.00038672363734804094
1938,0.00039452165947295725
1939,0.0004086956905666739
1940,0.00040764326695352793
1941,0.00042953333468176425
1942,0.0004506086406763643
1943,0.0004552027676254511
1944,0.0004554369661491364
1945,0.0004729439679067582
1946,0.0004373907868284732
1947,0.00041825007065199316
1948,0.00040204875404015183
1949,0.00040265865391120315
1950,0.0003668492427095771
1951,0.00038425723323598504
1952,0.0003687887219712138
1953,0.00036806846037507057
1954,0.0003740049432963133
1955,0.00036887923488393426
1956,0.00035902130184695125
1957,0.0003577046445570886
1958,0.00034310619230382144
1959,0.0003527384251356125
1960,0.00034152521402575076
1961,0.00032854819437488914
1962,0.00031460178433917463
1963,0.0003123483620584011
1964,0.000308170507196337
1965,0.00031509253312833607
1966,0.00031106648384593427
1967,0.00031010789098218083
1968,0.00029131039627827704
1969,0.00030225375667214394
1970,0.00029904572875238955
1971,0.0002999071730300784
1972,0.00029730857932008803
1973,0.000302492844639346
1974,0.00030224191141314805
1975,0.0003020343428943306
1976,0.0003038631402887404
1977,0.000310996052576229
1978,0.00029960559913888574
1979,0.00029542885022237897
1980,0.0002887938462663442
1981,0.0002846233837772161
1982,0.00027903536101803184
1983,0.00027103579486720264
1984,0.00026601707213558257
1985,0.0002684245991986245
1986,0.0002548863412812352
1987,0.0002569077187217772
1988,0.000260711123701185
1989,0.00025659165112301707
1990,0.00025283286231569946
1991,0.0002466030709911138
1992,0.00025140156503766775
1993,0.0002520756970625371
1994,0.00025683865533210337
1995,0.00027209639665670693
1996,0.00026429485296830535
1997,0.0002693723072297871
1998,0.0002590406802482903
1999,0.0002570085634943098
2000,0.00024866292369551957
2001,0.00024721858790144324
2002,0.0002481259871274233
2003,0.0002432383334962651
2004,0.00023527014127466828
2005,0.00023384852102026343
2006,0.0002238764427602291
2007,0.000217809050809592
2008,0.0002117826952598989
2009,0.00019837045692838728
2010,0.00019289442570880055
2011,0.00017424108227714896
2012,0.0001547353167552501
2013,0.00015155957953538746
2014,0.00014439469669014215
2015,0.00014274282148107886
2016,0.0001493779564043507
2017,0.00013414341083262116
2018,0.0001329101505689323
2019,0.00013092465815134346
