,shipping
1800,7.33769275029772e-06
1801,1.0815093446581159e-05
1802,1.3772642887488473e-05
1803,1.2598562534549274e-05
1804,1.1402344171074219e-05
1805,1.4291887964645866e-05
1806,1.2216202776471619e-05
1807,1.1869346963067073e-05
1808,1.0086652764584869e-05
1809,1.1403869393689092e-05
1810,1.1246268513787072e-05
1811,8.947802598413546e-06
1812,1.2925630471727345e-05
1813,1.2440970749594271e-05
1814,1.346184126305161e-05
1815,1.0999915502907243e-05
1816,9.881116966425907e-06
1817,9.452011909161229e-06
1818,1.0169630513701122e-05
1819,1.001202326733619e-05
1820,1.0445862244523596e-05
1821,8.252612133219372e-06
1822,1.0635498256306164e-05
1823,1.0719147212512325e-05
1824,9.919374861055985e-06
1825,8.935574442148209e-06
1826,1.0511812433833256e-05
1827,1.2855537534051109e-05
1828,1.08857529994566e-05
1829,1.0841404218808748e-05
1830,9.559845238982234e-06
1831,1.066630647983402e-05
1832,1.375014653604012e-05
1833,1.1232497854507528e-05
1834,1.185363726108335e-05
1835,7.783171895425767e-06
1836,9.67288542597089e-06
1837,8.833534593577497e-06
1838,8.359740604646504e-06
1839,8.805652214505244e-06
1840,9.81941593636293e-06
1841,9.268159374187235e-06
1842,9.530424904369283e-06
1843,9.102666808757931e-06
1844,9.738084372656886e-06
1845,8.55928647069959e-06
1846,9.714735824672971e-06
1847,1.2584561773110181e-05
1848,1.101356519939145e-05
1849,1.228010660270229e-05
1850,9.680692528490908e-06
1851,1.0895644663833082e-05
1852,9.486048838880379e-06
1853,1.0115220902662259e-05
1854,9.499754924036097e-06
1855,9.425536518392619e-06
1856,1.1208377145521808e-05
1857,9.742111615196336e-06
1858,9.586557098373305e-06
1859,1.1303346582280938e-05
1860,1.1029717825294938e-05
1861,1.0067711627925746e-05
1862,9.790011972654611e-06
1863,8.679800885147415e-06
1864,8.820338734949473e-06
1865,8.568523298890796e-06
1866,8.589381650381256e-06
1867,8.539004738850053e-06
1868,8.609273209003732e-06
1869,8.662914297019597e-06
1870,9.638451956561767e-06
1871,9.055996088136453e-06
1872,1.1304620784358121e-05
1873,1.0930964890576433e-05
1874,1.006980164675042e-05
1875,1.0555753760854714e-05
1876,1.1504617759783287e-05
1877,1.0209667379967868e-05
1878,1.0189298336626962e-05
1879,9.296080861531664e-06
1880,1.080377205653349e-05
1881,1.0905891031143256e-05
1882,1.2211036846565548e-05
1883,1.1527374226716347e-05
1884,1.3395208043220919e-05
1885,1.1077238013967872e-05
1886,1.2477167729230132e-05
1887,1.2036735824949574e-05
1888,1.2323864211793989e-05
1889,1.2692060408880934e-05
1890,1.2984897693968378e-05
1891,1.2287805475352798e-05
1892,1.2841508578276262e-05
1893,1.2405334928189404e-05
1894,1.3207853953645099e-05
1895,1.399397569912253e-05
1896,1.3153940017218702e-05
1897,1.482170137023786e-05
1898,1.4650009688921273e-05
1899,1.4416768863156904e-05
1900,1.4749609363207128e-05
1901,1.5812816855031997e-05
1902,1.7203217794303782e-05
1903,1.7228387150680646e-05
1904,1.8397415260551497e-05
1905,2.0594021407305263e-05
1906,1.9580904336180538e-05
1907,1.9755647372221574e-05
1908,1.9215849533793516e-05
1909,2.046463851002045e-05
1910,1.958871871465817e-05
1911,2.0141611457802355e-05
1912,2.1057216144981794e-05
1913,2.2147809431771748e-05
1914,2.4576153009547852e-05
1915,2.711068736971356e-05
1916,3.02200951409759e-05
1917,3.207076952094212e-05
1918,3.810843190876767e-05
1919,3.8590162148466334e-05
1920,3.9021448174025863e-05
1921,3.4988690458703786e-05
1922,3.3126325433840975e-05
1923,2.9804150472045876e-05
1924,3.139625187031925e-05
1925,2.92139156954363e-05
1926,2.8154698156868108e-05
1927,2.6347093807999045e-05
1928,2.814881008816883e-05
1929,2.612461321405135e-05
1930,2.7107535061077215e-05
1931,2.476585541444365e-05
1932,2.599412800918799e-05
1933,2.5139623176073655e-05
1934,2.5668685339041986e-05
1935,2.6457264539203607e-05
1936,2.4056638721958734e-05
1937,2.5788402126636356e-05
1938,2.5726683816174045e-05
1939,2.732429129537195e-05
1940,2.9849514248780906e-05
1941,3.402378206374124e-05
1942,3.855862814816646e-05
1943,3.930418461095542e-05
1944,4.052351141581312e-05
1945,3.993770951637998e-05
1946,3.4205717383883893e-05
1947,3.278733856859617e-05
1948,2.885826506826561e-05
1949,2.9419054044410586e-05
1950,2.6284464183845557e-05
1951,2.7870109988725744e-05
1952,2.628555739647709e-05
1953,2.7003095965483226e-05
1954,2.6022315068985336e-05
1955,2.6627565603121184e-05
1956,2.670924732228741e-05
1957,2.4732997189857997e-05
1958,2.418577605567407e-05
1959,2.4251756258308887e-05
1960,2.2347996491589583e-05
1961,2.3482587494072504e-05
1962,2.2367521523847245e-05
1963,2.1134123016963713e-05
1964,2.151475018763449e-05
1965,2.1479103452293202e-05
1966,2.1122203179402277e-05
1967,2.027658592851367e-05
1968,2.0360370399430394e-05
1969,1.9563898604246788e-05
1970,1.9025417714146897e-05
1971,1.806780528568197e-05
1972,1.814421557355672e-05
1973,1.7971222405321896e-05
1974,1.8468759662937373e-05
1975,1.828186032071244e-05
1976,1.8612881831359118e-05
1977,1.885215715446975e-05
1978,1.8345797798247077e-05
1979,1.831573354138527e-05
1980,1.8872893633670174e-05
1981,1.9116410840069875e-05
1982,1.7344733350910246e-05
1983,1.85687040357152e-05
1984,1.750311639625579e-05
1985,1.8075206753565e-05
1986,1.8032089428743348e-05
1987,1.7775968444766477e-05
1988,1.7541691704536788e-05
1989,1.641571543586906e-05
1990,1.588242048455868e-05
1991,1.594906279933639e-05
1992,1.5875046301516704e-05
1993,1.601877374923788e-05
1994,1.560469354444649e-05
1995,1.5397175957332365e-05
1996,1.547192550788168e-05
1997,1.4666977222077549e-05
1998,1.4462764738709666e-05
1999,1.3707452126254793e-05
2000,1.3051477253611665e-05
2001,1.2534967936517205e-05
2002,1.255988627235638e-05
2003,1.1694249224092346e-05
2004,1.1687652659020387e-05
2005,1.1252542208239902e-05
2006,1.0841404218808748e-05
2007,1.0676841156964656e-05
2008,1.0001554983318783e-05
2009,9.615664566808846e-06
2010,9.292895811086055e-06
2011,8.802753654890694e-06
2012,7.744036338408478e-06
2013,8.325482667714823e-06
2014,8.034829079406336e-06
2015,7.98527617007494e-06
2016,8.12850339571014e-06
2017,7.418148925353307e-06
2018,6.910046067787334e-06
2019,6.879959528305335e-06
