,sign
1800,3.185090463375673e-05
1801,3.102351911365986e-05
1802,2.837374631781131e-05
1803,2.8470676625147462e-05
1804,2.9276201530592516e-05
1805,2.7498894269228913e-05
1806,2.877638144127559e-05
1807,3.064717384404503e-05
1808,3.4129934647353366e-05
1809,3.341889168950729e-05
1810,3.2780990295577794e-05
1811,3.887376078637317e-05
1812,3.348176687723026e-05
1813,3.3661559427855536e-05
1814,3.5911369195673615e-05
1815,3.329383616801351e-05
1816,3.62927712558303e-05
1817,3.3142012398457155e-05
1818,3.4650023735594004e-05
1819,3.2068826840259135e-05
1820,3.1672228942625225e-05
1821,3.301546166767366e-05
1822,3.705854032887146e-05
1823,3.7177043850533664e-05
1824,3.2581945561105385e-05
1825,3.665323674795218e-05
1826,3.578204632503912e-05
1827,3.520181053318083e-05
1828,3.552981434040703e-05
1829,3.3740241633495316e-05
1830,3.512254625093192e-05
1831,3.496765930321999e-05
1832,3.575962909962982e-05
1833,3.502775507513434e-05
1834,3.509467205731198e-05
1835,3.4810887882485986e-05
1836,3.576150265871547e-05
1837,3.6556284612743184e-05
1838,3.3870612242026255e-05
1839,3.6431618354981765e-05
1840,3.7564659578492865e-05
1841,3.917716821888462e-05
1842,3.9921054849401116e-05
1843,3.9407499571098015e-05
1844,3.951614780817181e-05
1845,4.034435551147908e-05
1846,3.892274617101066e-05
1847,3.661911250674166e-05
1848,3.983056376455352e-05
1849,3.77077521989122e-05
1850,3.95143979403656e-05
1851,3.686036870931275e-05
1852,3.898959403159097e-05
1853,3.705092967720702e-05
1854,3.688491779030301e-05
1855,3.8544854760402814e-05
1856,3.784647196880542e-05
1857,3.596783062675968e-05
1858,3.4705652069533244e-05
1859,3.698644650285132e-05
1860,3.762907726923004e-05
1861,3.90035129385069e-05
1862,3.770566399907693e-05
1863,3.8609297916991636e-05
1864,3.7624140531988814e-05
1865,3.8580390537390485e-05
1866,4.0742084820521995e-05
1867,3.915177512681112e-05
1868,3.898583599948324e-05
1869,3.750471296370961e-05
1870,3.942467083106749e-05
1871,4.149917367612943e-05
1872,4.0189373976318166e-05
1873,3.935407585231587e-05
1874,3.817452670773491e-05
1875,4.2302421206841245e-05
1876,3.971512342104688e-05
1877,4.043446824653074e-05
1878,3.906449637725018e-05
1879,4.050080679007806e-05
1880,4.001613342552446e-05
1881,4.201474439469166e-05
1882,3.8659647543681785e-05
1883,3.8958125514909625e-05
1884,3.989395554526709e-05
1885,3.897031638189219e-05
1886,3.9218452002387494e-05
1887,3.8892041629878804e-05
1888,3.9509912312496454e-05
1889,4.0641589293954894e-05
1890,4.136202551308088e-05
1891,3.967017255490646e-05
1892,4.186639125691727e-05
1893,4.214297223370522e-05
1894,4.149209053139202e-05
1895,3.928027945221402e-05
1896,4.1931241867132485e-05
1897,3.999021646450274e-05
1898,4.0984134102473035e-05
1899,4.289663411327638e-05
1900,4.1973435145337135e-05
1901,4.0894530684454367e-05
1902,3.9530423237010837e-05
1903,3.973461934947409e-05
1904,4.26217338826973e-05
1905,4.0476206777384505e-05
1906,3.996871237177402e-05
1907,4.037823964608833e-05
1908,4.106756023247726e-05
1909,4.0316965169040486e-05
1910,4.159774834988639e-05
1911,3.991651828982867e-05
1912,3.954783096560277e-05
1913,3.972274134866893e-05
1914,3.9855709474068135e-05
1915,3.9945211028680205e-05
1916,3.909106817445718e-05
1917,3.92262008972466e-05
1918,3.834474046016112e-05
1919,3.955201827920973e-05
1920,3.985319199273363e-05
1921,3.9439848478650674e-05
1922,4.005363007308915e-05
1923,3.95454335375689e-05
1924,3.82491598429624e-05
1925,3.931570245185867e-05
1926,3.845665924018249e-05
1927,3.8705293263774365e-05
1928,3.9705413655610755e-05
1929,3.895104237017222e-05
1930,3.848109190585092e-05
1931,4.041986903757788e-05
1932,3.75400522898417e-05
1933,3.750979158212431e-05
1934,3.83823826268781e-05
1935,3.911540989065543e-05
1936,3.920835297321901e-05
1937,3.826786996796727e-05
1938,3.9933489460963756e-05
1939,3.928917431039736e-05
1940,3.9457561797462404e-05
1941,3.6192046536598355e-05
1942,3.734753408934921e-05
1943,3.757737795240246e-05
1944,3.643528907559812e-05
1945,3.617649417719804e-05
1946,3.971827754867263e-05
1947,3.8873266021255404e-05
1948,3.859816933982074e-05
1949,3.765006476896815e-05
1950,3.8284513721009716e-05
1951,3.91847534046974e-05
1952,4.080846338183619e-05
1953,3.9949991332832724e-05
1954,4.0068825910566375e-05
1955,4.084199099452235e-05
1956,3.957278750021942e-05
1957,4.159372838330455e-05
1958,4.067116242367774e-05
