,small
1800,0.00031992181902751327
1801,0.0003413923841435462
1802,0.00032784356153570116
1803,0.00030148946098051965
1804,0.000322909327223897
1805,0.00033349054865539074
1806,0.000323284650221467
1807,0.00033847286249510944
1808,0.0002808739372994751
1809,0.0003752399643417448
1810,0.0003245366388000548
1811,0.00028095211018808186
1812,0.00027137366123497486
1813,0.00033448589965701103
1814,0.0003147298120893538
1815,0.0003221122024115175
1816,0.000257581181358546
1817,0.00029897585045546293
1818,0.00031828158535063267
1819,0.0003606591490097344
1820,0.00030675018206238747
1821,0.00030758368666283786
1822,0.0003678920620586723
1823,0.0003033913963008672
1824,0.0003382225113455206
1825,0.0003146324888803065
1826,0.0003069633967243135
1827,0.0003266159037593752
1828,0.00030925218015909195
1829,0.00033802370307967067
1830,0.0003139435430057347
1831,0.0003244392282795161
1832,0.0002736294991336763
1833,0.00030632223933935165
1834,0.0003183952358085662
1835,0.0003240095393266529
1836,0.00032038590870797634
1837,0.00030851727933622897
1838,0.00032082246616482735
1839,0.0003161128843203187
1840,0.00031571369618177414
1841,0.0003168260445818305
1842,0.00035537409712560475
1843,0.00030869702459312975
1844,0.0002974455710500479
1845,0.0003349858452565968
1846,0.0003073893894907087
1847,0.00031820990261621773
1848,0.0003158540930598974
1849,0.0003212459268979728
1850,0.0003068875812459737
1851,0.000313791650114581
1852,0.0003254433104302734
1853,0.0003119648899883032
1854,0.0003201238578185439
1855,0.0003208426933269948
1856,0.0003250456356909126
1857,0.0003249219444114715
1858,0.0003248977300245315
1859,0.00032765825744718313
1860,0.0003194574674125761
1861,0.0003221204096917063
1862,0.00033329290454275906
1863,0.00032365211518481374
1864,0.0003177259350195527
1865,0.0003271386376582086
1866,0.00031738739926368
1867,0.00032924683182500303
1868,0.0003225175605621189
1869,0.000326554145431146
1870,0.00032240961445495486
1871,0.0003232953022234142
1872,0.000310994015308097
1873,0.0003334364155307412
1874,0.0003359708935022354
1875,0.00032791635021567345
1876,0.0003431711229495704
1877,0.00033387207076884806
1878,0.0003530979447532445
1879,0.00033879271359182894
1880,0.00034650115412659943
1881,0.0003384875017218292
1882,0.00036004718276672065
1883,0.00036244516377337277
1884,0.0003525352803990245
1885,0.0003568051615729928
1886,0.0003398797707632184
1887,0.00033368635922670364
1888,0.00033914498635567725
1889,0.00034454750129953027
1890,0.00035236141411587596
1891,0.0003508271765895188
1892,0.000353335402905941
1893,0.00035256994306109846
1894,0.0003575679147616029
