,so
1800,0.002049315720796585
1801,0.0021079913713037968
1802,0.0018462532898411155
1803,0.0019019737374037504
1804,0.0020150654017925262
1805,0.0020513220224529505
1806,0.0021142924670130014
1807,0.0020946236327290535
1808,0.0023510591126978397
1809,0.0022906484082341194
1810,0.002206966280937195
1811,0.002251649973914027
1812,0.0021800824906677008
1813,0.0020257607102394104
1814,0.002127742161974311
1815,0.0020486493594944477
1816,0.0021720940712839365
1817,0.0020372201688587666
1818,0.0020300853066146374
1819,0.0019043877255171537
1820,0.0021123969927430153
1821,0.0020846035331487656
1822,0.0021343999542295933
1823,0.0021452317014336586
1824,0.002155695343390107
1825,0.002069304697215557
1826,0.002069834852591157
1827,0.0020434062462300062
1828,0.001990579767152667
1829,0.0020164281595498323
1830,0.00211947038769722
1831,0.0020267018117010593
1832,0.0017711952095851302
1833,0.0020549907349050045
1834,0.0019786846823990345
1835,0.0020161299034953117
1836,0.002016199054196477
1837,0.0019984254613518715
1838,0.0020223427563905716
1839,0.002096800832077861
1840,0.002042632084339857
1841,0.0020361931528896093
1842,0.0020307109225541353
1843,0.002078539226204157
1844,0.002096261829137802
1845,0.0020434174221009016
1846,0.0020120132248848677
1847,0.002013153163716197
1848,0.0020306678488850594
1849,0.001993807265534997
1850,0.0020140227861702442
1851,0.001985532231628895
1852,0.0019970922730863094
1853,0.0020172838121652603
1854,0.0019730376079678535
1855,0.001967801945284009
1856,0.0019527459517121315
1857,0.0019501708447933197
1858,0.0019468715181574225
1859,0.0019449936226010323
1860,0.0019379575969651341
1861,0.0019415873102843761
1862,0.0019833706319332123
1863,0.001941923750564456
1864,0.0019547617994248867
1865,0.0019596226047724485
1866,0.0019479971379041672
1867,0.001919352449476719
1868,0.001927871024236083
1869,0.0019377784337848425
1870,0.0019266416784375906
1871,0.0019193824846297503
1872,0.0019070268608629704
1873,0.0018849850166589022
1874,0.0018854294903576374
1875,0.0018852740759029984
1876,0.0018496984848752618
1877,0.0018175988225266337
1878,0.0018045230535790324
1879,0.0017984113655984402
1880,0.001795520423911512
1881,0.001765947206877172
1882,0.0017965518636628985
1883,0.001809114357456565
1884,0.0017580777639523149
1885,0.0017470262246206403
1886,0.0017027849098667502
1887,0.001705485163256526
1888,0.001710469019599259
1889,0.0016939679626375437
1890,0.0017097227973863482
1891,0.0016737167024984956
1892,0.001697784406132996
1893,0.0016943418886512518
1894,0.0016996318008750677
1895,0.001650311634875834
1896,0.0016600876115262508
1897,0.0016087815165519714
1898,0.001620315364561975
1899,0.0016817374853417277
1900,0.0016367142088711262
1901,0.001598951406776905
1902,0.001586375990882516
1903,0.0015715202316641808
1904,0.0015872237272560596
1905,0.001531764050014317
1906,0.001526373322121799
1907,0.0015058587305247784
1908,0.0014935956569388509
1909,0.00150441809091717
1910,0.0014766735257580876
1911,0.0014428721042349935
1912,0.0014536760281771421
1913,0.0014201547019183636
1914,0.0014140699058771133
1915,0.0013745345640927553
1916,0.0013651397312059999
1917,0.0013531771255657077
1918,0.0013590703019872308
1919,0.001357712666504085
1920,0.0013672567438334227
1921,0.0013360892189666629
1922,0.0013425759971141815
1923,0.0013397381408140063
1924,0.0013510010903701186
1925,0.0013026685919612646
1926,0.0013296110555529594
1927,0.0013111873995512724
1928,0.0012918566353619099
1929,0.0012919798027724028
1930,0.001271972432732582
1931,0.0012303899275138974
1932,0.0012437414843589067
1933,0.0012055637780576944
1934,0.0012310597812756896
1935,0.0012162915663793683
1936,0.001196016906760633
1937,0.0011762888170778751
1938,0.0011701395269483328
1939,0.0011484446004033089
1940,0.001109359203837812
1941,0.0010729980422183871
1942,0.0011094582732766867
1943,0.001106607960537076
1944,0.0011160694994032383
1945,0.0011096217203885317
1946,0.001127090072259307
1947,0.0011271426919847727
1948,0.0011122288415208459
1949,0.001064098090864718
1950,0.0010891457786783576
1951,0.0010758707066997886
1952,0.0011362986406311393
1953,0.0010672154603525996
1954,0.001047683646902442
1955,0.0010579766239970922
1956,0.0010485632810741663
1957,0.0010338517604395747
1958,0.0010286221513524652
1959,0.0010020635090768337
1960,0.000996797694824636
1961,0.0010001669870689511
1962,0.0009991292608901858
1963,0.0009944678749889135
1964,0.0009790720650926232
1965,0.001006224425509572
1966,0.0010063385125249624
1967,0.0010050582932308316
1968,0.0010273365769535303
1969,0.0010088237468153238
1970,0.0009828085312619805
1971,0.0009413103107362986
1972,0.0009118221350945532
1973,0.0008766479440964758
1974,0.0008786540129221976
1975,0.000844246824271977
1976,0.0008262578630819917
1977,0.0008131036884151399
1978,0.0007965999539010227
1979,0.0007944380049593747
1980,0.0007860285113565624
1981,0.000775769236497581
1982,0.0007806686917319894
1983,0.0007835663855075836
