,sports
1800,6.198742994456552e-06
1801,5.492609034263296e-06
1802,6.165097602206515e-06
1803,5.622093794954708e-06
1804,6.452010893553961e-06
1805,7.591141184093431e-06
1806,6.651098374277353e-06
1807,6.370324172166875e-06
1808,6.454803497035755e-06
1809,5.3010526244179346e-06
1810,7.078163434925955e-06
1811,5.333094577508746e-06
1812,4.095776148460573e-06
1813,5.074024556961376e-06
1814,5.0024564188788645e-06
1815,4.753875145979691e-06
1816,4.820388312509749e-06
1817,5.381298706197413e-06
1818,4.9698969633027446e-06
1819,5.445976057671942e-06
1820,6.197470156621421e-06
1821,6.778797342121834e-06
1822,7.25515792510123e-06
1823,6.64465369482059e-06
1824,6.841785761935171e-06
1825,7.118939265637891e-06
1826,6.645715075137559e-06
1827,6.846960786788259e-06
1828,6.2485391936206724e-06
1829,5.677013632521266e-06
1830,7.675691449549049e-06
1831,7.042650850053178e-06
1832,4.794743745151209e-06
1833,6.718017175444402e-06
1834,5.7710808505362365e-06
1835,5.930063707637601e-06
1836,5.50039294466842e-06
1837,5.791538114863215e-06
1838,6.157493317004992e-06
1839,6.009322987665655e-06
1840,6.088211193855386e-06
1841,6.201390533533413e-06
1842,5.795915967610199e-06
1843,5.434933427750366e-06
1844,5.511226845555939e-06
1845,5.757701728725806e-06
1846,5.054746907262597e-06
1847,5.470451014844002e-06
1848,5.4275969887385145e-06
1849,5.446107479656348e-06
1850,5.012374913349049e-06
1851,4.999547400075244e-06
1852,5.011426765122451e-06
1853,5.04049739902257e-06
1854,5.217552825342864e-06
1855,5.014848284190521e-06
1856,5.12499718752224e-06
1857,5.205479283176828e-06
1858,4.83756366520538e-06
1859,5.2009800128871575e-06
1860,5.249518835626077e-06
1861,4.4782123040931765e-06
1862,4.28894145443337e-06
1863,4.260698460711865e-06
1864,4.476004505704623e-06
1865,4.728698058897862e-06
1866,4.427354269864736e-06
1867,4.442247245606268e-06
1868,4.3982863644487225e-06
1869,4.688205081038177e-06
1870,4.457451268535806e-06
1871,4.270151293894742e-06
1872,3.563521431715344e-06
1873,4.154547241341788e-06
1874,3.8148396015458275e-06
1875,4.430647550179856e-06
1876,4.149439064349281e-06
1877,3.796390728894039e-06
1878,4.331701347837225e-06
1879,4.087377874384401e-06
1880,4.134783011977561e-06
1881,4.131777586735552e-06
1882,3.852424924843945e-06
1883,4.5290880734683014e-06
1884,4.023887413495686e-06
1885,4.289375283406116e-06
1886,3.850700068142032e-06
1887,3.921261850337032e-06
1888,4.044364686706103e-06
1889,4.28746398029034e-06
