,states
1800,6.330892938422039e-05
1801,6.129768007667735e-05
1802,9.215685713570565e-05
1803,7.748173084110022e-05
1804,8.166913175955415e-05
1805,8.996930409921333e-05
1806,7.630458276253194e-05
1807,9.130940452450886e-05
1808,6.653300806647167e-05
1809,6.725043203914538e-05
1810,7.010062108747661e-05
1811,6.392793875420466e-05
1812,6.301593384705484e-05
1813,7.009659748291597e-05
1814,8.629852527519688e-05
1815,9.018994751386344e-05
1816,7.441185880452394e-05
1817,9.473514364799485e-05
1818,9.389400656800717e-05
1819,9.882230369839817e-05
1820,9.60433972068131e-05
1821,9.40822865231894e-05
1822,8.822865493129939e-05
1823,0.00010765784099930897
1824,8.158040145644918e-05
1825,8.623077883385122e-05
1826,9.1711655841209e-05
1827,9.617008618079126e-05
1828,9.683374810265377e-05
1829,9.83042482403107e-05
1830,9.193481673719361e-05
1831,8.337188774021342e-05
1832,0.0001261573052033782
1833,0.0001092728489311412
1834,8.398597128689289e-05
1835,8.992727816803381e-05
1836,0.00011914323113160208
1837,9.172329009743407e-05
1838,9.293774201069027e-05
1839,9.544929343974218e-05
1840,9.230869181919843e-05
1841,0.00010372195538366213
1842,9.786589362192899e-05
1843,0.0001018065886455588
1844,9.223994129570201e-05
1845,9.353317727800459e-05
1846,9.166158270090818e-05
1847,8.651231473777443e-05
1848,8.658974547870457e-05
1849,8.038315718295053e-05
1850,7.323751924559474e-05
1851,7.755537808407098e-05
1852,7.390067912638187e-05
1853,7.769191142870113e-05
1854,7.922366785351187e-05
1855,7.529386493843049e-05
1856,7.196751539595425e-05
1857,7.147926953621209e-05
1858,7.78181420173496e-05
1859,6.947360816411674e-05
1860,7.114445907063782e-05
1861,7.606388680869713e-05
1862,6.217770715011284e-05
1863,7.231530616991222e-05
1864,6.266722630243748e-05
1865,5.788053022115491e-05
1866,6.565376679645851e-05
1867,5.792954107164405e-05
1868,5.789255374111235e-05
1869,5.6267752370331436e-05
1870,5.894023706787266e-05
1871,5.9318812418496236e-05
1872,5.8507703215582296e-05
1873,6.299585220403969e-05
1874,6.480768206529319e-05
1875,6.33058589301072e-05
1876,6.725116691086441e-05
1877,6.42462691757828e-05
1878,6.19175480096601e-05
1879,6.310360913630575e-05
1880,6.031400334904902e-05
1881,6.849804776720703e-05
1882,6.552495324285701e-05
1883,6.623141234740615e-05
1884,7.311096851481125e-05
1885,7.466943498002365e-05
1886,7.195401121862233e-05
1887,6.551240949193016e-05
1888,7.46211371733807e-05
1889,6.916140409884974e-05
1890,7.185710273915902e-05
1891,7.296262629097328e-05
1892,7.255873060785234e-05
1893,6.749902240699157e-05
1894,7.12998298695311e-05
1895,7.84718431532383e-05
1896,7.590002496726811e-05
1897,7.866551459301263e-05
1898,7.673716027056798e-05
1899,6.831092468928546e-05
1900,7.951611041789874e-05
1901,8.004366827663034e-05
1902,8.186171180568635e-05
1903,8.278415043605492e-05
1904,8.227309444919229e-05
1905,8.423089457210153e-05
1906,8.933016943046823e-05
1907,9.192467405227944e-05
1908,9.012680675368756e-05
1909,9.04424668988213e-05
1910,0.0001006970924208872
1911,9.578757453709841e-05
1912,9.715400665299967e-05
1913,9.668131679063663e-05
1914,0.00010259778355248272
1915,0.00010658661631168798
1916,0.00010424978972878307
1917,0.00010117102647200227
1918,0.0001090290243155323
1919,0.00010156543430639431
1920,0.00010438475874252617
1921,0.00010842057236004621
1922,0.00011367131810402498
1923,0.00010741203732322901
1924,0.00010895227023866028
1925,0.00010881706839427352
1926,0.00011585827451199293
1927,0.00011127917241537943
1928,0.00011765709496103227
1929,0.0001117443825933151
1930,0.00011407760757720098
1931,0.00011977279791608453
1932,0.00012112326658098027
1933,0.00012455647811293602
1934,0.00012428572517819703
1935,0.0001215044831042178
1936,0.00013126064732205123
1937,0.0001295616675633937
1938,0.00012933793186675757
1939,0.0001261792058357969
1940,0.0001290277868974954
1941,0.00012800296826753765
1942,0.00012123576743761078
1943,0.00011911088950000703
1944,0.00012542225886136293
1945,0.00012594628788065165
1946,0.00012238640920259058
1947,0.00012313638580963016
1948,0.00012720485392492265
1949,0.00012018535926472396
1950,0.00012368270836304873
1951,0.00011607776104938239
1952,0.00011450128658907488
1953,0.00011546983296284452
1954,0.000120348617201671
1955,0.00012231759319547564
1956,0.00011997212277492508
1957,0.00011887277651112527
1958,0.00011913456546608359
1959,0.00011995673412457108
1960,0.00012460349535103887
1961,0.00012127981608500704
1962,0.0001221147831529379
1963,0.00012326818250585347
1964,0.00012404883455019444
1965,0.0001237220858456567
1966,0.00012806145241484046
1967,0.00013062625657767057
1968,0.00013353271060623229
1969,0.00013085707905702293
1970,0.0001297364360652864
1971,0.00013210540055297315
1972,0.00013558875070884824
1973,0.00013851122639607638
1974,0.0001426808157702908
1975,0.0001459243067074567
1976,0.00014668556104879826
1977,0.00014693944831378758
1978,0.00014569667109753937
1979,0.000143632001709193
1980,0.00014591566286981106
1981,0.00014609859499614686
1982,0.0001469219714635983
1983,0.00014522179844789207
1984,0.0001470377465011552
1985,0.0001434867299394682
1986,0.0001479343045502901
1987,0.00014865223783999681
1988,0.00014705078501719981
1989,0.00014246845967136323
1990,0.0001460698840674013
1991,0.00014663553156424314
1992,0.00015303969848901033
1993,0.00014679373998660594
1994,0.00014796761388424784
1995,0.000149600746226497
1996,0.00015012129733804613
1997,0.00015120493480935693
1998,0.00015150770195759833
1999,0.00015125691425055265
2000,0.00014741728955414146
2001,0.00014769186964258552
2002,0.0001507677952758968
2003,0.0001502244995208457
2004,0.00014722254127264023
2005,0.00014920788817107677
2006,0.00014576759713236243
2007,0.000147172249853611
2008,0.00013967904669698328
2009,0.00013251589552965015
2010,0.00012876075925305486
2011,0.00011782546789618209
2012,0.0001267527841264382
2013,0.00013403418415691704
2014,0.00011471106699900702
2015,0.00012141694605816156
2016,0.00013744425086770207
2017,0.00011302415077807382
2018,0.000111472858407069
2019,0.00011313221330055967
