,subject
1800,0.0003368433681316674
1801,0.0003682802489493042
1802,0.00039554189424961805
1803,0.00035201339051127434
1804,0.00036860647378489375
1805,0.0003776152152568102
1806,0.0003955646825488657
1807,0.00038655888056382537
1808,0.00037067951052449644
1809,0.0003847851185128093
1810,0.00035155462683178484
1811,0.0003808294131886214
1812,0.0004772896063514054
1813,0.00039447718882001936
1814,0.00043010461376979947
1815,0.00043142458889633417
1816,0.00042961607687175274
1817,0.000465702498331666
1818,0.0004357366415206343
1819,0.00042738733463920653
1820,0.00041240223799832165
1821,0.0004103923274669796
1822,0.00038623722502961755
1823,0.0004067797272000462
1824,0.0004149588639847934
1825,0.0004197938251309097
1826,0.000433161185355857
1827,0.00041418810724280775
1828,0.00043525020009838045
1829,0.0004422521451488137
1830,0.00045338112977333367
1831,0.0004518131900113076
1832,0.0004424687067512423
1833,0.00046626373659819365
1834,0.00046364765148609877
1835,0.0004401777405291796
1836,0.00047377048758789897
1837,0.00045054341899231076
1838,0.00045260891783982515
1839,0.0004288603086024523
1840,0.00041538558434695005
1841,0.0004175597568973899
1842,0.00040232547326013446
1843,0.0004130739835090935
1844,0.0004074604657944292
1845,0.00038903162931092083
1846,0.0004115886986255646
1847,0.0004044585512019694
1848,0.0003998122410848737
1849,0.0004111347661819309
1850,0.00040555140003561974
1851,0.0004113509494345635
1852,0.000406531966291368
1853,0.00042990234214812517
1854,0.0003995054867118597
1855,0.0004010452248621732
1856,0.00039296611794270575
1857,0.00038606132147833705
1858,0.0003999010950792581
1859,0.0003750014293473214
1860,0.0003858126874547452
1861,0.00037771256756968796
1862,0.0003630442370194942
1863,0.000359775178367272
1864,0.0003672648745123297
1865,0.00036383597762323916
1866,0.0003641488146968186
1867,0.0003651049337349832
1868,0.00036675893352366984
1869,0.00035481745726428926
1870,0.00036099759745411575
1871,0.00035447150003165007
1872,0.00036102684680372477
1873,0.00036650634137913585
1874,0.00035717818536795676
1875,0.0003571748093236238
1876,0.00034906950895674527
1877,0.0003496512945275754
1878,0.00034185367985628545
1879,0.0003496957942843437
1880,0.0003368394682183862
1881,0.0003389571502339095
1882,0.0003473282849881798
1883,0.00033300378709100187
1884,0.0003492988762445748
1885,0.00033284028177149594
1886,0.0003472582611721009
1887,0.0003448108909651637
1888,0.0003379839181434363
1889,0.0003361274430062622
1890,0.00033105077454820275
1891,0.00032618275145068765
1892,0.000323059648508206
1893,0.00032096492941491306
1894,0.00032411114079877734
1895,0.00032551144249737263
1896,0.0003161115455441177
1897,0.0003222289960831404
1898,0.00031401176238432527
1899,0.0003018331772182137
1900,0.00030495942337438464
1901,0.00031310447957366705
1902,0.0003085768548771739
1903,0.00031370340730063617
1904,0.0003066718636546284
1905,0.0003119995817542076
1906,0.0003193928860127926
1907,0.0003108861274085939
1908,0.00030775167397223413
1909,0.00031288692844100296
1910,0.00030777661595493555
1911,0.0003074932028539479
1912,0.00031272374326363206
1913,0.00030429885373450816
1914,0.0003076098801102489
1915,0.0003077771107200533
1916,0.0003009260690305382
1917,0.0003068256482947618
1918,0.00029429353890009224
1919,0.0002943391154985875
1920,0.00029000965878367424
1921,0.00029336343868635595
1922,0.0002974562521558255
1923,0.0002856735372915864
1924,0.00028721935814246535
1925,0.0002826157142408192
1926,0.00028956818277947605
1927,0.0002739471383392811
1928,0.0002785255201160908
1929,0.00027957011479884386
1930,0.0002758763439487666
1931,0.0002802843227982521
1932,0.0002828518918249756
1933,0.0002883178531192243
1934,0.0002818804932758212
1935,0.00027855680673383176
1936,0.00028014855342917144
1937,0.0002761700889095664
1938,0.0002786749682854861
1939,0.00028187190764583647
1940,0.0002660004247445613
1941,0.0002760034694802016
1942,0.00026546386652626097
1943,0.00027139222947880626
1944,0.00026419528876431286
1945,0.0002713967696763575
1946,0.00026954812346957624
1947,0.00026593171060085297
1948,0.00026911008171737194
1949,0.00026030506705865264
1950,0.0002586903574410826
1951,0.000256309169344604
1952,0.0002560421417001635
1953,0.0002560903667472303
1954,0.0002607968053780496
1955,0.0002544781018514186
1956,0.0002448114682920277
1957,0.00025386898778378963
1958,0.00024918862618505955
1959,0.00025211949832737446
1960,0.00024539342848584056
1961,0.00024776026839390397
