,system
1800,0.0001293561072088778
1801,0.0001393081183778122
1802,0.0001621849660295993
1803,0.0001445117377443239
1804,0.0001581701508257538
1805,0.00015551810793112963
1806,0.00015260916552506387
1807,0.00015222790534608066
1808,0.00012489527580328286
1809,0.00014067789015825838
1810,0.00011402389645809308
1811,0.00013787458010483533
1812,0.00017180222494062036
1813,0.0001601475669303909
1814,0.00016104825772345066
1815,0.0001715338439680636
1816,0.00015094332047738135
1817,0.00018656387692317367
1818,0.000183219657628797
1819,0.0001849288964876905
1820,0.0001558939111419022
1821,0.00015080034791026264
1822,0.0001629159669391811
1823,0.00015898572746664286
1824,0.00016170389426406473
1825,0.0001680623390711844
1826,0.0002205484634032473
1827,0.00018290482694283128
1828,0.0002043157146545127
1829,0.00020064145792275667
1830,0.0002087105967802927
1831,0.00021353155898395926
1832,0.00022531457943841815
1833,0.0002491503837518394
1834,0.00022929170518182218
1835,0.00021884730085730553
1836,0.00023479523952119052
1837,0.00021663062216248363
1838,0.0002304494264535606
1839,0.00020476675126701593
1840,0.0002035948564298451
1841,0.0002115007082466036
1842,0.00020624887838494033
1843,0.00021351267059799284
1844,0.00019755084940697998
1845,0.00019921136845368892
1846,0.00021519121946766973
1847,0.00021943371393717825
1848,0.00022094682208262384
1849,0.00022179567895364016
1850,0.00021182851924095303
1851,0.00021979020675644279
1852,0.00021085685875732452
1853,0.00023534527281299233
1854,0.00021672472939826548
1855,0.00022101291688159108
1856,0.00020984653383493423
1857,0.0002053663192782551
1858,0.00022435667051468045
1859,0.00020447434508241713
1860,0.00020780311024282128
1861,0.00021194694272708148
1862,0.00020496030629146844
1863,0.0002022817643592134
1864,0.00021193012071307749
1865,0.00020146032329648733
1866,0.00020333181601017714
1867,0.0002203077747253701
1868,0.00022035207075532526
1869,0.00021171555272303522
1870,0.0002203667681897059
1871,0.0002246501826448366
1872,0.0002210929524153471
1873,0.0002145070320693776
1874,0.0002208505611633882
1875,0.00021249362907838076
1876,0.00021310766169335693
1877,0.00021163035125937313
1878,0.0002074063813779503
1879,0.00021499853755813092
1880,0.00020102091366425157
1881,0.00020635088731069118
1882,0.00020780318300239742
1883,0.00020132756617385894
1884,0.00021423008001875132
1885,0.00021137362637091428
1886,0.000216408894630149
1887,0.0002083983999909833
1888,0.0002204616612289101
1889,0.0002222212206106633
1890,0.000231480022193864
1891,0.00022278301184996963
1892,0.0002222405164502561
1893,0.00022878803429193795
1894,0.00023189722560346127
1895,0.00022671977058053017
1896,0.00022715541126672179
1897,0.00023234696709550917
1898,0.00023104909632820636
1899,0.0002165449841413647
1900,0.00022773338423576206
1901,0.0002366984263062477
1902,0.0002431337343296036
1903,0.00024824682623147964
1904,0.0002423722471576184
1905,0.0002471587504260242
1906,0.00024373030464630574
1907,0.0002528156037442386
1908,0.00026248747599311173
1909,0.00026121162227354944
1910,0.000269711745204404
1911,0.0002748322731349617
1912,0.0002752138825599104
1913,0.00028606547857634723
1914,0.0002831329475156963
1915,0.0002734586305450648
1916,0.0002856658538803458
1917,0.00027678461628966033
1918,0.0002763166557997465
1919,0.00028531288262456656
1920,0.0002772915468085557
1921,0.00026945851277559996
1922,0.0002708546817302704
1923,0.00026033082394860685
1924,0.0002610586816444993
1925,0.0002634378324728459
1926,0.00026261850143782794
1927,0.00025416730204597116
1928,0.0002635488344822079
1929,0.00025790100335143507
1930,0.00027453075745142996
1931,0.0002657874138094485
1932,0.00027875450905412436
1933,0.00027680155471898615
1934,0.0002858638181351125
1935,0.0002793530293274671
1936,0.0002803003299050033
1937,0.00027635047445073724
1938,0.0002816857595462352
1939,0.00027449720073491335
1940,0.0002806294651236385
1941,0.00027470692293718457
1942,0.0002683867060113698
1943,0.00027166251675225794
1944,0.0002814313629642129
1945,0.00028820280567742884
1946,0.0002869398449547589
1947,0.00031293107895180583
1948,0.00029778439784422517
1949,0.0003114685241598636
1950,0.00030734980828128755
1951,0.0003113778948318213
1952,0.00030925418832339346
1953,0.00032013101736083627
1954,0.0003278604708611965
1955,0.00033839119714684784
1956,0.0003472810494713485
1957,0.0003538133460097015
1958,0.00038304083864204586
1959,0.0004023949149996042
1960,0.00040905323112383485
1961,0.000420361669966951
1962,0.0004573585756588727
1963,0.00043872714741155505
1964,0.0004464582307264209
1965,0.0004627025336958468
1966,0.0004799289454240352
1967,0.0004932209849357605
1968,0.000505012518260628
1969,0.0005236139986664057
1970,0.0005233022966422141
