,systems
1800,1.1762532267312054e-05
1801,1.3447981473291293e-05
1802,1.4933330021449365e-05
1803,1.1889676898135804e-05
1804,1.4945262591936626e-05
1805,1.3419728020380717e-05
1806,1.2464359315345064e-05
1807,1.2738512850773986e-05
1808,1.0721045327954926e-05
1809,1.388336477248231e-05
1810,1.0634087630023714e-05
1811,1.12049356175703e-05
1812,9.176868843496777e-06
1813,1.0720134923758451e-05
1814,1.2764549865096342e-05
1815,1.2353390957287047e-05
1816,1.0989127076754812e-05
1817,1.4866953279124573e-05
1818,1.3185909665480722e-05
1819,1.3537064660340548e-05
1820,1.1411405466787983e-05
1821,1.1504780559334904e-05
1822,1.2552391126519069e-05
1823,1.2925090231874492e-05
1824,1.3282225154398475e-05
1825,1.2786316801793873e-05
1826,2.1855445083929226e-05
1827,1.4107011338637676e-05
1828,1.5569941751891747e-05
1829,1.6812886315165088e-05
1830,1.4250464118958917e-05
1831,1.5415211237268522e-05
1832,1.8866114260163158e-05
1833,1.6089217751869e-05
1834,1.6272822904284112e-05
1835,1.7206066331709735e-05
1836,1.648443503654562e-05
1837,1.6222236808971502e-05
1838,1.6893080100999214e-05
1839,1.5758643712615594e-05
1840,1.612392043170985e-05
1841,1.7649412257014774e-05
1842,1.6506106476299465e-05
1843,1.6138132195919752e-05
1844,1.5435451132361777e-05
1845,1.6928706827457063e-05
1846,1.66188801813405e-05
1847,1.8140561223844998e-05
1848,1.7802030924940482e-05
1849,1.7766846212907694e-05
1850,1.772849282133393e-05
1851,1.8425207599648274e-05
1852,1.7700245734886266e-05
1853,1.695107675914187e-05
1854,1.9445084035396576e-05
1855,1.759001679602079e-05
1856,1.6766452972660773e-05
1857,1.6717631297069602e-05
1858,1.7979065887629986e-05
1859,1.6410396710853092e-05
1860,1.6825752027216367e-05
1861,1.5931404050206766e-05
1862,1.5394298316095956e-05
1863,1.7772479623090476e-05
1864,1.6220375982811674e-05
1865,1.7014577679219656e-05
1866,1.6232073903665878e-05
1867,1.8417442333884537e-05
1868,1.7494696294306777e-05
1869,1.8618420654092915e-05
1870,1.7969856344279833e-05
1871,1.8412500139675103e-05
1872,1.864558544184547e-05
1873,1.942809649335686e-05
1874,1.874869667517487e-05
1875,1.86837678484153e-05
1876,1.833497117331717e-05
1877,1.9997329218313098e-05
1878,1.8119517335435376e-05
1879,1.991285171243362e-05
1880,1.838877324189525e-05
1881,1.9354863979970105e-05
1882,1.9857476218021475e-05
1883,1.951946433109697e-05
1884,1.927912853716407e-05
1885,1.8942264432553202e-05
1886,2.0269186279620044e-05
1887,1.8323569747735746e-05
1888,2.1054385797469877e-05
1889,2.1267567717586644e-05
1890,2.3731527107884176e-05
1891,2.2540811187354848e-05
1892,2.2200272724148817e-05
1893,2.3427224732586183e-05
1894,2.468357706675306e-05
1895,2.3028720534057356e-05
1896,2.3475722628063522e-05
1897,2.3892871467978694e-05
1898,2.390515146544203e-05
1899,2.26501560973702e-05
1900,2.6268702640663832e-05
1901,2.6492874894756824e-05
1902,2.7993062758469023e-05
1903,2.838657019310631e-05
1904,2.908460737671703e-05
1905,3.0436702218139544e-05
1906,3.0220378903322853e-05
1907,3.155407830490731e-05
1908,3.2055017072707415e-05
1909,3.240802834625356e-05
1910,3.5172401112504303e-05
1911,3.6827539588557556e-05
1912,3.6377343349158764e-05
1913,4.087126217200421e-05
1914,3.88369444408454e-05
1915,3.9223279600264505e-05
1916,4.0906317735789344e-05
1917,4.032537617604248e-05
1918,4.238506517140195e-05
1919,4.451714630704373e-05
1920,4.31437001680024e-05
1921,4.22686425736174e-05
1922,4.26956576120574e-05
1923,4.2796425987035036e-05
1924,4.285639806766994e-05
1925,4.391749098431319e-05
1926,4.252646613167599e-05
1927,4.591240212903358e-05
1928,4.540722511592321e-05
1929,4.739272117149085e-05
1930,4.9556045269127935e-05
1931,4.811371400137432e-05
1932,5.1231578254373744e-05
1933,5.23513626831118e-05
1934,5.1987059123348445e-05
1935,5.013441477785818e-05
1936,4.977470962330699e-05
1937,5.0587386795086786e-05
1938,5.309806510922499e-05
1939,5.2207444241503254e-05
1940,5.5298900406342e-05
1941,5.520867125596851e-05
1942,5.430250894278288e-05
1943,5.344688906916417e-05
1944,5.830920417793095e-05
1945,5.8439181884750724e-05
1946,6.121063051978126e-05
1947,6.767104787286371e-05
1948,6.436689000111073e-05
1949,7.31905092834495e-05
1950,7.141778769437224e-05
1951,7.156575884437189e-05
1952,7.264548185048625e-05
1953,7.533211464760825e-05
1954,8.295566658489406e-05
1955,8.469776366837323e-05
1956,9.050616790773347e-05
1957,9.436006803298369e-05
1958,0.00010490960266906768
1959,0.00011503015412017703
1960,0.00012226621038280427
1961,0.0001250233908649534
1962,0.00014565764286089689
1963,0.00014114346413407475
1964,0.0001431269629392773
1965,0.00015192751016002148
1966,0.00015971102402545512
1967,0.00017024154658429325
1968,0.00017000865773297846
1969,0.0001725771726341918
1970,0.0001823648199206218
1971,0.00019035101286135614
1972,0.0001993526821024716
1973,0.00020432235032785684
1974,0.0002130409557139501
1975,0.0002210831589763984
1976,0.000230345394811593
1977,0.0002401984529569745
1978,0.00024983170442283154
1979,0.0002546871255617589
1980,0.00025133960298262537
1981,0.00024814761127345264
1982,0.0002523880684748292
1983,0.00026168455951847136
1984,0.00025594988255761564
1985,0.00025810059742070735
1986,0.0002613617689348757
1987,0.00025698504759930074
1988,0.0002532431099098176
1989,0.00024240459606517106
1990,0.0002535083913244307
1991,0.0002499178808648139
1992,0.0002463736745994538
1993,0.00023763231001794338
1994,0.00024513431708328426
1995,0.0002393969480181113
1996,0.00022840220481157303
1997,0.0002263109927298501
1998,0.0002229184756288305
1999,0.00021589147218037397
2000,0.0002061301638605073
2001,0.00020035903435200453
2002,0.00020574737573042512
2003,0.0002059721591649577
2004,0.00019473014981485903
2005,0.0001928050915012136
2006,0.00018680939683690667
2007,0.00017758925969246775
2008,0.00016428927483502775
2009,0.00016040691116359085
2010,0.0001551480236230418
2011,0.00015542136679869145
2012,0.0001833138958318159
2013,0.0001697925035841763
2014,0.0001388384262099862
2015,0.00013301220315042883
2016,0.00015131609688978642
2017,0.00013623604900203645
2018,0.0001364560448564589
2019,0.00014292221749201417
