,technology
1800,9.524317334808075e-08
1801,2.4303581369622407e-08
1802,4.6259259534053854e-08
1803,2.1900520152939862e-07
1804,5.8506898881205416e-08
1805,5.166108962839644e-08
1806,7.862399087343874e-08
1807,1.452169158255856e-07
1808,3.0901624370471836e-08
1809,5.429552274449634e-08
1810,3.954281169171736e-08
1811,1.1203287897387781e-07
1812,4.5593054665005184e-08
1813,6.865035828695909e-08
1814,7.219025377480648e-08
1815,2.8406283547610656e-08
1816,7.468207030569829e-08
1817,2.457347818562994e-07
1818,5.272741532280634e-08
1819,9.584704940834854e-08
1820,5.517391699072505e-08
1821,3.7597320812210455e-08
1822,3.2614543954423425e-08
1823,6.19067108686977e-08
1824,4.589387003761658e-08
1825,3.5808675136195234e-08
1826,7.207144676613098e-07
1827,5.163620642179012e-08
1828,1.1788024778525141e-07
1829,1.0119750015746831e-07
1830,6.221951309726137e-08
1831,1.5446103418526036e-07
1832,9.543247188048554e-07
1833,7.805441981645345e-08
1834,7.608072394305054e-08
1835,1.5676015152621403e-07
1836,5.253865253962431e-08
1837,4.8839392974286966e-08
1838,8.034827914116249e-08
1839,3.031721007573651e-07
1840,1.2522275483206613e-07
1841,1.35707182380429e-07
1842,1.0874636302560248e-07
1843,6.984143396948639e-08
1844,1.0237724268336024e-07
1845,1.3537517418171774e-07
1846,7.344347352500336e-08
1847,1.570732734990088e-07
1848,1.004418450634148e-07
1849,9.906993625463656e-08
1850,7.678712421466116e-08
1851,1.3436762458240992e-07
1852,8.35112388131165e-08
1853,9.702849723680629e-08
1854,1.774500901774445e-07
1855,5.8398615720989255e-08
1856,9.76286500531387e-08
1857,7.635881615897233e-08
1858,1.2532167659173865e-07
1859,1.4367924450198188e-07
1860,2.1126112415004172e-07
1861,1.6975755556813965e-07
1862,1.424529045834788e-07
1863,1.8914614940968022e-07
1864,1.012241312992046e-07
1865,1.95403970337793e-07
1866,1.6741674357945158e-07
1867,1.635142581335458e-07
1868,2.4488241479048156e-07
