,terms
1800,0.00010153319453820586
1801,0.00011349366832291707
1802,0.00013399204181041569
1803,0.00010188928717980161
1804,0.00011650998931145296
1805,0.00012010899081360549
1806,0.00011037088552257046
1807,0.00011299584002699703
1808,0.00011016974167432636
1809,0.00010810238018166274
1810,0.0001059132264344953
1811,0.0001241752615896985
1812,0.000123634425108321
1813,0.00011670561070786789
1814,0.0001415946171618998
1815,0.00011770393757615238
1816,0.00010959933570120484
1817,0.00012144271022407338
1818,0.00012304686242714524
1819,0.00010732073860708624
1820,0.00011179315333720297
1821,0.00010099518112838268
1822,0.00010501146607566625
1823,0.00010923646186711267
1824,0.00010788838699227199
1825,0.00011411176819819957
1826,0.0001232146460097283
1827,0.00011561816063476726
1828,0.00011397335765650496
1829,0.00011462856491561979
1830,0.00011951635678997263
1831,0.00011201359302503988
1832,0.000146325517562218
1833,0.00011334502778481692
1834,0.00011686584912240505
1835,0.0001096468695322983
1836,0.00011470342724351212
1837,0.00011774596350733191
1838,0.0001099299406632781
1839,0.000111494300654158
1840,0.00010948751878459007
1841,0.00011278922465862706
1842,0.00010811510583152995
1843,0.00011608122440520674
1844,0.00010928158735623583
1845,0.00011271089897491038
1846,0.00011593832459766418
1847,0.00011739591718651354
1848,0.00011330914276186377
1849,0.00011535530211403966
1850,0.00010916031897068024
1851,0.00011539766273926944
1852,0.0001112215468310751
1853,0.00011549514601938426
1854,0.0001135381608037278
1855,0.00011815632024081424
1856,0.0001140903914347291
1857,0.00011460185487521812
1858,0.00011514011566760018
1859,0.00011449531302787364
1860,0.00011089995678048581
1861,0.00011488029849715531
1862,0.00010801385360537097
1863,0.00011137505498481914
1864,0.0001135173297370784
1865,0.00011319350596750155
1866,0.00011318608449073508
1867,0.00011027421714970842
1868,0.00011295889999018982
1869,0.00011092704517068341
1870,0.0001147373259300366
1871,0.0001153831763076596
1872,0.00011267045920249075
1873,0.00011542173160705715
1874,0.00011358684423612431
1875,0.0001139793821494095
1876,0.00011044454731745645
1877,0.00011559615813894197
1878,0.00011829790310002863
1879,0.00011583971354411915
1880,0.00011214338155696169
1881,0.00011738952161977068
1882,0.00011167364573339
1883,0.0001108519354602322
1884,0.00011426041601225734
1885,0.00011192417878191918
1886,0.00011742825154215097
1887,0.00011633503891061991
1888,0.00011611026275204495
1889,0.00011109111073892564
1890,0.00011382459342712536
1891,0.00011080988770117983
1892,0.00011349869600962847
1893,0.00011159613495692611
1894,0.00011578675912460312
1895,0.0001156538855866529
1896,0.00011190640361746773
1897,0.00011364145029801875
1898,0.00011513286153785884
1899,0.00010879099136218429
1900,0.00010917540203081444
1901,0.00011708288366207853
1902,0.00011199877189937979
1903,0.00011483437265269458
1904,0.00011424662079662085
1905,0.0001177105659735389
1906,0.00012116882135160267
1907,0.00011756727326428518
1908,0.00011705738870659843
1909,0.0001162991247838363
1910,0.0001188014866784215
1911,0.00012212789442855865
1912,0.00012536898429971188
1913,0.0001261614670511335
1914,0.00012720661470666528
1915,0.00013138561917003244
1916,0.00012943298497702926
1917,0.00013254718214739114
1918,0.00013666306040249765
1919,0.00013712799409404397
1920,0.0001356756256427616
1921,0.00013522899826057255
1922,0.00013940644566901028
1923,0.00013309239875525236
1924,0.0001324768818449229
1925,0.00013351051893550903
1926,0.00013532319280784577
1927,0.00013406672223936766
1928,0.00013244955334812403
1929,0.0001311527448706329
1930,0.00013233933714218438
1931,0.00013896885502617806
1932,0.0001405664224876091
1933,0.00015282789536286145
1934,0.00015072053065523505
1935,0.00014831128646619618
1936,0.00014762053615413606
1937,0.00014862058742437512
1938,0.00015436927787959576
1939,0.00015830692427698523
1940,0.0001572577893966809
1941,0.00016045963275246322
1942,0.00015704896941315383
1943,0.0001532848400529474
1944,0.0001554878690512851
1945,0.00016461101768072695
1946,0.00016061887436080724
1947,0.00016992514429148287
1948,0.0001675808016443625
1949,0.00016959829372353852
1950,0.0001693084923317656
1951,0.00017164823657367378
1952,0.0001700099091976881
1953,0.00017274045967496932
1954,0.00017751747509464622
1955,0.0001800291211111471
1956,0.00017975298396777362
1957,0.00018470993381924927
1958,0.00018784251005854458
1959,0.0001951634621946141
1960,0.00019336595141794533
1961,0.00019968552805949003
1962,0.00019876456644851714
1963,0.00020337275054771453
1964,0.00020404637325555086
1965,0.00020113636855967343
1966,0.00021103261678945273
1967,0.00021118384029250592
1968,0.00021017220569774508
1969,0.00021238578483462334
1970,0.00021365316933952272
1971,0.00021793460473418236
1972,0.0002197365101892501
1973,0.0002205109631177038
1974,0.0002235326246591285
1975,0.0002257985615869984
1976,0.00022259877005126327
1977,0.0002234600397059694
1978,0.0002206634235335514
1979,0.00022040035401005298
1980,0.0002211651299148798
1981,0.00021839109831489623
1982,0.000216980668483302
1983,0.00021601654589176178
1984,0.00021373177878558636
1985,0.00020875541667919606
1986,0.00021339628437999636
1987,0.0002122178702848032
1988,0.00021215110609773546
1989,0.00021117534197401255
1990,0.00021533631661441177
1991,0.0002101640566252172
1992,0.00021704300888814032
1993,0.00021784420823678374
1994,0.0002100209385389462
1995,0.00020855115144513547
1996,0.0002096501993946731
1997,0.00021083754836581647
1998,0.00020909322483930737
1999,0.0002094542287522927
2000,0.0002045517903752625
2001,0.00020636720000766218
2002,0.00021176559675950557
2003,0.0002058758691418916
2004,0.00020221134764142334
2005,0.00020422351371962577
2006,0.0002009031450143084
2007,0.00020075682550668716
2008,0.0001884406228782609
2009,0.00018332978652324528
2010,0.0001769873488228768
2011,0.00016556728223804384
2012,0.00017776871391106397
2013,0.00019186668214388192
2014,0.00016719053382985294
2015,0.00016641966067254543
2016,0.00018603446369525045
2017,0.00016117567429319024
2018,0.00015401336713694036
2019,0.0001579076488269493
