,text
1800,3.222790837753564e-05
1801,3.270856905146502e-05
1802,4.429113687365316e-05
1803,3.351355917402543e-05
1804,4.5771896111546084e-05
1805,3.328493403387256e-05
1806,3.062404357478954e-05
1807,3.22680534736719e-05
1808,3.442077286308631e-05
1809,3.4441458410583436e-05
1810,3.999535692855716e-05
1811,4.3567608372541144e-05
1812,3.532701884978451e-05
1813,3.489726805128157e-05
1814,4.860536864725873e-05
1815,4.9528862291481346e-05
1816,3.776468656724319e-05
1817,4.501480725593865e-05
1818,3.753110286197625e-05
1819,3.2456206099595875e-05
1820,3.750747055164538e-05
1821,4.941416045767255e-05
1822,4.385709326015785e-05
1823,4.4852444261778146e-05
1824,4.310424264986068e-05
1825,4.474948946153745e-05
1826,3.657453999039717e-05
1827,4.79343616461847e-05
1828,3.6050969356438145e-05
1829,3.8956888602115214e-05
1830,3.997493695351295e-05
1831,3.513139017741196e-05
1832,3.338906753924675e-05
1833,3.80578676413279e-05
1834,3.528845263645053e-05
1835,3.323672717669979e-05
1836,3.721757457242347e-05
1837,4.4716536649502814e-05
1838,3.1877152650849894e-05
1839,4.5879871322540566e-05
1840,3.609993291320279e-05
1841,3.625037788879126e-05
1842,3.826545798801817e-05
1843,3.903818651451729e-05
1844,3.865794133162126e-05
1845,3.609025225159712e-05
1846,3.639399437815882e-05
1847,3.735398786375299e-05
1848,3.436465703998692e-05
1849,3.78355871362146e-05
1850,3.582946737878956e-05
1851,3.3678035833872855e-05
1852,3.301439937786199e-05
1853,4.031932621728629e-05
1854,3.9675043808529153e-05
1855,3.376289168954827e-05
1856,3.811199349001981e-05
1857,3.684029798023403e-05
1858,3.956048749387264e-05
1859,3.999988257419318e-05
1860,3.8387526728911325e-05
1861,3.7694240745622665e-05
1862,3.6396293580764905e-05
1863,4.149729647906497e-05
1864,3.7631256418535486e-05
1865,3.9842911064624786e-05
1866,3.606009704526514e-05
1867,3.6722140066558495e-05
1868,3.840072167804465e-05
1869,3.9285048842430115e-05
1870,3.95674433093518e-05
1871,4.120932862861082e-05
1872,4.011981945950538e-05
1873,4.4253378291614354e-05
1874,4.132245885557495e-05
1875,4.2239640606567264e-05
1876,3.975171421188861e-05
1877,4.207993333693594e-05
1878,4.006107701570727e-05
1879,4.041440843138844e-05
1880,4.379542588139884e-05
1881,4.895954407402314e-05
1882,4.448459731065668e-05
1883,4.2410763853695244e-05
1884,4.19656716985628e-05
1885,4.542400347418152e-05
1886,4.4829343096353114e-05
1887,4.0312963392352685e-05
1888,4.4109721784479916e-05
1889,4.5503202272811905e-05
1890,4.638096288545057e-05
1891,5.002524994779378e-05
1892,4.500527575146407e-05
1893,4.7769546654308215e-05
1894,4.717367119155824e-05
1895,4.6923698391765356e-05
1896,4.844323484576307e-05
1897,4.700541467173025e-05
1898,4.6826415200484917e-05
1899,4.5591714297188446e-05
1900,4.5918375690234825e-05
1901,4.448594700079411e-05
1902,4.7869005356915295e-05
1903,4.8766814870759845e-05
1904,4.806849392480217e-05
1905,4.755999907501973e-05
1906,4.6103497879812494e-05
1907,4.617086233338341e-05
1908,4.659020487451926e-05
1909,4.380459358799271e-05
1910,4.512438317760825e-05
1911,4.375100616016425e-05
1912,4.415307193994522e-05
1913,4.299012653063983e-05
1914,4.185792204225436e-05
1915,4.117355274502188e-05
1916,3.915161869372241e-05
1917,3.9315622416324914e-05
1918,3.95386632590089e-05
1919,3.742969056474976e-05
1920,3.933134939870797e-05
1921,4.06631879741326e-05
1922,4.0473165427101776e-05
1923,4.226858800393529e-05
1924,4.14222595281899e-05
1925,4.478121263673529e-05
1926,4.995486597181298e-05
1927,4.731659282697365e-05
1928,4.6132368879625574e-05
1929,4.6922410547267646e-05
1930,4.592063487507403e-05
1931,4.900465501123108e-05
1932,4.628724491340108e-05
1933,4.953270035912283e-05
1934,5.049230094300583e-05
1935,4.934562821290456e-05
1936,5.1960763812530786e-05
1937,4.699490818893537e-05
1938,4.980322773917578e-05
1939,4.544214243651368e-05
1940,4.531586455414072e-05
1941,5.456534563563764e-05
1942,4.718667332781479e-05
1943,4.574919876176864e-05
1944,4.333856486482546e-05
1945,5.044616409577429e-05
1946,5.548677290789783e-05
1947,5.75555968680419e-05
1948,6.0033129557268694e-05
1949,5.676011278410442e-05
1950,5.925269942963496e-05
1951,5.685845826519653e-05
1952,6.0039645177312195e-05
1953,5.703920032829046e-05
1954,5.8637873735278845e-05
1955,5.844578117830679e-05
1956,5.709915785701014e-05
1957,5.441692337626591e-05
1958,5.737255560234189e-05
1959,5.617287024506368e-05
1960,5.7742116041481495e-05
1961,5.986122414469719e-05
1962,6.0939157265238464e-05
1963,5.9523037634789944e-05
1964,6.083817424951121e-05
1965,6.028518691891804e-05
1966,6.0366757679730654e-05
1967,6.149391265353188e-05
1968,6.131139525678009e-05
1969,6.412872608052567e-05
1970,6.022637171554379e-05
1971,6.0940561525058e-05
1972,6.486385245807469e-05
1973,6.436442345147952e-05
1974,6.608748662983999e-05
1975,6.596204912057146e-05
1976,6.436769763240591e-05
1977,6.937493162695318e-05
1978,6.926307833055034e-05
1979,7.14794805389829e-05
1980,7.673359505133703e-05
1981,8.32251098472625e-05
1982,7.863448990974575e-05
1983,8.575029642088339e-05
1984,9.500389569438994e-05
1985,8.96167621249333e-05
1986,9.206624235957861e-05
1987,9.243800741387531e-05
1988,9.53279813984409e-05
1989,0.00010435980948386714
1990,0.00010533178283367306
1991,0.00010368462972110137
1992,0.00011183165042893961
1993,0.00013060664059594274
1994,0.0001203306092065759
1995,0.00011588029883569106
1996,0.00011965675366809592
1997,0.0001210020127473399
1998,0.00012148758105468005
1999,0.00012200296623632312
2000,0.00011711151455529034
2001,0.00012176900054328144
2002,0.00013004938955418766
2003,0.00011846292181871831
2004,0.00012174429139122367
2005,0.00011373541929060593
2006,0.00011762857320718467
2007,0.0001201220293296501
2008,0.00011011135939043015
2009,0.00011026162246707827
2010,0.0001187162270070985
2011,0.00010420924081699923
2012,9.892796515487134e-05
2013,0.00011007366992998868
2014,0.00010429136455059052
2015,0.00010579835361568257
2016,0.00011531126074260101
2017,9.413264342583716e-05
2018,8.73926401254721e-05
2019,9.088146180147305e-05
