,there
1800,0.001354103907942772
1801,0.0012112782569602132
1802,0.0011329102562740445
1803,0.0011416395427659154
1804,0.0011255069402977824
1805,0.0011550751514732838
1806,0.001153942197561264
1807,0.001178497215732932
1808,0.0013222459238022566
1809,0.0013487315736711025
1810,0.0012341574765741825
1811,0.0013362918980419636
1812,0.0013478813925758004
1813,0.0012523336336016655
1814,0.0012449948117136955
1815,0.0012474018149077892
1816,0.00148787593934685
1817,0.001312934560701251
1818,0.0012726369313895702
1819,0.0012472749222069979
1820,0.0013261855347082019
1821,0.0012683544773608446
1822,0.0012814117362722754
1823,0.0012898191343992949
1824,0.0012855943059548736
1825,0.0012609404511749744
1826,0.0013228787574917078
1827,0.001251188456080854
1828,0.0012948019430041313
1829,0.0013022400671616197
1830,0.0013173670740798116
1831,0.0012888530036434531
1832,0.001416488434188068
1833,0.0013424119679257274
1834,0.0013231257908046246
1835,0.0013328600907698274
1836,0.0013801027089357376
1837,0.001359914313070476
1838,0.0013802885077893734
1839,0.0013807151699438691
1840,0.001342750620096922
1841,0.001331224339082837
1842,0.0013436870649456978
1843,0.0013699386036023498
1844,0.0013932812726125121
1845,0.0013452869607135653
1846,0.0013621202670037746
1847,0.001348111778497696
1848,0.001374916173517704
1849,0.0013848621165379882
1850,0.001378671615384519
1851,0.001367058022879064
1852,0.001366536132991314
1853,0.0014174437383189797
1854,0.0013502645306289196
1855,0.0013597855577245355
1856,0.0013604301493614912
1857,0.001365272211842239
1858,0.0013822010951116681
1859,0.0013365428894758224
1860,0.0013923047808930278
1861,0.001382614835165441
1862,0.001392672536894679
1863,0.0014070180477574468
1864,0.0014148630434647202
1865,0.0014316909946501255
1866,0.0014254770940169692
1867,0.001422530272975564
1868,0.0014303014613687992
1869,0.0014358750777319074
1870,0.001438015140593052
1871,0.0014348907861858606
1872,0.0015718344366177917
1873,0.0014184473548084497
1874,0.0014431120362132788
1875,0.0014304844662547112
1876,0.001470860093832016
1877,0.0014704355271533132
1878,0.00144078372977674
1879,0.0014284981880337
1880,0.0014041049871593714
1881,0.0013957364717498422
1882,0.0014583009760826826
1883,0.0014091823250055313
1884,0.0014346266398206353
1885,0.0014263452030718327
1886,0.0014337310567498207
1887,0.001415093895047903
1888,0.0014248641673475504
1889,0.0014135435922071338
1890,0.0014193031238391995
1891,0.0013996072812005877
1892,0.0014155295211821795
1893,0.0014093845384195447
1894,0.0014452127506956458
1895,0.001393645885400474
1896,0.0014050141908228397
1897,0.0013637369265779853
1898,0.001390949939377606
1899,0.0013978711795061827
1900,0.0014167604967951775
1901,0.0013863124186173081
1902,0.0013806682545691729
1903,0.0013627096777781844
1904,0.0013770388904958963
1905,0.0013555075274780393
1906,0.0013848688686266541
1907,0.0013705519959330559
1908,0.0013983930693939328
1909,0.0013576685450971127
1910,0.0013417147565633059
1911,0.0013505653478205204
1912,0.0013537375489249825
1913,0.0013266955502331257
1914,0.001332850893959403
1915,0.0012796083465218544
1916,0.0013281343271955848
1917,0.0012670597061514854
1918,0.0013057483593001962
1919,0.0013294939417392015
1920,0.0013410443207249045
1921,0.0013002080377191305
1922,0.0013067704858258367
1923,0.0012605859665200114
1924,0.0013429041719064116
1925,0.0012555401772260666
1926,0.0012894434621557593
1927,0.0012270546285435557
1928,0.0012710047885775566
1929,0.0012406662572175264
1930,0.0012429753551259637
1931,0.0011902910191565752
1932,0.0012209058040753007
1933,0.001173011027276516
1934,0.001225392916239798
1935,0.0012072689132764935
1936,0.0012205926468595862
1937,0.0011811400763690472
1938,0.0011846170527860522
1939,0.0011775747407227755
1940,0.001144721987657249
1941,0.0011317998869344592
1942,0.0011558325495570898
1943,0.0011760236229747534
1944,0.0011745091760531068
1945,0.0011726182419806719
1946,0.0011959775583818555
1947,0.0011766438838094473
1948,0.001171497511677444
1949,0.0011006309650838375
1950,0.0011360823409631848
1951,0.0011487421579658985
1952,0.001173309632577002
1953,0.0011420896044000983
1954,0.0011305720545351505
1955,0.0011501512490212917
1956,0.001151928910985589
1957,0.0011432479368522763
1958,0.0011276825098320842
1959,0.0010925789829343557
1960,0.0010980714578181505
1961,0.0010891261044889688
1962,0.0010961409425362945
1963,0.0010798450093716383
1964,0.001098445849493146
1965,0.001078111003153026
1966,0.001108107389882207
1967,0.0011002984829246998
1968,0.0011147072073072195
1969,0.00109949242323637
1970,0.001080611371435225
1971,0.001055610948242247
1972,0.0010423094499856234
1973,0.0010080987121909857
1974,0.0010253161890432239
1975,0.0009982435731217265
1976,0.0009897059062495828
1977,0.0009707795106805861
1978,0.00095537950983271
1979,0.0009474038961343467
1980,0.000946981250308454
1981,0.0009118641028180718
1982,0.0009182316716760397
1983,0.000916328455787152
1984,0.0009210554999299347
1985,0.0008993804221972823
1986,0.0009116876171901822
1987,0.0009030004148371518
1988,0.0009110747487284243
1989,0.0008902771514840424
1990,0.0008978114346973598
1991,0.000897801190149039
1992,0.0008966464665718377
1993,0.0008760431664995849
1994,0.0008815822075121105
1995,0.0008655440178699791
1996,0.0008939707186073065
1997,0.0009130061371251941
1998,0.0009193886653520167
1999,0.0009287582943215966
2000,0.0009705843403935432
2001,0.0009726373245939612
2002,0.0009989328682422638
2003,0.0010177877265959978
2004,0.0010318681597709656
2005,0.0010396171128377318
2006,0.001060856506228447
2007,0.0010808745864778757
2008,0.0011240225285291672
2009,0.001170274568721652
2010,0.0011933826608583331
2011,0.0012232469161972404
2012,0.0011772684520110488
2013,0.0011998476693406701
2014,0.0012680634390562773
2015,0.0012474583927541971
2016,0.0012158512836322188
2017,0.0012877568369731307
2018,0.0012790608452633023
2019,0.001273360219784081
