,they
1800,0.0033051285427063704
1801,0.003245163941755891
1802,0.003185803536325693
1803,0.0032443832606077194
1804,0.003303325502201915
1805,0.0032984146382659674
1806,0.0032916793134063482
1807,0.003332429099828005
1808,0.003373859217390418
1809,0.003392212325707078
1810,0.0033910421188920736
1811,0.0034602375235408545
1812,0.0035029915161430836
1813,0.0032767716329544783
1814,0.0032714391127228737
1815,0.00329623487778008
1816,0.003460422158241272
1817,0.0033262057695537806
1818,0.0032487683929502964
1819,0.0031008198857307434
1820,0.0032779015600681305
1821,0.0029806254897266626
1822,0.003204741980880499
1823,0.0032542934641242027
1824,0.0031644892878830433
1825,0.003240483347326517
1826,0.0031817310955375433
1827,0.003106607822701335
1828,0.0031507776584476233
1829,0.0031625505071133375
1830,0.0032026306726038456
1831,0.003132423385977745
1832,0.0026773519348353148
1833,0.0031059635803103447
1834,0.003059533191844821
1835,0.002997755305841565
1836,0.0030918805859982967
1837,0.0029756296426057816
1838,0.0030009972397238016
1839,0.0030323006212711334
1840,0.0030263636726886034
1841,0.0030018140096217394
1842,0.0028637314680963755
1843,0.002921081380918622
1844,0.0030631893314421177
1845,0.002841866109520197
1846,0.002828005701303482
1847,0.0028277630917727947
1848,0.0028354148380458355
1849,0.0028566333930939436
1850,0.0028042565099895
1851,0.002799123525619507
1852,0.0027256894391030073
1853,0.002773936605080962
1854,0.0027046366594731808
1855,0.0027187129016965628
1856,0.0026358789764344692
1857,0.002540689194574952
1858,0.0025303706061095
1859,0.0025200936943292618
1860,0.0025451574474573135
1861,0.0025268520694226027
1862,0.002484955359250307
1863,0.002500038594007492
1864,0.002468298189342022
1865,0.0024712549056857824
1866,0.002459994051605463
1867,0.002408212050795555
1868,0.0024013840593397617
1869,0.002395631279796362
1870,0.002410558518022299
1871,0.00241634389385581
1872,0.002492026425898075
1873,0.0022776250261813402
1874,0.002262790920212865
1875,0.0023137410171329975
1876,0.00229004118591547
1877,0.0022766354959458113
1878,0.0022159195505082607
1879,0.002190789207816124
1880,0.00221542501822114
1881,0.002204759744927287
1882,0.002227445598691702
1883,0.002172076376155019
1884,0.002149251289665699
1885,0.002160112140700221
1886,0.0020856133196502924
1887,0.002060801489278674
1888,0.0021127541549503803
1889,0.0020629081409424543
1890,0.0020525509025901556
1891,0.001999259926378727
1892,0.002015745500102639
1893,0.001988175790756941
1894,0.002019759500399232
1895,0.0019527084659785032
1896,0.0019917930476367474
1897,0.0018991081742569804
1898,0.0019121557706966996
1899,0.0019919737242162228
1900,0.0019535571336746216
1901,0.0019103961531072855
1902,0.0018679046770557761
1903,0.0018592651467770338
1904,0.001881502103060484
1905,0.0018286501290276647
1906,0.0018287156708538532
1907,0.0018151991534978151
1908,0.0018127718940377235
1909,0.0017838083440437913
1910,0.0017448252765461802
1911,0.0017089762259274721
1912,0.0017200590809807181
1913,0.001697923755273223
1914,0.0016862631309777498
1915,0.0016000388422980905
1916,0.0016861665062606335
1917,0.0016084543894976377
1918,0.001676390878856182
1919,0.0017181813018396497
1920,0.0017074597999453545
1921,0.0016258981777355075
1922,0.001625631470233202
1923,0.0016120020300149918
1924,0.0016930665588006377
1925,0.0016004566568881273
1926,0.0016471903072670102
1927,0.001608278602361679
1928,0.0016291366191580892
1929,0.0016035058069974184
1930,0.001593104680068791
1931,0.0015304742846637964
1932,0.0015813657082617283
1933,0.001496417447924614
1934,0.0015880244318395853
1935,0.0015567149966955185
1936,0.0015633163275197148
1937,0.0015349602326750755
1938,0.0015547304647043347
1939,0.001541508943773806
1940,0.001508568413555622
1941,0.0014901701360940933
1942,0.0015946325147524476
1943,0.0016097406623885036
1944,0.0016016250010579824
1945,0.001587789272889495
1946,0.0016081753419712186
1947,0.0015808739699423313
1948,0.0015606200322508812
1949,0.0014709405368193984
1950,0.0014968614559620619
1951,0.0015102142933756113
1952,0.0015707854181528091
1953,0.0014911368489265442
1954,0.0014539363328367472
1955,0.0014986051246523857
1956,0.0014983750879764557
1957,0.0014571469509974122
1958,0.0014560003764927387
1959,0.0014071404002606869
1960,0.0014231906970962882
1961,0.0014246654463931918
1962,0.001428722171112895
1963,0.0014258663868531585
1964,0.001424220041371882
1965,0.0014535243390128016
1966,0.0014763205545023084
1967,0.0014969281619414687
1968,0.0015499185537919402
1969,0.0015576399164274335
1970,0.0015077468706294894
1971,0.001480849809013307
1972,0.0014125945745036006
1973,0.001352647552266717
1974,0.0013656695373356342
1975,0.0013137002242729068
1976,0.0013049240224063396
1977,0.0012830893974751234
1978,0.0012725063133984804
1979,0.00126702431589365
1980,0.0012730140006169677
1981,0.0012353771599009633
1982,0.0012500783195719123
1983,0.0012603509239852428
1984,0.0012708524009212852
1985,0.0012498432770371437
1986,0.0012762865517288446
1987,0.001274506445042789
1988,0.0012993784621357918
1989,0.0012768565211445093
1990,0.0012968142982572317
1991,0.0013019167818129063
1992,0.0013212396297603846
1993,0.0013192788464948535
1994,0.0013284961460158229
1995,0.0013210346223786473
1996,0.0013831286923959851
1997,0.0014105653390288353
1998,0.0014392160810530186
1999,0.001470527146011591
2000,0.001548364874906838
2001,0.0015551556134596467
2002,0.001593907130882144
2003,0.0016395393759012222
2004,0.001695286831818521
2005,0.0017028914298862219
2006,0.0017498574452474713
2007,0.0017824872629716992
2008,0.0018593353452160954
2009,0.0019687674939632416
2010,0.00204062950797379
2011,0.002049699891358614
2012,0.0019073067232966423
2013,0.001977864420041442
2014,0.0020961430855095387
2015,0.002099750330671668
2016,0.0020290380343794823
2017,0.0021528343204408884
2018,0.0021410088520497084
2019,0.0020937968511134386
