,thread
1800,1.1810153409896884e-05
1801,1.4448478395934217e-05
1802,1.0534495231695473e-05
1803,1.085804706235649e-05
1804,1.007618811854627e-05
1805,1.1383673154341523e-05
1806,1.2496300769271329e-05
1807,1.4790769455430564e-05
1808,1.2047997188346926e-05
1809,1.7054222553269938e-05
1810,1.4112390090303961e-05
1811,9.020293873618357e-06
1812,8.410652299062349e-06
1813,1.1150344107591081e-05
1814,9.409342965227552e-06
1815,1.0816110261657741e-05
1816,8.796189831627999e-06
1817,8.864004485076293e-06
1818,1.1656814422167372e-05
1819,1.5199744666460901e-05
1820,9.296804819314275e-06
1821,1.0686411769711412e-05
1822,1.1843288120871875e-05
1823,1.3083983503747731e-05
1824,1.2130379218433518e-05
1825,1.229547615366755e-05
1826,1.0490181011846289e-05
1827,1.0472761459823232e-05
1828,1.0006526281358674e-05
1829,1.1371446817065589e-05
1830,1.2277007044758648e-05
1831,1.0902632311626803e-05
1832,1.105491719499696e-05
1833,1.1073053428845014e-05
1834,1.0497839866729919e-05
1835,1.2088413313904312e-05
1836,1.1992091458523646e-05
1837,1.0483026926522143e-05
1838,1.0730307621997781e-05
1839,1.1096519301645458e-05
1840,1.1045623068639543e-05
1841,1.1457104847067967e-05
1842,1.3385350939643104e-05
1843,1.0915898201346863e-05
1844,1.1266395631537307e-05
1845,1.2645658898691181e-05
1846,1.1269442438788246e-05
1847,1.2112406693631783e-05
1848,1.074727697414346e-05
1849,1.1023243132513016e-05
1850,1.1110800187452696e-05
1851,1.3737653716816567e-05
1852,1.2955151760252193e-05
1853,1.2336907275312115e-05
1854,1.4031556929694489e-05
1855,1.4934826140233781e-05
1856,1.5448635167558677e-05
1857,1.6603798940195702e-05
1858,1.574789894220885e-05
1859,1.574139969306998e-05
1860,1.5327044820878655e-05
1861,1.5243906091200188e-05
1862,1.5143085875024553e-05
1863,1.6335736290784553e-05
1864,1.559088923386298e-05
1865,1.5014514247013722e-05
1866,1.6043937648646533e-05
1867,1.7181524526677094e-05
1868,1.4820803698967211e-05
1869,1.4818060662946664e-05
1870,1.4866035598970484e-05
1871,1.4146112334856298e-05
1872,1.5182929018919822e-05
1873,1.4633750652137678e-05
1874,1.5424380762851797e-05
1875,1.4324785297503695e-05
1876,1.4952562196413055e-05
1877,1.3910084817325696e-05
1878,1.4767265383852646e-05
1879,1.3318256605998613e-05
1880,1.4803256817685906e-05
1881,1.4121499589236919e-05
1882,1.5500860172323883e-05
1883,1.4946405826776754e-05
1884,1.4750570699106902e-05
1885,1.5620476915501058e-05
1886,1.3353665963222738e-05
1887,1.4610544894821942e-05
1888,1.4292512787505984e-05
1889,1.4047764125280082e-05
1890,1.432503449905198e-05
1891,1.3791836863674689e-05
1892,1.566822720633354e-05
1893,1.4699982784804888e-05
1894,1.3580842278315686e-05
1895,1.3546611626225058e-05
1896,1.3852778465661686e-05
1897,1.4221844139683526e-05
1898,1.42454282467952e-05
1899,1.4325060874398332e-05
1900,1.4556503629137296e-05
1901,1.3616778232972138e-05
1902,1.3779020264337305e-05
1903,1.4445641681959387e-05
1904,1.4765003470529336e-05
1905,1.5137356967898086e-05
1906,1.35809004859766e-05
1907,1.3807989489578176e-05
1908,1.4078174899623264e-05
1909,1.3819756532029714e-05
1910,1.3155578017176595e-05
1911,1.3064431186649017e-05
1912,1.3404387573245913e-05
1913,1.2621979294635821e-05
1914,1.2603579307324253e-05
1915,1.3274340744828805e-05
1916,1.3729819329455495e-05
1917,1.3337225027498789e-05
1918,1.4941707377147395e-05
1919,1.2978408449271228e-05
1920,1.3203973139752634e-05
1921,1.298646293435013e-05
1922,1.3171554201107938e-05
1923,1.2079523912689183e-05
1924,1.1899953278771136e-05
1925,1.1411487321311142e-05
1926,1.1596690455917269e-05
1927,1.1197784260730259e-05
1928,1.0697958714445122e-05
1929,1.2658587365876883e-05
1930,1.0424114407214802e-05
1931,1.0124926120624878e-05
1932,1.0915095117525198e-05
1933,1.127102405007463e-05
1934,1.2143154890509322e-05
1935,1.1230683412577491e-05
1936,1.0044330338132568e-05
1937,1.0927161383733619e-05
1938,1.0920676686509978e-05
1939,1.1004023690475151e-05
1940,1.1536098099895753e-05
1941,1.165381218015682e-05
1942,1.274820533581078e-05
1943,1.323957803833764e-05
1944,1.3478171240421943e-05
1945,1.2724873158731498e-05
1946,1.1621158591879066e-05
1947,1.0435631338623352e-05
1948,1.100869667425286e-05
1949,1.2310663805692457e-05
1950,1.1083057870564517e-05
1951,1.1651358363451436e-05
1952,1.1275527867837809e-05
1953,1.0784419828269165e-05
1954,1.0503778867132496e-05
1955,9.438553206564393e-06
1956,9.957032489182893e-06
1957,1.054109543474624e-05
1958,9.148728167929221e-06
1959,9.903226782626007e-06
1960,1.0176986506849062e-05
1961,8.855468877300154e-06
1962,9.335039067082107e-06
1963,9.342569683212787e-06
1964,8.868251825333573e-06
1965,8.7795697254478e-06
1966,8.322566827700939e-06
1967,8.578816959925462e-06
1968,8.136619726428762e-06
1969,7.395658940367866e-06
1970,7.884341357566882e-06
1971,7.2120942604669835e-06
1972,7.575459221698111e-06
1973,7.290022494998993e-06
1974,7.3167525442841e-06
1975,6.938295882719103e-06
1976,7.115213065844728e-06
1977,7.197104878287064e-06
1978,6.65939160171547e-06
1979,6.870875495224027e-06
1980,6.7876385401177686e-06
1981,6.637057595071383e-06
1982,6.826643129898002e-06
1983,7.026021194178611e-06
1984,6.875768576719565e-06
1985,6.5359527070540935e-06
1986,6.569272045453545e-06
1987,7.265635304065654e-06
1988,7.533391908509657e-06
1989,7.497378192056203e-06
1990,7.476013706764206e-06
1991,7.628585080965422e-06
1992,7.85484826337779e-06
1993,7.919257768662646e-06
1994,8.092464668152388e-06
1995,8.341271495737601e-06
1996,9.536161996948067e-06
1997,1.017469276121119e-05
1998,1.0560795999481343e-05
1999,1.0425791515444871e-05
2000,1.0866512639040593e-05
2001,9.964921446226072e-06
2002,1.0946205293294042e-05
2003,1.1570124115678482e-05
2004,1.0941580512735527e-05
2005,1.1056300536438357e-05
2006,1.119402440963313e-05
2007,1.0943621418846305e-05
2008,1.1700496543198824e-05
2009,1.1289109352219384e-05
2010,1.3281828614708502e-05
2011,1.2819439689337742e-05
2012,1.16622150017065e-05
2013,1.1296668162685819e-05
2014,1.2470834008126985e-05
2015,1.2064484508300666e-05
2016,1.06206398413633e-05
2017,1.1445063137216493e-05
2018,1.1859027836180758e-05
2019,1.1866432942042593e-05
