,three
1800,0.0005143885500729084
1801,0.000515187275595963
1802,0.0005162995657883584
1803,0.0004401802725624293
1804,0.0004827501834370196
1805,0.0005089103360660374
1806,0.00047604614519514143
1807,0.0005013784975744784
1808,0.0004613103228621185
1809,0.00048035610234364867
1810,0.0005160176078788936
1811,0.000468920188723132
1812,0.0004665955202654004
1813,0.0005151309305801988
1814,0.000507193966768682
1815,0.0005099946865811944
1816,0.0004713171801995486
1817,0.0005006144056096673
1818,0.0004834738792851567
1819,0.000535151339136064
1820,0.0004977970966137946
1821,0.0004785850760526955
1822,0.0004889604169875383
1823,0.0005061255651526153
1824,0.0004923269152641296
1825,0.0004803882329724729
1826,0.0004870367993135005
1827,0.0004903468070551753
1828,0.0005178762949071825
1829,0.0005264302017167211
1830,0.000487796583911404
1831,0.0004910200368613005
1832,0.00048303883522748947
1833,0.0004973267205059528
1834,0.0005071808118373156
1835,0.0004944364191032946
1836,0.0005008255830034614
1837,0.000509912904817611
1838,0.0005039303214289248
1839,0.0004980991361662745
1840,0.000500525115057826
1841,0.0005108365439809859
1842,0.0005215067067183554
1843,0.0004916614852845669
1844,0.0004834537685383111
1845,0.0005169100477360189
1846,0.0005010653403587639
1847,0.0005108785117045045
1848,0.0004949241410940886
1849,0.000499818823300302
1850,0.00048719224287196994
1851,0.0005000707460567355
1852,0.0005103112198412418
1853,0.0005058813258074224
1854,0.0005077169043943286
1855,0.0005157032865099609
1856,0.0005081256967969239
1857,0.0005170187796466053
1858,0.0005127126350998878
1859,0.0005163337918929756
1860,0.0005136425024829805
1861,0.0005249169771559536
1862,0.0005468886811286211
1863,0.0005552254733629525
1864,0.0005493259523063898
1865,0.0005502279382199049
1866,0.0005409472505562007
1867,0.0005329397972673178
1868,0.0005436497740447521
1869,0.0005499024409800768
1870,0.000543618225492537
1871,0.0005359236383810639
1872,0.0005388002609834075
1873,0.0005427765427157283
1874,0.0005559131386689842
1875,0.0005481014377437532
1876,0.0005494211218319833
1877,0.000551443372387439
1878,0.0005573811940848827
1879,0.0005453149206005037
1880,0.0005529922200366855
1881,0.0005576200783252716
1882,0.0005518318503163755
1883,0.0005557804252021015
1884,0.0005454686470329762
1885,0.0005522991996258497
1886,0.0005402467795647681
1887,0.0005435095517896116
1888,0.0005461430409923196
1889,0.0005601296434178948
1890,0.0005564773455262184
1891,0.0005581415607593954
1892,0.0005472982884384692
1893,0.0005544793093577027
1894,0.0005576942348852754
1895,0.0006021683220751584
1896,0.0005618018913082778
1897,0.0005718275788240135
1898,0.0005580548895522952
1899,0.0005509298061951995
1900,0.0005422465037554502
1901,0.0005481839179992676
1902,0.000560000364203006
1903,0.0005529117188416421
1904,0.0005595956463366747
1905,0.0005486711743287742
1906,0.0005457361694425344
1907,0.0005454136407934129
1908,0.0005368574056774378
1909,0.0005427356227301061
1910,0.0005355837056413293
1911,0.0005439450033009052
1912,0.0005404065595939755
1913,0.0005393480532802641
1914,0.0005273106507956982
1915,0.0005307638784870505
1916,0.0005257478915154934
1917,0.0005242257611826062
1918,0.0005155027029104531
1919,0.0005149755161255598
1920,0.0005140038556419313
1921,0.0005168372881598771
1922,0.000516844040248543
1923,0.0005242394399829209
1924,0.0005158150452189147
1925,0.0005203303298912942
1926,0.000514865736477077
1927,0.000519131834153086
1928,0.0005168624920770526
1929,0.0005217782454565167
1930,0.0005225772620178759
1931,0.0005191728705540299
1932,0.0005062827258370817
1933,0.0005097403191030025
1934,0.0004933485761284828
1935,0.0004884278168901801
1936,0.00048477656673640013
1937,0.0004953546449542046
1938,0.0004907154943794012
1939,0.00047231194912455976
1940,0.0004700749705079943
1941,0.0004594958736561239
1942,0.0004601001273840666
1943,0.00045939304982312024
1944,0.0004671130154747516
1945,0.0004640099359676242
1946,0.0004721710574813187
1947,0.0004706794861704111
1948,0.00047615106450393796
1949,0.00045992847299203277
1950,0.0004683445149566978
1951,0.00047128822188824415
1952,0.0004731492081191391
1953,0.00046492653200402856
1954,0.00046379747800529003
1955,0.0004569311277009547
1956,0.00045416646753437817
1957,0.00044967379653826356
1958,0.00045776006300002337
1959,0.00046337899402715266
1960,0.00046210578875616193
1961,0.00045728893019258976
1962,0.00046359645784832537
1963,0.00045617419527843595
1964,0.00046130287228152156
1965,0.0004543061659205705
1966,0.0004573382611852139
1967,0.0004559359513223171
1968,0.0004611839249264449
1969,0.0004598948289640248
1970,0.00045333345769904554
1971,0.00045143504394218326
1972,0.00044980726670473814
1973,0.0004394722345750779
1974,0.0004419420438352972
1975,0.0004355293931439519
1976,0.0004363219195511192
1977,0.00043106684461236
1978,0.0004300077853258699
1979,0.0004275957471691072
1980,0.0004356316931080073
1981,0.000430641055572778
1982,0.00043021669262088835
1983,0.0004340489977039397
1984,0.0004327871138229966
1985,0.00043032391113229096
1986,0.00043230486335232854
1987,0.0004299292340874672
1988,0.00042970222420990467
1989,0.0004213292559143156
1990,0.0004238369583617896
1991,0.0004240188281983137
1992,0.0004205566947348416
1993,0.0004181223048362881
