,through
1800,0.00048238286399282515
1801,0.00044070492731407285
1802,0.0004411409026943147
1803,0.0004331605741754174
1804,0.0004213406937196851
1805,0.0004367002984508872
1806,0.0004277661209926009
1807,0.0004368743975646794
1808,0.0004268150369171053
1809,0.0004723167512565851
1810,0.0004538240609690547
1811,0.00041778708691708744
1812,0.0003707639698404819
1813,0.00042174357804469764
1814,0.00041765670175664127
1815,0.00045868626330047846
1816,0.0003982713387813419
1817,0.00041766426875256
1818,0.0004556351632345468
1819,0.0004557141219265759
1820,0.0004449548723641783
1821,0.00044854608131572604
1822,0.0004718588024843484
1823,0.0004717580450233072
1824,0.0004530246660578996
1825,0.0004577326762955636
1826,0.0004448007675819099
1827,0.000467238191049546
1828,0.0004662757564801723
1829,0.0004859479086007923
1830,0.0004807189106941223
1831,0.000482982664834708
1832,0.0004761780146509409
1833,0.00048330696881748736
1834,0.00048116574180312455
1835,0.000495563552249223
1836,0.0005013319314457476
1837,0.0004832809208892286
1838,0.0004932422889396548
1839,0.0004965743864886463
1840,0.0004897326580248773
1841,0.0004944934626109898
1842,0.0005093759391456842
1843,0.0004907233524136245
1844,0.0005046120495535433
1845,0.0005095414817333221
1846,0.0004976075142621994
1847,0.0005156687693670392
1848,0.0005119866109453142
1849,0.0005133749218657613
1850,0.0005238523590378463
1851,0.0005126870819367468
1852,0.0005287269596010447
1853,0.0005168927018530667
1854,0.0005375050823204219
1855,0.0005342988297343254
1856,0.0005420517991296947
1857,0.0005366787081584334
1858,0.0005304278456605971
1859,0.0005238252924755216
1860,0.0005323294899426401
1861,0.0005204580957069993
1862,0.0005411871243268251
1863,0.0005474154022522271
1864,0.0005431346944533288
1865,0.0005457898369058967
1866,0.0005496068042702973
1867,0.0005482234410010278
1868,0.0005371819133870304
1869,0.0005367203848436475
1870,0.0005342758959159255
1871,0.0005403546965681016
1872,0.0005397418863140047
1873,0.0005472232005558908
1874,0.0005408469005487859
1875,0.0005362682859413326
1876,0.0005455152713693678
1877,0.0005293830181472003
1878,0.0005313705187290907
1879,0.0005333382869139314
1880,0.0005397156346589327
1881,0.0005447405856102705
1882,0.000550640921574086
1883,0.0005456676590256393
1884,0.0005474718636833131
1885,0.0005462713888846338
1886,0.0005316801252774894
1887,0.0005300281336531043
1888,0.0005338542978279293
1889,0.000532246136572212
1890,0.0005570735083892941
1891,0.0005410940502770245
1892,0.0005511787603609264
1893,0.0005622660974040627
1894,0.0005460520042106509
1895,0.0005327605176717043
1896,0.0005557582480832934
1897,0.0005447333096526563
1898,0.0005558219854719937
1899,0.0005553755909204483
1900,0.0005517878453247249
1901,0.0005290498957037926
1902,0.0005473953206092119
1903,0.0005463368142955005
1904,0.0005567700718529522
1905,0.0005558159900829196
1906,0.0005396916531026363
1907,0.0005448760348372161
1908,0.0005510856281034648
1909,0.0005564031307585537
1910,0.000563437701202929
1911,0.0005534260999411345
1912,0.0005589134525507689
1913,0.0005635219858959317
1914,0.0005642093601636589
1915,0.000562856555916369
1916,0.0005687311640940607
1917,0.0005637977155856788
1918,0.000578246486838907
1919,0.000578087056055665
1920,0.0005819484358653426
1921,0.0005662799230776727
1922,0.0005785687826573849
1923,0.0005701945628970861
1924,0.0005811767186969519
1925,0.0005758478073403239
1926,0.0005737324827350676
1927,0.000569886586163193
1928,0.0005760823260061443
1929,0.000566916773095727
1930,0.0005764677771367133
1931,0.0005510183400474489
1932,0.0005694165593013167
1933,0.0005583078600466251
1934,0.0005739750922657549
1935,0.0005653778207488358
1936,0.0005774441524408758
1937,0.0005700512556359172
1938,0.0005784351378679276
1939,0.0005719701875932515
1940,0.0005875072674825788
1941,0.0005758160841651261
1942,0.0005936868255957961
1943,0.0005907121812924743
1944,0.0006116113509051502
1945,0.0005961240967735648
1946,0.0005979949492029846
1947,0.0005953478394076228
1948,0.0005873658810742199
1949,0.000586724141612649
1950,0.000583105196710676
1951,0.0005774563760496676
1952,0.0005817718920297921
1953,0.0005718707107007504
1954,0.0005735516315326095
1955,0.0005804347456432879
1956,0.0005822021630592644
1957,0.0005671652616001666
1958,0.0005799534264951944
1959,0.0005744895897805691
1960,0.0005734667065553367
1961,0.0005676045548170805
1962,0.0005689968238584697
1963,0.0005588998319581151
1964,0.0005648930673487484
1965,0.0005653035477735102
1966,0.0005618227878585458
1967,0.0005557883996516466
1968,0.0005522300489246845
1969,0.000554814818315208
1970,0.000552995246835053
1971,0.0005457753431983292
1972,0.0005526535678654909
1973,0.0005482817650772631
1974,0.0005560613353736699
1975,0.0005587527411989868
1976,0.0005602989695034921
1977,0.0005620091105811298
1978,0.0005598803982138634
1979,0.0005543060251511633
1980,0.0005656634457409382
1981,0.0005607728380709887
1982,0.0005598887801170349
1983,0.0005706981173716486
1984,0.0005680594476871192
1985,0.0005641813622787595
1986,0.0005687217344529927
1987,0.0005738917971029878
1988,0.0005742682260461152
1989,0.0005710959667339921
1990,0.0005822868552058935
1991,0.0005865329876542091
1992,0.0005886690923944116
1993,0.0005884256679564714
1994,0.0005955701344646513
1995,0.0005995093961246312
1996,0.0006122012855485082
1997,0.0006216500187292695
1998,0.0006265525007620454
1999,0.0006295826169662178
2000,0.000648927001748234
2001,0.0006454637041315436
2002,0.0006572014535777271
2003,0.0006629049894399941
2004,0.0006751226610504091
2005,0.0006876297993585467
2006,0.0006813786458224058
2007,0.000696661532856524
2008,0.000704118050634861
2009,0.0007339079165831208
2010,0.0007557030767202377
2011,0.0007698608678765595
2012,0.0007439923356287181
2013,0.0007530893781222403
2014,0.0007942254305817187
2015,0.0007910126587375998
2016,0.000785526295658201
2017,0.0007763573084957898
2018,0.000747955753467977
2019,0.0007703592418693006
