,after
1800,0.0007771604578010738
1801,0.000752325460780412
1802,0.0007545431726612151
1803,0.0007279069977812469
1804,0.0008019930683076382
1805,0.0008155219256877899
1806,0.0007660679402761161
1807,0.0008156172116287053
1808,0.0008145995088852942
1809,0.000832207384519279
1810,0.0008329635020345449
1811,0.0008375396719202399
1812,0.0008144717430695891
1813,0.0008325580274686217
1814,0.0008228360093198717
1815,0.0008430767338722944
1816,0.0008578294655308127
1817,0.0008244284545071423
1818,0.000794691382907331
1819,0.000798223540186882
1820,0.0008430970483459532
1821,0.0008033419726416469
1822,0.0008034435450099409
1823,0.0008331756107509136
1824,0.0008214030531235039
1825,0.0008122097351588309
1826,0.0008172695524990559
1827,0.000823601265437901
1828,0.0008007321157492697
1829,0.0008282194030471146
1830,0.0008011764730326831
1831,0.0008007560973055661
1832,0.0007682702271267772
1833,0.0007845316431485116
1834,0.0007794970879331231
1835,0.0007852247217670083
1836,0.0007972134626470506
1837,0.0008021387620829046
1838,0.0008036916260607541
1839,0.0008052308694459498
1840,0.0008076949161477387
1841,0.0008090611081570387
1842,0.000805456715170294
1843,0.000804830458946526
1844,0.0008217120775952935
1845,0.000820695364382118
1846,0.0008136095711961389
1847,0.0008238783339038491
1848,0.0008123908773995936
1849,0.0008209702209569514
1850,0.0007878651958890259
1851,0.0007895303424447775
1852,0.0007929181447252631
1853,0.0008141983416862786
1854,0.0007886054227128625
1855,0.0007958326023072004
1856,0.0007930506835691631
1857,0.0008028171141631901
1858,0.0007760704611428082
1859,0.000784235424362123
1860,0.0007807759684510529
1861,0.0007844064966775477
1862,0.0007847317028790712
1863,0.0007901667850092053
1864,0.0007840425823815167
1865,0.0007906321552582085
1866,0.0007813269621692598
1867,0.0007804700289852917
1868,0.0007801006431691349
1869,0.0007836793665774167
1870,0.0007760741864331067
1871,0.0007857452146708965
1872,0.0007885131053626537
1873,0.0007853406714275479
1874,0.0007640895782969892
1875,0.0007734610117040575
1876,0.0007816668367013335
1877,0.0007908142870292068
1878,0.0007664100849069655
1879,0.0007864543586038053
1880,0.000779643130954355
1881,0.0007775483536534011
1882,0.0007736758561804891
1883,0.0007710421923547983
1884,0.0007662108400836587
1885,0.0007672573556192219
1886,0.0007682491559535265
1887,0.0007631520857103169
1888,0.0007641943520866334
1889,0.0007635339861735702
1890,0.0007637252565473318
1891,0.000756581430323422
1892,0.0007413650746457279
1893,0.0007310147630050778
1894,0.0007482509827241302
1895,0.0007406783988699317
1896,0.0007448767428286374
1897,0.0007293273229151964
