,also
1800,0.0006278945947997272
1801,0.0005775097524747252
1802,0.0005926105659455061
1803,0.0006774349603801966
1804,0.0006042430177330971
1805,0.0006180215859785676
1806,0.0006425005267374218
1807,0.0007055748137645423
1808,0.0006084929336793721
1809,0.0007313099922612309
1810,0.0006905009504407644
1811,0.0006414310773834586
1812,0.000681630102917552
1813,0.0006650938303209841
1814,0.0006819009431637824
1815,0.0007469348493032157
1816,0.000711763568688184
1817,0.0006759680691175163
1818,0.0007162086549215019
1819,0.0007073978194966912
1820,0.0006714965566061437
1821,0.0006554453866556287
1822,0.0007079881033860147
1823,0.0006994519499130547
1824,0.0006961479084566236
1825,0.0006796984234824777
1826,0.0006730597815476358
1827,0.0006768924649804831
1828,0.0006918099243193865
1829,0.0007475525490008295
1830,0.0007255717064253986
1831,0.0007099654758349061
1832,0.0007225698791444302
1833,0.0007003869977779686
1834,0.0006999615579843521
1835,0.0007093760650604963
1836,0.0007141198148019612
1837,0.000730847823433578
1838,0.0007350337109528482
1839,0.0007384353084489703
1840,0.0007213768549263477
1841,0.0007451809360645711
1842,0.0007670231279917061
1843,0.0007402784540317953
1844,0.0007497458136640489
1845,0.0007670203922316432
1846,0.0007358072325587273
1847,0.0007569449953734875
1848,0.0007187660085037351
1849,0.0007398396846838295
1850,0.0007100009243004024
1851,0.0007458995096385479
1852,0.0007320027216337621
1853,0.0007253395160660148
1854,0.0007374646957032382
1855,0.0007222946151159704
1856,0.0007088467827998102
1857,0.0007226195302791893
1858,0.0007281964644789696
1859,0.0007350501255132258
1860,0.0007157537038438022
1861,0.000728930055629462
1862,0.0007435180596075952
1863,0.0007403534254990518
1864,0.0007103885873220861
1865,0.0007205820293165743
1866,0.0006966187502257526
1867,0.0007217776728793979
1868,0.0007038781186565757
1869,0.0007209749892354012
1870,0.0007324497564695776
1871,0.0007385752978734672
1872,0.0007178783416748047
1873,0.0007539299549534917
1874,0.0007371832034550607
1875,0.0007428501266986132
1876,0.0007415131549350917
1877,0.0007431823760271072
1878,0.0007416947628371418
1879,0.0007426775991916656
1880,0.0007483790395781398
1881,0.0007446937961503863
1882,0.0007432436104863882
1883,0.000741171243134886
1884,0.0007531629526056349
1885,0.0007573094335384667
1886,0.0007557299686595798
1887,0.0007305673789232969
1888,0.0007514214958064258
1889,0.0007617920637130737
1890,0.0007685029413551092
1891,0.0007632524939253926
1892,0.0007549840374849737
1893,0.0007593395421281457
1894,0.0007567673455923796
1895,0.0007611140026710927
1896,0.0007567768916487694
1897,0.0007597660296596587
1898,0.0007549747824668884
