,application
1800,6.530903920065612e-05
1801,8.11537029221654e-05
1802,7.818235462764278e-05
1803,6.731240137014538e-05
1804,7.60914699640125e-05
1805,8.013242768356577e-05
1806,7.368296792265028e-05
1807,6.959734309930354e-05
1808,7.082652155077085e-05
1809,8.041709952522069e-05
1810,7.154612831072882e-05
1811,7.460730557795614e-05
1812,7.82592105679214e-05
1813,7.808444206602871e-05
1814,8.178335701813921e-05
1815,8.383529348066077e-05
1816,7.905572419986129e-05
1817,8.929386967793107e-05
1818,8.9149885752704e-05
1819,8.80874358699657e-05
1820,7.781201566103846e-05
1821,8.30788048915565e-05
1822,7.650635961908847e-05
1823,8.09327102615498e-05
1824,7.608573650941253e-05
1825,8.026995055843145e-05
1826,8.994084055302665e-05
1827,8.217198046622798e-05
1828,8.381728548556566e-05
1829,8.63314198795706e-05
1830,8.899000386008993e-05
1831,8.9452245447319e-05
1832,0.00015437726688105613
1833,8.778386836638674e-05
1834,9.266827692044899e-05
1835,9.248551214113832e-05
1836,9.503665205556899e-05
1837,9.344255522591993e-05
1838,9.395294910063967e-05
1839,9.283528925152496e-05
1840,9.021513687912375e-05
1841,8.770904241828248e-05
1842,9.154905274044722e-05
1843,9.987642260966823e-05
1844,9.321227844338864e-05
1845,9.570045222062618e-05
1846,0.00010039034532383084
1847,0.00010263710282742977
1848,9.584067447576672e-05
1849,9.737251093611121e-05
1850,9.265830158255994e-05
1851,9.88478641374968e-05
1852,0.00010242051939712837
1853,0.00010011545964516699
1854,9.650619904277846e-05
1855,9.561658225720748e-05
1856,9.437480912311003e-05
1857,9.694847540231422e-05
1858,0.00010225697042187676
1859,9.790887997951359e-05
1860,9.886953193927184e-05
1861,9.73948699538596e-05
1862,9.74655122263357e-05
1863,9.535356366541237e-05
1864,9.733253682497889e-05
1865,9.4871167675592e-05
1866,9.434785897610709e-05
1867,9.523156040813774e-05
1868,9.837121615419164e-05
1869,9.892921661958098e-05
1870,0.00010118983482243493
1871,0.00010278540139552206
1872,0.00010651936463546008
1873,0.00010198183736065403
1874,0.00010547203419264406
1875,9.97047609416768e-05
1876,0.00010230677435174584
1877,0.00010544324322836474
1878,0.00010442808707011864
1879,0.00010720371210481972
1880,0.00010524784011067823
1881,0.0001075176551239565
1882,0.00010751035006251186
1883,0.00010568931611487642
1884,0.00011454302148194984
1885,0.00010821717296494171
1886,0.00011727624223567545
1887,0.00011814851313829422
1888,0.00011788021947722882
1889,0.00011486873700050637
1890,0.0001178372694994323
1891,0.00011255454592173919
1892,0.0001184008433483541
1893,0.00011723226634785533
1894,0.0001181155676022172
1895,0.00012135117140132934
1896,0.00012058739230269566
1897,0.00012552787666209042
1898,0.00012329622404649854
1899,0.0001143732515629381
1900,0.00011695475404849276
1901,0.00012131295807193965
1902,0.00012206022074678913
1903,0.0001246407045982778
1904,0.00012621303903870285
1905,0.00013048460823483765
1906,0.000131295615574345
1907,0.00013275780656840652
1908,0.0001336268032900989
1909,0.0001343955227639526
1910,0.0001320652518188581
1911,0.00013524823589250445
1912,0.0001420270127709955
1913,0.0001444141089450568
1914,0.00015222904039546847
1915,0.00015767014701850712
1916,0.0001502482482464984
1917,0.00015789756434969604
1918,0.00015397844254039228
1919,0.0001492912124376744
1920,0.00014930329052731395
1921,0.00015370524488389492
1922,0.00015318866644520313
1923,0.0001534117036499083
1924,0.0001458420738345012
1925,0.00015154319407884032
1926,0.00014791898138355464
1927,0.00014776518219150603
1928,0.00014290097169578075
1929,0.00014286846271716058
1930,0.00015470651851501316
1931,0.00015716954658273607
1932,0.00015657205949537456
1933,0.000160489886184223
1934,0.00015859957784414291
1935,0.00015745830023661256
1936,0.00016357174899894744
1937,0.00016852171393111348
1938,0.00017878181824926287
1939,0.0001960233348654583
1940,0.00018219315097667277
1941,0.00017624959582462907
1942,0.00017389537242706865
1943,0.00018179901235271245
1944,0.00017344286607112736
1945,0.00017331994604319334
1946,0.00016782419697847217
1947,0.00016880963812582195
1948,0.00017161395226139575
1949,0.00017747726815287024
1950,0.0001634000800549984
1951,0.00016584410332143307
1952,0.00016554923786316067
1953,0.00016488978872075677
1954,0.00017482225666753948
1955,0.0001656444073887542
1956,0.00016156536003109068
1957,0.00017180657596327364
1958,0.00016538712952751666
1959,0.00017417423077858984
1960,0.0001700008288025856
1961,0.0001655759842833504
1962,0.00016378895088564605
1963,0.00016035631415434182
1964,0.0001629028411116451
1965,0.00016196536307688802
1966,0.00016257783863693476
1967,0.00016626152500975877
1968,0.00015964533668011427
1969,0.0001580234384164214
1970,0.00016045747906900942
1971,0.0001677608524914831
1972,0.00017123151337727904
1973,0.0001692173391347751
1974,0.00017143554578069597
1975,0.00017680166638456285
1976,0.00018030154751613736
1977,0.0001803886698326096
1978,0.0001763839100021869
1979,0.00018026711768470705
1980,0.00017761735944077373
1981,0.000175800290890038
1982,0.00017902423860505223
1983,0.00017109524924308062
1984,0.0001704998139757663
1985,0.00017628862406127155
1986,0.00017179323185700923
1987,0.00017540236876811832
1988,0.00017153161752503365
1989,0.00017276186554227024
1990,0.00017669999215286225
1991,0.00018087100761476904
1992,0.00017886805289890617
1993,0.0001757364661898464
1994,0.0001717088307486847
1995,0.0001858279574662447
1996,0.00017526799638289958
1997,0.00018021417781710625
1998,0.00017789322009775788
1999,0.00018174777505919337
2000,0.0001750853261910379
2001,0.0001818453602027148
2002,0.00017758371541276574
2003,0.00017020702944137156
2004,0.00015296784113161266
2005,0.00014849759463686496
2006,0.00014354073209688067
2007,0.00014227117935661227
2008,0.0001296286645811051
2009,0.00012491876259446144
2010,0.00011843317770399153
2011,0.00011342226207489148
2012,0.00011030790483346209
2013,0.00010270238999510184
2014,8.530183549737558e-05
2015,8.001244714250788e-05
2016,8.349317067768425e-05
2017,7.559476216556504e-05
2018,7.89349724072963e-05
2019,7.92774444562383e-05
