,area
1800,1.6354046238120645e-05
1801,1.8000851923716255e-05
1802,1.2906332813145127e-05
1803,1.373393115500221e-05
1804,9.614634109311737e-06
1805,1.1009889931301586e-05
1806,1.1776399333029985e-05
1807,1.2804714970116038e-05
1808,9.257762940251268e-06
1809,1.4133123841020279e-05
1810,1.1042696314689238e-05
1811,8.06142452347558e-06
1812,7.776148777338676e-06
1813,1.2375371625239495e-05
1814,1.0593919796519913e-05
1815,1.3865607797924895e-05
1816,1.0276253306074068e-05
1817,1.3999568182043731e-05
1818,1.1347209692758042e-05
1819,1.3929771739640273e-05
1820,1.0870461665035691e-05
1821,9.592329661245458e-06
1822,1.4190482943376992e-05
1823,1.171275016531581e-05
1824,1.1245797395531554e-05
1825,1.1271871699136682e-05
1826,1.2097777471353766e-05
1827,1.179934224637691e-05
1828,1.529429755464662e-05
1829,1.2959086234332062e-05
1830,1.4601821021642536e-05
1831,1.3667484381585382e-05
1832,5.344070814317092e-05
1833,1.4151200048218016e-05
1834,1.450605850550346e-05
1835,1.594721652509179e-05
1836,1.4106916751188692e-05
1837,1.595478352101054e-05
1838,1.766137393133249e-05
1839,1.7151029169326648e-05
1840,1.6202524420805275e-05
1841,1.981645436899271e-05
1842,2.1741314412793145e-05
1843,1.8064063624478877e-05
1844,1.629120743018575e-05
1845,1.9795425032498315e-05
1846,2.0690404198830947e-05
1847,2.1546153220697306e-05
1848,2.3508997401222587e-05
1849,2.245691757707391e-05
1850,2.5122541046584956e-05
1851,2.7823283744510263e-05
1852,2.3566344680148177e-05
1853,2.3938457161420956e-05
1854,2.7552539904718287e-05
1855,2.8402962925611064e-05
1856,2.8474796636146493e-05
1857,2.816261439875234e-05
1858,2.711946399358567e-05
1859,3.1998377380659804e-05
1860,2.8445450880099088e-05
1861,3.231159644201398e-05
1862,3.34525502694305e-05
1863,3.4765318559948355e-05
1864,2.861954089894425e-05
1865,3.329863102408126e-05
1866,3.279162774560973e-05
1867,3.757729064091109e-05
1868,3.622711665229872e-05
1869,4.067859481438063e-05
1870,4.076135883224197e-05
1871,3.953489795094356e-05
1872,4.156601062277332e-05
1873,4.660383638110943e-05
1874,5.096138556837104e-05
1875,5.2133778808638453e-05
1876,5.807876732433215e-05
1877,5.810978836962022e-05
1878,5.7027325965464115e-05
1879,5.541720020119101e-05
1880,5.525684537133202e-05
1881,6.040924563421868e-05
1882,5.822018283652142e-05
1883,6.388974725268781e-05
1884,6.457399285864085e-05
1885,6.719711382174864e-05
1886,6.488019425887614e-05
1887,5.912156484555453e-05
1888,6.372449570335448e-05
1889,7.030853885225952e-05
1890,7.705864845775068e-05
1891,7.220370753202587e-05
1892,7.88354009273462e-05
1893,8.052073826547712e-05
1894,8.318653999594972e-05
1895,7.888853724580258e-05
1896,7.826580986147746e-05
1897,8.080313273239881e-05
1898,8.635938866063952e-05
1899,8.033704216359183e-05
1900,8.957020327216014e-05
1901,8.531090134056285e-05
1902,9.90687549347058e-05
1903,0.00010040833876701072
1904,9.800027328310534e-05
1905,0.00010684315930120647
1906,0.00010622314584907144
1907,0.00010740352445282042
1908,0.00011656836431939155
1909,0.00011234710109420121
1910,0.00011723480565706268
1911,0.0001238816766999662
1912,0.0001198284953716211
1913,0.00012729928130283952
1914,0.000126060753245838
1915,0.00012190910638310015
1916,0.0001248612825293094
1917,0.0001230818743351847
1918,0.000124887956189923
1919,0.00012692601012531668
1920,0.00012831194908358157
1921,0.00012840946146752685
1922,0.0001375612337142229
1923,0.00015462735609617084
1924,0.00015341106336563826
1925,0.00016809729277156293
1926,0.00016373174730688334
1927,0.00016830234380904585
1928,0.0001741234736982733
1929,0.0001745983026921749
1930,0.0001869135012384504
1931,0.00017526325245853513
1932,0.0001857290044426918
1933,0.00019823086040560156
1934,0.00020124753064010292
1935,0.00023323438654188067
1936,0.00021255652245599777
1937,0.00022037421877030283
1938,0.0002319671621080488
1939,0.00022640872339252383
1940,0.00023288973898161203
1941,0.0002439731324557215
1942,0.0002529190096538514
1943,0.00026397709734737873
1944,0.0002833456383086741
1945,0.00027740420773625374
1946,0.00028737218235619366
1947,0.00029078920488245785
1948,0.0003108914534095675
1949,0.0003824041341431439
1950,0.0003440592554397881
1951,0.00032496851054020226
1952,0.00033515022369101644
1953,0.0003525860083755106
1954,0.0003619794442784041
1955,0.00037677836371585727
1956,0.0003957682056352496
1957,0.0003984660725109279
1958,0.00039824051782488823
1959,0.00041648722253739834
1960,0.0004101017548236996
1961,0.0004040761268697679
1962,0.00041124943527393043
1963,0.00041415513260290027
1964,0.0004169017483945936
1965,0.0004093628376722336
1966,0.0004108103457838297
1967,0.00040110686677508056
1968,0.0003873770183417946
1969,0.00039028323953971267
1970,0.00039835544885136187
1971,0.0004010945849586278
1972,0.0004273125668987632
1973,0.0004128191212657839
1974,0.00042486225720494986
1975,0.00042357062920928
1976,0.0004267305484972894
1977,0.0004190419858787209
1978,0.0004171784967184067
1979,0.00041682549635879695
1980,0.000410333537729457
1981,0.0003943088813684881
1982,0.00038777163717895746
1983,0.0003975603322032839
1984,0.00037944965879432857
1985,0.0003558314056135714
1986,0.0003525899082887918
1987,0.00035400211345404387
