,back
1800,0.00020636021508835256
1801,0.0001555631752125919
1802,0.00015123833145480603
1803,0.0001361751346848905
1804,0.00014453154290094972
1805,0.0001432531571481377
1806,0.00014766567619517446
1807,0.00013852411939296871
1808,0.0001470190181862563
1809,0.00015891031944192946
1810,0.0001488186389906332
1811,0.00015154753054957837
1812,0.00013406510697677732
1813,0.00014627866039518267
1814,0.00014172587543725967
1815,0.0001520220685051754
1816,0.0001505074615124613
1817,0.0001507597480667755
1818,0.00014549927436746657
1819,0.000157860093167983
1820,0.00016872423293534666
1821,0.00016479908663313836
1822,0.0001667581673245877
1823,0.00016719558334443718
1824,0.00016537270857952535
1825,0.0001674169034231454
1826,0.00016494332521688193
1827,0.00017172793741337955
1828,0.0001674874365562573
1829,0.0001751023664837703
1830,0.00016622857947368175
1831,0.00017844882677309215
1832,0.00017857481725513935
1833,0.00018138179439119995
1834,0.0001791961258277297
1835,0.0001816277945181355
1836,0.00018380445544607937
1837,0.00017976094386540353
1838,0.00018782612460199744
1839,0.0001924055250128731
1840,0.000188913443707861
1841,0.00019978340424131602
1842,0.0002020618849201128
1843,0.0001948782301042229
1844,0.0001971726887859404
1845,0.00019970774883404374
1846,0.000197231987840496
1847,0.00019938815967179835
1848,0.00020760021288879216
1849,0.00020473281620070338
1850,0.0002078479010378942
1851,0.00020437237981241196
1852,0.00021406376617960632
1853,0.00021125163766555488
1854,0.000213706458453089
1855,0.00022531919239554554
1856,0.00023071980103850365
1857,0.00023913847689982504
1858,0.00022980761423241347
1859,0.00023217660782393068
1860,0.00023768492974340916
1861,0.000238303720834665
1862,0.0002603710745461285
1863,0.0002641564642544836
1864,0.00026903554680757225
1865,0.0002734992594923824
1866,0.00027503096498548985
1867,0.0002630423696245998
1868,0.0002582843881100416
1869,0.0002674813149496913
1870,0.000257691863225773
1871,0.00025200919480994344
1872,0.00026382473879493773
1873,0.00026136127416975796
1874,0.00026306090876460075
1875,0.0002782372757792473
1876,0.0002756072790361941
1877,0.000270635326160118
1878,0.0002657633158378303
1879,0.0002743611694313586
1880,0.00027302876696921885
1881,0.0002665990905370563
1882,0.00026699656154960394
1883,0.00026860274374485016
1884,0.0002645099884830415
1885,0.00027489595231600106
1886,0.000261958921328187
1887,0.0002633733965922147
1888,0.0002657285949680954
1889,0.00027037615654990077
1890,0.0002652500115800649
1891,0.00027452342328615487
1892,0.0002727647661231458
1893,0.00027371366741135716
1894,0.0002712625137064606
1895,0.00027061213040724397
1896,0.00027704183594323695
1897,0.00027126443455927074
1898,0.0002753534645307809
1899,0.0003028084465768188
1900,0.00028796211699955165
1901,0.00027177936863154173
1902,0.00026798222097568214
1903,0.0002715370792429894
1904,0.00027213810244575143
1905,0.0002686056250240654
1906,0.00025566358817741275
1907,0.0002640081220306456
1908,0.00026001394144259393
1909,0.00026633049128577113
1910,0.00026149750920012593
1911,0.0002609397051855922
1912,0.00026100987452082336
1913,0.0002611528034321964
1914,0.000257118750596419
1915,0.000256876228377223
1916,0.00026138281100429595
1917,0.00026218389393761754
1918,0.000268674484686926
1919,0.00027914767269976437
1920,0.00027197986491955817
1921,0.000267709227045998
1922,0.00026840667123906314
1923,0.00027271112776361406
1924,0.0002699657925404608
1925,0.0002706889354158193
1926,0.0002655492862686515
1927,0.0002684059436433017
1928,0.0002711328270379454
1929,0.00027048771153204143
1930,0.0002643207262735814
1931,0.0002616819110698998
1932,0.00026079866802319884
1933,0.0002578296698629856
1934,0.00026841554790735245
1935,0.0002696531009860337
1936,0.00027116414275951684
1937,0.00026522562257014215
1938,0.00025904003996402025
1939,0.00025742797879502177
