,been
1800,0.002118426375091076
1801,0.0020721841137856245
1802,0.002216218039393425
1803,0.00208004517480731
1804,0.0021612350828945637
1805,0.002201300347223878
1806,0.0021096316631883383
1807,0.002113019349053502
1808,0.002061361912637949
1809,0.0021193786524236202
1810,0.001996909035369754
1811,0.0021853067446500063
1812,0.002507061930373311
1813,0.0022347234189510345
1814,0.0024361307732760906
1815,0.002357836812734604
1816,0.0023792199790477753
1817,0.0024764989502727985
1818,0.0023821217473596334
1819,0.0023256114218384027
1820,0.0023634214885532856
1821,0.0022901580668985844
1822,0.0022082088980823755
1823,0.002253273269161582
1824,0.0022820879239588976
1825,0.0023171347565948963
1826,0.0023096411023288965
1827,0.002358728786930442
1828,0.0023658964782953262
1829,0.002384933875873685
1830,0.0023666289635002613
1831,0.0024210831616073847
1832,0.0023579164408147335
1833,0.0024805660359561443
1834,0.0024582522455602884
1835,0.002403257181867957
1836,0.0024418227840214968
1837,0.0024204174987971783
1838,0.002482843352481723
1839,0.002399921417236328
1840,0.0024006867315620184
1841,0.002398285549134016
1842,0.0023796148598194122
1843,0.002413070760667324
1844,0.0023481836542487144
1845,0.0023530544713139534
1846,0.002412311965599656
1847,0.002403594320639968
1848,0.0024116113781929016
1849,0.002476946683600545
1850,0.0023468525614589453
1851,0.0023764462675899267
1852,0.0023510027676820755
1853,0.0023946918081492186
1854,0.002336673904210329
1855,0.0024259912315756083
1856,0.002367300447076559
1857,0.0023187061306089163
1858,0.002412291243672371
1859,0.0023164628073573112
1860,0.002327381167560816
1861,0.0023747251834720373
1862,0.0023967428132891655
1863,0.002413052599877119
1864,0.0023977039381861687
1865,0.0024053871165961027
1866,0.002377948723733425
1867,0.002340536331757903
1868,0.0023356371093541384
1869,0.0023304386995732784
1870,0.002335893688723445
1871,0.0023552628699690104
1872,0.002388699445873499
1873,0.002325586974620819
1874,0.0023345565423369408
1875,0.0023715156130492687
1876,0.002371731214225292
1877,0.002388850087299943
1878,0.0023678953293710947
1879,0.002373482333496213
1880,0.0023497294168919325
1881,0.0023116290103644133
1882,0.002365393564105034
1883,0.0023273401893675327
1884,0.002331364434212446
1885,0.0023157827090471983
1886,0.0023640841245651245
1887,0.002321809995919466
1888,0.002320209052413702
1889,0.0022864099591970444
1890,0.0022992133162915707
1891,0.0022735027596354485
1892,0.002278728410601616
1893,0.002297451952472329
1894,0.0022992631420493126
1895,0.0022676256485283375
1896,0.0023036806378513575
1897,0.002287518233060837
1898,0.0023078236263245344
1899,0.00225786492228508
1900,0.002294091274961829
1901,0.0022664684802293777
1902,0.0022930409759283066
1903,0.0022637611255049706
1904,0.002248299540951848
1905,0.00225761323235929
1906,0.0022609259467571974
1907,0.002255985513329506
1908,0.002270737662911415
1909,0.0022365134209394455
1910,0.002244834555312991
1911,0.002247026190161705
1912,0.002249171957373619
1913,0.0022285343147814274
1914,0.002269188640639186
1915,0.0022802427411079407
1916,0.002292132470756769
1917,0.002264616312459111
1918,0.0023401938378810883
1919,0.0023139126133173704
1920,0.0022925923112779856
1921,0.0022648880258202553
1922,0.0022662861738353968
1923,0.002174608176574111
1924,0.002182727912440896
1925,0.002122261095792055
1926,0.0021571554243564606
1927,0.0020838682539761066
1928,0.002119800541549921
1929,0.002106250496581197
1930,0.0021196631714701653
1931,0.002065696520730853
1932,0.002119779819622636
1933,0.0020929474849253893
1934,0.002152504865080118
1935,0.0020760316401720047
1936,0.002084878971800208
1937,0.0020478719379752874
1938,0.002069324254989624
1939,0.0020330217666924
1940,0.0020251760724931955
1941,0.0019625420682132244
1942,0.00203545019030571
1943,0.0020459513179957867
1944,0.0020735743455588818
1945,0.002060430822893977
1946,0.0020377417095005512
1947,0.001985738519579172
1948,0.0019904596265405416
1949,0.0019195250933989882
1950,0.001960686407983303
1951,0.0019519147463142872
1952,0.001965619157999754
1953,0.0019376972923055291
1954,0.0019331580260768533
1955,0.0019224585266783834
1956,0.001934359665028751
1957,0.0018992541590705514
1958,0.0019015739671885967
1959,0.0018547389190644026
1960,0.0018577962182462215
1961,0.0018158324528485537
1962,0.0018325370037928224
1963,0.001804982777684927
1964,0.001813145587220788
1965,0.0017876125639304519
1966,0.0017992357024922967
1967,0.001786018256098032
1968,0.001801064470782876
1969,0.0018041045404970646
1970,0.001743615954183042
1971,0.0017464967677369714
1972,0.0017129095504060388
1973,0.0016586434794589877
1974,0.0016655393410474062
1975,0.0016291007632389665
1976,0.0016142072854563594
1977,0.0015760905807837844
1978,0.0015600061742588878
1979,0.001560928882099688
1980,0.0015574716962873936
1981,0.0015184428775683045
1982,0.001526737934909761
1983,0.0015196555759757757
1984,0.0015018085250630975
1985,0.0014935951912775636
1986,0.0014866514829918742
1987,0.0014629507204517722
1988,0.001458433922380209
1989,0.0014119171537458897
1990,0.0014116346137598157
1991,0.0013967504492029548
1992,0.0013876869343221188
1993,0.0013460222398862243
1994,0.0013326766202226281
1995,0.0013117477064952254
1996,0.0013281946303322911
1997,0.001328402548097074
1998,0.001332796411588788
1999,0.001323540462180972
2000,0.0013440123293548822
2001,0.0013377490686252713
2002,0.0013376612914726138
2003,0.0013385169440880418
2004,0.0013503504451364279
2005,0.0013526311377063394
2006,0.0013738704146817327
2007,0.0013917339965701103
2008,0.0014263712801039219
2009,0.0014417932834476233
2010,0.0014379806816577911
2011,0.001463234075345099
2012,0.0014800478238612413
2013,0.0014812118606641889
2014,0.001519360695965588
2015,0.0014828839339315891
2016,0.001462874235585332
2017,0.00149143161252141
2018,0.001486383262090385
2019,0.0014704884961247444
