,being
1800,0.0010527188424021006
1801,0.0010981977684423327
1802,0.0011017525102943182
1803,0.0012386300368234515
1804,0.001053221756592393
1805,0.0010940330103039742
1806,0.001077915308997035
1807,0.0011058503296226263
1808,0.0010623523266986012
1809,0.001193601987324655
1810,0.0011074652429670095
1811,0.0011856488417834044
1812,0.0011368804844096303
1813,0.001166992005892098
1814,0.0010793296387419105
1815,0.0011076879454776645
1816,0.0011805646354332566
1817,0.0011076874798163772
1818,0.0011107989121228456
1819,0.0010813145199790597
1820,0.0010706163011491299
1821,0.0010210881009697914
1822,0.001039534923620522
1823,0.00109683012124151
1824,0.0010675967205315828
1825,0.001036567729897797
1826,0.0010505253449082375
1827,0.0010601213434711099
1828,0.001061930786818266
1829,0.0010696111712604761
1830,0.0010448603425174952
1831,0.0010238750837743282
1832,0.0009376456728205085
1833,0.0009996076114475727
1834,0.0010059257037937641
1835,0.0010024680523201823
1836,0.0010167008731514215
1837,0.001039916300214827
1838,0.0010311957448720932
1839,0.0010432194685563445
1840,0.0010486663086339831
1841,0.0010355868143960834
1842,0.0010606138966977596
1843,0.0010545680997893214
1844,0.0010244876611977816
1845,0.0010378311853855848
1846,0.0009976098081097007
1847,0.0010239116381853819
1848,0.0010037139290943742
1849,0.0010010250844061375
1850,0.000970730499830097
1851,0.0010089611168950796
1852,0.0009878352284431458
1853,0.0009873236995190382
1854,0.00097083073342219
1855,0.0009716902859508991
1856,0.0009529380477033556
1857,0.000982501427643001
1858,0.0009694763575680554
1859,0.0009860877180472016
1860,0.0009513977565802634
1861,0.000993076479062438
1862,0.0009660730138421059
1863,0.0009841534774750471
1864,0.0009506369242444634
1865,0.0009659099159762263
1866,0.0009357630624435842
1867,0.0009628003463149071
1868,0.0009323732228949666
1869,0.0009535723947919905
1870,0.000958181160967797
1871,0.000963787897489965
1872,0.0009550619870424271
1873,0.0009485157788731158
1874,0.0009478707797825336
1875,0.0009536108700558543
1876,0.0009527328656986356
1877,0.000961861340329051
1878,0.0009486731723882258
1879,0.0009386168094351888
1880,0.0009262192761525512
1881,0.0009299407829530537
1882,0.0009330926695838571
1883,0.0009348205057904124
1884,0.0009397579124197364
1885,0.0009363223216496408
1886,0.000901630672160536
1887,0.0009126410004682839
1888,0.0009157187887467444
1889,0.0009226367110386491
1890,0.0009314834023825824
1891,0.0009073767578229308
1892,0.0009078107541427016
1893,0.0009207138791680336
1894,0.0009135357686318457
1895,0.000908896152395755
1896,0.0008899052627384663
1897,0.0008946494781412184
1898,0.00089013681281358
1899,0.0008850428857840598
1900,0.0008701634942553937
1901,0.0008832058520056307
1902,0.000886565656401217
1903,0.0008951263152994215
1904,0.0009116536239162087
1905,0.0009124720236286521
1906,0.0008862359682098031
1907,0.0008980087004601955
1908,0.0009102736948989332
1909,0.0008964899461716413
1910,0.0008921241969801486
1911,0.0008887353469617665
1912,0.0008742698119021952
1913,0.000864731497131288
1914,0.0008732842979952693
1915,0.0008725718362256885
1916,0.0008544223383069038
1917,0.000836097402498126
1918,0.0008471441105939448
1919,0.0008242959156632423
1920,0.0008351979195140302
1921,0.0008321329369209707
1922,0.0008202726021409035
1923,0.0008033222984522581
1924,0.0007936451584100723
1925,0.0007855838630348444
1926,0.0007845198852010071
1927,0.0007640123949386179
1928,0.0007642880664207041
