,best
1800,0.00026228383649140596
1801,0.0002801676164381206
1802,0.0002514232764951885
1803,0.0002422658581053838
1804,0.00026247496134601533
1805,0.0002699504548218101
1806,0.0002653780684340745
1807,0.00026830960996448994
1808,0.0002821972593665123
1809,0.00026017508935183287
1810,0.0002645868225954473
1811,0.0002580430300440639
1812,0.0002504856965970248
1813,0.0002545356983318925
1814,0.0002741244388744235
1815,0.00026099191745743155
1816,0.00024154354468919337
1817,0.00024433055659756064
1818,0.0002482974377926439
1819,0.0002478018868714571
1820,0.00025480875046923757
1821,0.0002621473395265639
1822,0.00025671327603049576
1823,0.00025736168026924133
1824,0.0002685637155082077
1825,0.000259584077866748
1826,0.0002583156747277826
1827,0.0002473806089255959
1828,0.00025331490905955434
1829,0.0002549455384723842
1830,0.0002577673876658082
1831,0.00025430155801586807
1832,0.00021407617896329612
1833,0.0002601587038952857
1834,0.00025535031454637647
1835,0.00025771369109861553
1836,0.0002476729860063642
1837,0.0002538305416237563
1838,0.0002606416237540543
1839,0.0002629841910675168
1840,0.0002511957718525082
1841,0.0002573013480287045
1842,0.00026108886231668293
1843,0.00025996143813245
1844,0.00025450249086134136
1845,0.00025009497767314315
1846,0.0002511849452275783
1847,0.0002692184643819928
1848,0.00026263861218467355
1849,0.00026997196255251765
1850,0.0002676035510376096
1851,0.00026946948491968215
1852,0.00027375173522159457
1853,0.00027315280749462545
1854,0.000268922041868791
1855,0.00027527089696377516
1856,0.00027369227609597147
1857,0.000280114880297333
1858,0.00027612518169917166
1859,0.0002878375235013664
1860,0.00028370818472467363
1861,0.00028088747058063745
1862,0.00028012768598273396
1863,0.0002896343939937651
1864,0.00027738732751458883
1865,0.00028680506511591375
1866,0.00027967451023869216
1867,0.0002853469050023705
1868,0.00028458493761718273
1869,0.00029320683097466826
1870,0.0002859233063645661
1871,0.000287598290015012
1872,0.0002849658776540309
1873,0.00029125556466169655
1874,0.0002953244256787002
1875,0.0002880434039980173
1876,0.0002884182322304696
1877,0.00027826594305224717
1878,0.00029413221636787057
1879,0.0002865817223209888
1880,0.00028861299506388605
1881,0.00029159346013329923
1882,0.00029025846743024886
1883,0.000294448749627918
1884,0.0002948377514258027
1885,0.0002977931872010231
1886,0.0002963417791761458
1887,0.0002957340329885483
1888,0.00029999020625837147
1889,0.0003027873462997377
1890,0.0003035980917047709
1891,0.0003124372160527855
1892,0.00031247822334989905
1893,0.0003064069605898112
1894,0.00030827909358777106
1895,0.00029434883617796004
1896,0.00030140706803649664
1897,0.00030462219729088247
1898,0.0003005964099429548
1899,0.0003023906028829515
1900,0.00030379585223272443
1901,0.0002937520039267838
1902,0.00030618117307312787
1903,0.0003034922992810607
1904,0.00029918536893092096
1905,0.00030228696414269507
1906,0.00028994560125283897
1907,0.00029599101981148124
1908,0.0002954622614197433
1909,0.00029775206348858774
1910,0.000294909521471709
1911,0.000287212198600173
1912,0.0002909967442974448
1913,0.0002874381607398391
1914,0.0002859279920812696
1915,0.00028080528136342764
1916,0.0002841339446604252
1917,0.00027966071502305567
1918,0.0002806693664751947
1919,0.0002868755254894495
1920,0.00028317837859503925
1921,0.00027791500906459987
1922,0.00027236409368924797
1923,0.0002686412772163749
1924,0.00026786219677887857
1925,0.00025516728055663407
1926,0.00025643137632869184
1927,0.000252481026109308
1928,0.00025132327573373914
1929,0.0002438054943922907
1930,0.0002429927553748712
1931,0.000228144766879268
1932,0.00022818331490270793
1933,0.00021730337175540626
1934,0.00022168640862219036
1935,0.00021893030498176813
1936,0.00021915863908361644
1937,0.0002178988652303815
1938,0.00021557898435276002
1939,0.00020804890664294362
1940,0.00021291770099196583
1941,0.0002073471259791404
1942,0.00021549916709773242
1943,0.0002124122838722542
1944,0.00022047969105187804
1945,0.00021226365061011165
1946,0.00021988536173012108
1947,0.00021525975898839533
1948,0.00021564059716183692
1949,0.00020527925516944379
1950,0.00021115978597663343
1951,0.00020990028860978782
1952,0.00020806121756322682
1953,0.0002067471359623596
1954,0.00020542307174764574
1955,0.00020234269322827458
1956,0.0002036032674368471
1957,0.00019704436999745667
1958,0.00020028512517455965
1959,0.0001955865736817941
1960,0.0001922900410136208
1961,0.00019078305922448635
1962,0.0001915853499667719
1963,0.00019115733448415995
1964,0.00018835262744687498
1965,0.00018875104433391243
1966,0.00018959352746605873
1967,0.00019054942822549492
1968,0.00019229110330343246
1969,0.00019399149459786713
1970,0.0001857736788224429
1971,0.00018036583787761629
1972,0.00017895885684993118
1973,0.00017628133355174214
1974,0.00017791037680581212
1975,0.0001727124908939004
1976,0.00017323295469395816
1977,0.00017220377048943192
1978,0.000171253239386715
1979,0.0001698042033240199
1980,0.00017181671864818782
1981,0.0001691264915280044
1982,0.00017271579417865723
1983,0.00017130732885561883
1984,0.00017413032765034586
1985,0.00017187074990943074
1986,0.00017585644673090428
1987,0.00017615911201573908
1988,0.0001769141963450238
1989,0.00017453015607316047
1990,0.00017658609431236982
1991,0.00017732662672642618
1992,0.00017946300795301795
1993,0.00017858204955700785
1994,0.0001847157400334254
1995,0.00018274171452503651
1996,0.000190556951565668
1997,0.00019449731917120516
1998,0.00020007196872029454
1999,0.0002012386394198984
2000,0.00020590414351318032
2001,0.00020624991157092154
2002,0.00020952314662281424
2003,0.00021542863396462053
2004,0.0002205490745836869
2005,0.00022343709133565426
2006,0.0002266233932459727
2007,0.00022855235147289932
2008,0.00023878927459008992
2009,0.0002502302813809365
2010,0.00025902746710926294
2011,0.0002589539799373597
2012,0.0002419041993562132
2013,0.0002398578799329698
2014,0.00025377978454343975
2015,0.0002547815383877605
2016,0.0002463164855726063
2017,0.0002466224250383675
2018,0.00024188072711694986
2019,0.00025122627266682684
