,better
1800,0.0002634148404467851
1801,0.0002692229172680527
1802,0.0002170358202420175
1803,0.0002552822697907686
1804,0.00023593881633132696
1805,0.00023752856941428035
1806,0.0002436287177260965
1807,0.00023867894196882844
1808,0.00026852963492274284
1809,0.00024309009313583374
1810,0.0002358479832764715
1811,0.00023651623632758856
1812,0.00022859724413137883
1813,0.00022293670917861164
1814,0.00023594891536049545
1815,0.00022506130335386842
1816,0.00022421186440624297
1817,0.00021950696827843785
1818,0.00021678944176528603
1819,0.00021768595615867525
1820,0.00023664813488721848
1821,0.00023962151317391545
1822,0.00023899623192846775
1823,0.00023015883925836533
1824,0.0002512194332666695
1825,0.00024223783111665398
1826,0.00023848077398724854
1827,0.00023036038328427821
1828,0.00023296682047657669
1829,0.00022991075820755213
1830,0.0002486277080606669
1831,0.0002347506524529308
1832,0.00018956528219860047
1833,0.0002473891363479197
1834,0.0002436579525237903
1835,0.00023928632435854524
1836,0.00023865538241807371
1837,0.00024129277153406292
1838,0.00024426757590845227
1839,0.00024130450037773699
1840,0.0002349298301851377
1841,0.00023514901113230735
1842,0.00023847971169743687
1843,0.00024360744282603264
1844,0.0002460957912262529
1845,0.0002354221069253981
1846,0.00024236437457147986
1847,0.00024154411221388727
1848,0.0002444983401801437
1849,0.0002386781998211518
1850,0.0002438309311401099
1851,0.00023744213103782386
1852,0.0002415871131233871
1853,0.00024670225684531033
1854,0.00023865509137976915
1855,0.00023999529366847128
1856,0.00023824768140912056
1857,0.00024216667225118726
1858,0.0002397708740318194
1859,0.00023876081104390323
1860,0.00024924331228248775
1861,0.00024701820802874863
1862,0.0002516682434361428
1863,0.0002431753382552415
1864,0.0002491944469511509
1865,0.0002534030645620078
1866,0.0002492758503649384
1867,0.0002547367475926876
1868,0.0002530913916416466
1869,0.00026088705635629594
1870,0.0002534718660172075
1871,0.0002547617768868804
1872,0.00025018028100021183
1873,0.0002489354810677469
1874,0.0002506719611119479
1875,0.00025013263802975416
1876,0.0002444466226734221
1877,0.000238408159930259
1878,0.0002434014022583142
1879,0.00024233081785496324
1880,0.00024224787193816155
1881,0.0002408749860478565
1882,0.00024502529413439333
1883,0.0002500361006241292
1884,0.00024274109455291182
1885,0.0002467419544700533
1886,0.0002412190951872617
1887,0.0002438320079818368
1888,0.00024741204106248915
1889,0.00024598254822194576
1890,0.00024516729172319174
1891,0.00024582206970080733
1892,0.0002518736000638455
1893,0.0002478770329616964
1894,0.0002564402821008116
1895,0.0002365248219575733
1896,0.0002450015163049102
1897,0.0002407885913271457
1898,0.00023901417443994433
1899,0.0002540263521950692
1900,0.00025012114201672375
1901,0.00024143622431438416
1902,0.0002458164235576987
1903,0.0002447831502649933
1904,0.00024227448739111423
1905,0.00023781495110597461
1906,0.00023426470579579473
1907,0.00023515486100222915
1908,0.00023870450968388468
1909,0.00024329278676304966
1910,0.00023572381178382784
1911,0.0002292144054081291
1912,0.00023647367197554559
1913,0.00023515573411714286
1914,0.00023470039013773203
1915,0.0002280059561599046
1916,0.00023307124502025545
1917,0.0002241930487798527
1918,0.00022592871391680092
1919,0.00023669532674830407
1920,0.00023583098663948476
1921,0.00023587365285493433
1922,0.00023504825367126614
1923,0.00023057735234033316
1924,0.0002348440611967817
1925,0.00022407984943129122
1926,0.0002262358320876956
1927,0.00022546005493495613
1928,0.00022606394486501813
1929,0.00022219833044800907
1930,0.00022255151998251677
1931,0.00021232965809758753
1932,0.0002140092838089913
1933,0.00020119875262025744
1934,0.00020942407718393952
1935,0.0002033005584962666
1936,0.0002047052257694304
1937,0.00020463003602344543
1938,0.0002044780267169699
1939,0.00019562146917451173
1940,0.0001998613734031096
1941,0.00019065453670918941
1942,0.0002002916589844972
1943,0.00020060467068105936
1944,0.00021388259483501315
1945,0.00020813506853301078
1946,0.00021064700558781624
1947,0.00020881912496406585
1948,0.0002079991827486083
1949,0.0001964220282388851
1950,0.0002010944444919005
1951,0.00020196287368889898
1952,0.00020718791347462684
1953,0.00020197259436827153
1954,0.00019942769722547382
1955,0.00020112920901738107
1956,0.00020210976072121412
1957,0.00019423379853833467
1958,0.00019812179380096495
1959,0.00019179140508640558
1960,0.00019004159548785537
1961,0.00018916596309281886
1962,0.00018634114530868828
1963,0.00018690104479901493
1964,0.00018393603386357427
1965,0.0001863036013673991
1966,0.00018771766917780042
1967,0.00018946744967252016
1968,0.00019363078172318637
1969,0.00019296222308184952
1970,0.00018780682876240462
1971,0.00018149676907341927
1972,0.00017876563651952893
1973,0.00017219624714925885
1974,0.00017415494949091226
1975,0.00016871339175850153
1976,0.00016846905054990202
1977,0.00016653495549689978
1978,0.00016595011402387172
1979,0.00016403743939008564
1980,0.00016632229380775243
1981,0.00016079796478152275
1982,0.0001623650750843808
1983,0.00016351907106582075
1984,0.00016628550656605512
1985,0.000162577343871817
1986,0.00016762678569648415
1987,0.00016492501890752465
1988,0.00016727221373002976
1989,0.00016396834689658135
