,cd
1800,1.2659405683734803e-06
1801,1.7498578017693944e-06
1802,2.178390559492982e-06
1803,2.985386572618154e-06
1804,1.8462177422406967e-06
1805,2.197115691160434e-06
1806,2.3316927126870723e-06
1807,2.308521743543679e-06
1808,2.1267587726470083e-06
1809,4.16808597947238e-06
1810,1.669585344643565e-06
1811,1.578345518282731e-06
1812,1.6236192550422857e-06
1813,1.643031964704278e-06
1814,1.755535663505725e-06
1815,2.5866427222354105e-06
1816,1.6470791024403297e-06
1817,1.0970302355417516e-06
1818,1.311425421590684e-06
1819,1.3338714097699267e-06
1820,1.047105001816817e-06
1821,1.0401926147096674e-06
1822,1.3403525827015983e-06
1823,1.2030537845930667e-06
1824,8.395878126066236e-07
1825,1.054172457770619e-06
1826,1.6154623381225974e-06
1827,9.444731858820887e-07
1828,9.067029509424174e-07
1829,8.634967230136681e-07
1830,9.347566560791165e-07
1831,1.0912672223639674e-06
1832,7.954345733196533e-07
1833,7.265065278261318e-07
1834,6.275034252212208e-07
1835,7.712837941653561e-07
1836,8.56784197367233e-07
1837,7.395679517685494e-07
1838,7.448344376825844e-07
1839,6.940907155694731e-07
1840,5.507633318302396e-07
1841,8.137087661452824e-07
1842,1.109743379856809e-06
1843,5.312181770023017e-07
1844,6.338572120512254e-07
1845,6.870928359603568e-07
1846,6.316138865258836e-07
1847,6.114638608778478e-07
1848,7.231812446661934e-07
1849,7.017073357928894e-07
1850,7.729620961072214e-07
1851,8.747293804844958e-07
1852,8.106609357128036e-07
1853,1.194912556456984e-06
1854,8.102254014374921e-07
1855,9.488890100328717e-07
1856,9.911503866533167e-07
1857,7.915156743365515e-07
1858,8.235949167101353e-07
1859,1.1963993529207073e-06
1860,8.591959499426594e-07
1861,8.846747618918016e-07
1862,7.459585162905569e-07
1863,7.711014404776506e-07
1864,6.536074010909942e-07
1865,7.617244932589529e-07
1866,8.895476639736444e-07
1867,7.88890361036465e-07
1868,9.055386271938914e-07
1869,8.878449193616689e-07
1870,1.0611250900183222e-06
1871,1.0160156307392754e-06
1872,9.679145023255842e-07
1873,8.603566925557971e-07
1874,8.876013453118503e-07
1875,8.926653549679031e-07
1876,8.309254440064251e-07
1877,7.566632120870054e-07
1878,9.693395668364246e-07
1879,8.377072049370327e-07
1880,8.758889293858374e-07
1881,7.879003192101663e-07
1882,8.206841357605299e-07
1883,9.123094741880777e-07
1884,6.999986226219335e-07
1885,7.232521852529317e-07
1886,7.242688866426761e-07
1887,7.744278605059662e-07
1888,8.752259645916638e-07
1889,7.929519938443264e-07
1890,7.07982280800934e-07
1891,8.218585207941942e-07
1892,6.809405022067949e-07
1893,7.157162826842978e-07
1894,7.282332603608666e-07
1895,6.649116244261677e-07
1896,6.22480683887261e-07
1897,6.505806027234939e-07
1898,6.439223056986521e-07
1899,6.567444756910845e-07
1900,6.412138873201911e-07
1901,6.659331006630964e-07
1902,7.649840654266882e-07
1903,6.920499231455324e-07
1904,5.802310738545202e-07
1905,8.074172797023493e-07
1906,6.859570476080989e-07
1907,7.063633802317781e-07
1908,7.877596317484858e-07
1909,6.698750212308369e-07
1910,1.0465352033861564e-06
1911,1.0643725545378402e-06
1912,6.360073712130543e-07
1913,6.242051426852413e-07
1914,6.642732728323608e-07
1915,6.377810564117681e-07
1916,6.221310400178481e-07
1917,6.608553348996793e-07
1918,5.607561206488754e-07
1919,5.41144572707708e-07
1920,6.707323336740956e-07
1921,6.616491532440705e-07
1922,6.750997272320092e-07
1923,7.466060765182192e-07
1924,6.576429427695984e-07
1925,7.355760089922114e-07
1926,9.714324278320419e-07
1927,6.583312028851651e-07
1928,6.051741365808994e-07
1929,8.6761122020107e-07
1930,6.422454816856771e-07
1931,6.458506049966672e-07
1932,6.053419951967953e-07
1933,8.940659199652146e-07
1934,7.611507726323907e-07
1935,7.551889211754315e-07
1936,8.870704846231092e-07
1937,1.0167836990149226e-06
1938,9.577603350408026e-07
1939,9.187973546431749e-07
1940,1.393920911141322e-06
1941,9.502905982117227e-07
1942,8.573502441322489e-07
1943,8.164599307747267e-07
1944,8.138987936945341e-07
1945,9.338524478152976e-07
1946,1.0965652563754702e-06
1947,7.558933816653735e-07
1948,8.431035780631646e-07
1949,9.66889160736173e-07
1950,9.649736512074014e-07
1951,1.0452204151079059e-06
1952,9.931768545357045e-07
1953,8.39383062611887e-07
1954,9.282554742640059e-07
1955,9.5756786322454e-07
1956,1.125153630709974e-06
1957,6.551921956088336e-07
1958,9.125291171585559e-07
1959,9.865044603429851e-07
1960,8.948262006924779e-07
1961,8.932782975534792e-07
1962,9.60786678660952e-07
1963,8.303847494062211e-07
1964,8.513149509781215e-07
1965,8.708015002412139e-07
1966,8.343503736796265e-07
1967,8.419986556873482e-07
1968,8.493772156725754e-07
1969,9.299816383645521e-07
1970,1.0618036867526826e-06
1971,9.593848062650068e-07
1972,9.973050509870518e-07
1973,1.0334427997804596e-06
1974,2.110828290824429e-06
1975,1.2475528592403862e-06
1976,1.1559779977687867e-06
1977,9.209611562255304e-07
1978,1.0977505553455558e-06
1979,8.64527123667358e-07
1980,1.2126381534471875e-06
1981,9.831979923546896e-07
1982,9.127489306592906e-07
1983,9.513987038189953e-07
1984,9.269060683436692e-07
1985,8.39425922549708e-07
1986,8.292361144413007e-07
1987,9.955864470612141e-07
1988,8.465748351227376e-07
1989,1.0248427315673325e-06
1990,1.1343081496306695e-06
1991,1.3607882465294097e-06
1992,1.1050588000216521e-06
1993,1.29847808238992e-06
1994,1.1465409670563531e-06
1995,1.2628303238670924e-06
1996,1.5502225778618595e-06
1997,1.2270430715943803e-06
1998,1.3443825537251541e-06
1999,1.1000777249137172e-06
2000,1.1986879826508812e-06
2001,1.058109319274081e-06
2002,1.0654614470695378e-06
2003,1.1019321846106322e-06
2004,1.0234305136691546e-06
2005,1.042616077029379e-06
2006,1.0583672747088713e-06
2007,1.0038185109806363e-06
2008,9.55584710027324e-07
2009,8.681546432853793e-07
2010,7.889350968071085e-07
2011,6.329718758024683e-07
2012,7.697252044636116e-07
2013,7.028482968962635e-07
2014,6.508129786197969e-07
2015,7.216016228994704e-07
2016,7.449854138030787e-07
2017,7.462811595360108e-07
2018,7.033859787952679e-07
2019,6.775123893021373e-07
