,center
1800,7.488494702556636e-06
1801,1.0843447853403632e-05
1802,9.436888831260148e-06
1803,7.106142220436595e-06
1804,6.601528639293974e-06
1805,8.399485523113981e-06
1806,8.958220860222355e-06
1807,5.321772732713725e-06
1808,4.615248144546058e-06
1809,6.327238224912435e-06
1810,6.7998989834450185e-06
1811,3.911265594069846e-06
1812,2.5038184503500815e-06
1813,4.776539299200522e-06
1814,6.756351467629429e-06
1815,3.66608151125547e-06
1816,3.872604793286882e-06
1817,3.861546247208025e-06
1818,3.6760470720764715e-06
1819,2.8128447411290836e-06
1820,2.1973612547299126e-06
1821,3.1920126275508665e-06
1822,1.699112544883974e-06
1823,3.2129585179063724e-06
1824,1.3165241625756607e-06
1825,1.137143726737122e-06
1826,2.029406005021883e-06
1827,1.2345747109065996e-06
1828,9.368377504870296e-07
1829,1.473170186727657e-06
1830,1.411284870300733e-06
1831,1.6573668517594342e-06
1832,8.765029633650556e-06
1833,2.7465816856420133e-06
1834,1.8083803752233507e-06
1835,1.8393985783404787e-06
1836,1.4248944353312254e-06
1837,2.3780132778483676e-06
1838,2.474375150995911e-06
1839,2.303477458553971e-06
1840,2.3429124667018186e-06
1841,2.1205582925176714e-06
1842,1.369143205920409e-06
1843,1.0751348327175947e-06
1844,1.7815599449022557e-06
1845,1.3588602314484888e-06
1846,2.3612076347490074e-06
1847,3.0526443879352883e-06
1848,3.246840833526221e-06
1849,3.4656216030271025e-06
1850,5.171888460608898e-06
1851,3.7266916024236707e-06
1852,4.387725766719086e-06
1853,4.1267016968049575e-06
1854,5.251677521300735e-06
1855,6.137871423561592e-06
1856,5.850962679687655e-06
1857,6.102695351728471e-06
1858,6.14039436186431e-06
1859,5.9816488828801084e-06
1860,9.752716323419008e-06
1861,7.154010745580308e-06
1862,5.689586487278575e-06
1863,6.04413708060747e-06
1864,6.388982455973746e-06
1865,7.170272965595359e-06
1866,7.201927473943215e-06
1867,6.571888661710545e-06
1868,1.1405762052163482e-05
1869,1.0685416782507673e-05
1870,1.2709907423413824e-05
1871,1.2663651432376355e-05
1872,1.5766503565828316e-05
1873,1.4078806088946294e-05
1874,1.6191552276723087e-05
1875,1.6123589375638403e-05
1876,1.646777855057735e-05
1877,1.711533150228206e-05
1878,1.8628617908689193e-05
1879,1.874403460533358e-05
1880,2.127455809386447e-05
1881,2.1750061932834797e-05
1882,2.2581032681046054e-05
1883,2.134224087058101e-05
1884,2.4210274204961024e-05
1885,2.6314990464015864e-05
1886,2.3827569748391397e-05
1887,2.4371411200263537e-05
1888,2.428467632853426e-05
1889,2.7660815248964354e-05
1890,2.9038685170235112e-05
1891,3.328432285343297e-05
1892,3.0246070309658535e-05
1893,3.2086114515550435e-05
1894,3.274164191680029e-05
1895,3.471225863904692e-05
1896,3.3669490221654996e-05
1897,3.770924377022311e-05
1898,3.757912782020867e-05
1899,3.782080239034258e-05
1900,4.0344588342122734e-05
1901,4.0266604628413916e-05
1902,4.225644443067722e-05
1903,4.6650566218886524e-05
1904,4.5122353185433894e-05
1905,5.0433627620805055e-05
1906,4.724345126305707e-05
1907,4.9361093260813504e-05
1908,5.289665568852797e-05
1909,5.534983574762009e-05
1910,5.3693562222179025e-05
1911,5.4194137192098424e-05
1912,5.9155434428248554e-05
1913,5.843964027008042e-05
1914,6.0717746237060055e-05
1915,6.528805533889681e-05
1916,6.772651249775663e-05
1917,6.676173507003114e-05
1918,6.464382749982178e-05
1919,6.17501136730425e-05
1920,6.153971480671316e-05
1921,6.140160985523835e-05
1922,6.003256203257479e-05
1923,5.9078189224237576e-05
1924,5.607380444416776e-05
1925,5.793857417302206e-05
1926,5.537440301850438e-05
1927,6.176312308525667e-05
1928,5.9185804275330156e-05
1929,5.957522080279887e-05
1930,6.0919730458408594e-05
1931,6.19155980530195e-05
1932,5.772059739683755e-05
1933,5.4695447033736855e-05
1934,5.783093365607783e-05
1935,5.746602255385369e-05
1936,5.678694651578553e-05
1937,5.995217725285329e-05
1938,6.273011240409687e-05
1939,6.265468255151063e-05
1940,7.089061546139419e-05
1941,7.15653586667031e-05
1942,7.471597928088158e-05
1943,7.334236579481512e-05
1944,7.629470928804949e-05
1945,7.106048724381253e-05
1946,6.896542618051171e-05
1947,6.663162639597431e-05
1948,7.005498628132045e-05
1949,7.337144779739901e-05
1950,6.538560410263017e-05
1951,6.801114795962349e-05
1952,6.537563604069874e-05
1953,7.156217179726809e-05
1954,7.097487832652405e-05
1955,7.001696212682873e-05
1956,7.038431795081124e-05
1957,7.124300464056432e-05
1958,7.371163519565016e-05
1959,7.7094417065382e-05
1960,7.646727317478508e-05
1961,7.513751916121691e-05
1962,7.681170245632529e-05
1963,7.546658889623359e-05
1964,7.344630284933373e-05
1965,7.721832662355155e-05
1966,7.577489304821938e-05
1967,7.855353032937273e-05
1968,7.496905891457573e-05
1969,7.759311120025814e-05
1970,7.710632780799642e-05
1971,8.061858534347266e-05
1972,7.986596756381914e-05
1973,7.918314076960087e-05
1974,7.942131196614355e-05
1975,7.792250835336745e-05
1976,8.170349610736594e-05
1977,8.192168752430007e-05
1978,8.084497676463798e-05
1979,7.627190643688664e-05
1980,7.535392069257796e-05
1981,7.53555868868716e-05
1982,7.442416972480714e-05
1983,7.577391806989908e-05
1984,7.478105544578284e-05
1985,7.770272350171581e-05
1986,7.629433093825355e-05
1987,8.382452506339177e-05
1988,7.639575778739527e-05
1989,7.993647159310058e-05
1990,8.24955859570764e-05
1991,7.846046355552971e-05
1992,8.09003904578276e-05
1993,8.075002551777288e-05
1994,7.856010779505596e-05
1995,7.778045983286574e-05
1996,7.748146163066849e-05
1997,7.934473251225427e-05
1998,7.772319077048451e-05
1999,7.81924172770232e-05
2000,7.810084207449108e-05
2001,7.855873263906687e-05
2002,7.666109740966931e-05
2003,7.567268039565533e-05
2004,7.67331148381345e-05
2005,7.623446435900405e-05
2006,7.39763054298237e-05
2007,7.45421857573092e-05
2008,7.028328400338069e-05
2009,7.133973849704489e-05
2010,7.352553075179458e-05
2011,7.500845822505653e-05
2012,7.521122461184859e-05
2013,6.910125375725329e-05
2014,6.842050788691267e-05
2015,6.874058453831822e-05
2016,6.795230729039758e-05
2017,6.187674443935975e-05
2018,5.806194167234935e-05
2019,6.31471339147538e-05
