,check
1800,2.4540990125387907e-05
1801,2.1014495359850116e-05
1802,2.2784786779084243e-05
1803,2.585702168289572e-05
1804,2.6653142413124442e-05
1805,2.7729849534807727e-05
1806,2.3665821572649293e-05
1807,2.2440284737967886e-05
1808,2.3890590455266647e-05
1809,2.0244990082574077e-05
1810,2.0642812160076573e-05
1811,2.1337320504244417e-05
1812,2.1780815586680546e-05
1813,2.2939899281482212e-05
1814,2.395403862465173e-05
1815,2.2676567823509686e-05
1816,2.070594382530544e-05
1817,2.7400888939155266e-05
1818,2.544435665186029e-05
1819,2.3754093490424566e-05
1820,2.297273931617383e-05
1821,2.3493314074585214e-05
1822,2.3486680220230483e-05
1823,2.1663221559720114e-05
1824,2.1800487957079895e-05
1825,2.3516691726399586e-05
1826,2.5469833417446353e-05
1827,2.387658241786994e-05
1828,2.4270921130664647e-05
1829,2.1756632122560404e-05
1830,2.3329388568527065e-05
1831,2.271195080538746e-05
1832,3.819315679720603e-05
1833,2.5049464966286905e-05
1834,2.4622193450341e-05
1835,2.70968575932784e-05
1836,2.6264708139933646e-05
1837,2.5048213501577266e-05
1838,2.3886899725766852e-05
1839,2.2166766939335503e-05
1840,2.4917702830862254e-05
1841,2.3087317458703183e-05
1842,2.3692384274909273e-05
1843,2.232174483651761e-05
1844,2.1996902432874776e-05
1845,2.1952062525087968e-05
1846,2.2198290025698952e-05
1847,2.3188409613794647e-05
1848,2.267603122163564e-05
1849,2.3196518668555655e-05
1850,2.2089661797508597e-05
1851,2.3178605260909535e-05
1852,2.2356560293701477e-05
1853,2.321738975297194e-05
1854,2.259531174786389e-05
1855,2.268520802317653e-05
1856,2.2819091100245714e-05
1857,2.3438620701199397e-05
1858,2.3948199668666348e-05
1859,2.335083445359487e-05
1860,2.2176689526531845e-05
1861,2.2438238374888897e-05
1862,2.1712552552344278e-05
1863,2.3416974727297202e-05
1864,2.3213144231704064e-05
1865,2.18107506952947e-05
1866,2.439305535517633e-05
1867,2.2362883100868203e-05
1868,2.27703494601883e-05
1869,2.2319683921523392e-05
1870,2.264147042296827e-05
1871,2.28536082431674e-05
1872,2.6185785827692598e-05
1873,2.4086439225357026e-05
1874,2.59247772191884e-05
1875,2.537961699999869e-05
1876,2.7324695111019537e-05
1877,2.531511381675955e-05
1878,2.5376648409292102e-05
1879,2.4901799406507052e-05
1880,2.49811837420566e-05
1881,2.459635834384244e-05
1882,2.527403921703808e-05
1883,2.525345371395815e-05
1884,2.59934149653418e-05
1885,2.5508705221000127e-05
1886,2.8855627533630468e-05
1887,2.762033363978844e-05
1888,2.8612859750865027e-05
1889,2.817335735016968e-05
1890,2.7906300601898693e-05
1891,2.9227390768937767e-05
1892,2.807171222229954e-05
1893,2.7802088879980147e-05
1894,3.0850886105326936e-05
1895,2.9634893508045934e-05
1896,3.1110797863220796e-05
1897,3.0308674467960373e-05
1898,3.135049337288365e-05
1899,3.0786814022576436e-05
1900,3.2087351428344846e-05
1901,3.067597936023958e-05
1902,3.2037914934335276e-05
1903,3.423933230806142e-05
1904,3.297408693470061e-05
1905,3.5365577787160873e-05
1906,3.46141641784925e-05
1907,3.8396094169002026e-05
1908,3.9606667996849865e-05
1909,3.871656008413993e-05
1910,4.084009924554266e-05
1911,4.2974366806447506e-05
1912,4.307688504923135e-05
1913,4.7010824346216395e-05
1914,4.417187301442027e-05
1915,4.65065568278078e-05
1916,4.761754462379031e-05
1917,4.853690552408807e-05
1918,4.637629535864107e-05
1919,4.796568100573495e-05
1920,4.801186150871217e-05
1921,4.996996358386241e-05
1922,5.004040940548293e-05
1923,4.8599555157124996e-05
1924,4.7941619413904846e-05
1925,4.655193697544746e-05
1926,5.000866440241225e-05
1927,4.769781298818998e-05
1928,4.873100988334045e-05
1929,4.584588168654591e-05
1930,4.994298433302902e-05
1931,5.482704727910459e-05
1932,5.042445627623238e-05
1933,4.881626591668464e-05
1934,5.014634007238783e-05
1935,4.95448948640842e-05
1936,5.193416654947214e-05
1937,4.9909529479919e-05
1938,5.022649565944448e-05
1939,5.213430995354429e-05
1940,5.544201485463418e-05
1941,5.554000017582439e-05
1942,5.6220393162220716e-05
1943,5.847113425261341e-05
1944,5.941827839706093e-05
1945,5.3328451031120494e-05
1946,5.161170338396914e-05
1947,5.193898323341273e-05
1948,5.242745828581974e-05
1949,5.186937050893903e-05
1950,5.1334489398868755e-05
1951,5.3793060942552984e-05
1952,5.2947649237466976e-05
1953,5.252628761809319e-05
1954,5.3401738114189357e-05
1955,5.360919749364257e-05
1956,5.160276123206131e-05
1957,5.4942964197834954e-05
1958,5.129237615619786e-05
1959,5.0129208830185235e-05
1960,4.8866197175811976e-05
1961,4.8628182412358e-05
1962,5.03281298733782e-05
1963,4.830713805858977e-05
1964,4.554373663268052e-05
1965,4.50631559942849e-05
1966,4.4586617150343955e-05
1967,4.191283733234741e-05
1968,4.2569256038405e-05
1969,4.169788007857278e-05
1970,4.2336807382525876e-05
1971,4.2310763092245907e-05
1972,4.321433152654208e-05
1973,4.278821506886743e-05
1974,4.3192936573177576e-05
1975,4.236408858560026e-05
1976,4.2942094296449795e-05
1977,4.4338848965708166e-05
1978,4.303519381210208e-05
1979,4.2610758100636303e-05
1980,4.3390344217186794e-05
1981,4.436345989233814e-05
1982,4.4810152758145705e-05
1983,4.662934225052595e-05
1984,4.6575547457905486e-05
1985,4.576422361424193e-05
1986,4.725075632450171e-05
1987,4.858131433138624e-05
1988,4.8225800128420815e-05
1989,4.761224045068957e-05
1990,4.79000955238007e-05
1991,4.941544830217026e-05
1992,4.9341117119183764e-05
1993,4.809886740986258e-05
1994,4.9987495003733784e-05
1995,5.0561044190544635e-05
1996,5.0537364586489275e-05
1997,5.351045911083929e-05
1998,5.467584924190305e-05
1999,5.559801502386108e-05
2000,5.728688120143488e-05
2001,5.631950989481993e-05
2002,5.828984285471961e-05
2003,5.991494981572032e-05
2004,5.995997344143689e-05
2005,5.985467214486562e-05
2006,5.8718043874250725e-05
2007,5.923105345573276e-05
2008,5.952769424766302e-05
2009,6.403676525224e-05
2010,6.823820876888931e-05
2011,7.029498374322429e-05
2012,6.403921724995598e-05
2013,6.0652313550235704e-05
2014,6.556917651323602e-05
2015,6.399337871698663e-05
2016,6.174336886033416e-05
2017,5.66712515137624e-05
2018,5.324209632817656e-05
2019,5.5787284509278834e-05
