,code
1800,9.15921827981947e-06
1801,7.862207894504536e-06
1802,1.0563932846707758e-05
1803,6.939006652828539e-06
1804,9.28309509617975e-06
1805,1.2231522305228282e-05
1806,8.343970876012463e-06
1807,9.210596545017324e-06
1808,7.132821792765753e-06
1809,8.086412890406791e-06
1810,8.995257303467952e-06
1811,9.447007869312074e-06
1812,1.1854193871840835e-05
1813,1.0053463483927771e-05
1814,9.43067243497353e-06
1815,7.920340067357756e-06
1816,7.970613296492957e-06
1817,1.1135588465549517e-05
1818,1.0698257028707303e-05
1819,1.143109238910256e-05
1820,1.0191582077823114e-05
1821,9.682563359092455e-06
1822,1.078699733625399e-05
1823,1.1186542906216346e-05
1824,1.0571787242952269e-05
1825,1.1314667972328607e-05
1826,1.1688749509630725e-05
1827,1.2274395885469858e-05
1828,1.4833412024017889e-05
1829,1.1907295629498549e-05
1830,1.3133440916135442e-05
1831,1.1718958376150113e-05
1832,1.344761585642118e-05
1833,1.3530767319025472e-05
1834,9.489282092545182e-06
1835,1.1090035513916519e-05
1836,1.285811322304653e-05
1837,1.06964089354733e-05
1838,1.1371920663805213e-05
1839,1.0330444638384506e-05
1840,9.674135981185827e-06
1841,1.118408818001626e-05
1842,1.1029002962459344e-05
1843,1.340003109362442e-05
1844,9.589171895640902e-06
1845,9.431137186766136e-06
1846,1.0331660632800777e-05
1847,1.056084056472173e-05
1848,1.1100925803475548e-05
1849,1.108167998609133e-05
1850,1.1395887668186333e-05
1851,1.3223917449067812e-05
1852,1.3805686648993287e-05
1853,1.4749992260476574e-05
1854,1.2894706742372364e-05
1855,1.1755818377423566e-05
1856,1.0512138942431193e-05
1857,1.0816084795806091e-05
1858,1.0955172001558822e-05
1859,1.1578877092688344e-05
1860,1.1656761671474669e-05
1861,1.1304401596134994e-05
1862,1.0088139788422268e-05
1863,1.0182723599427845e-05
1864,1.0920343811449129e-05
1865,1.0229261533822864e-05
1866,1.1535716112121008e-05
1867,1.2305767086218111e-05
1868,1.1084412108175457e-05
1869,1.027602320391452e-05
1870,1.2385035915940534e-05
1871,1.1703785276040435e-05
1872,1.1768488548113964e-05
1873,1.3603392289951444e-05
1874,1.3040781595918816e-05
1875,1.1932877896470018e-05
1876,1.2712640454992652e-05
1877,1.2251824045961257e-05
1878,1.177360081783263e-05
1879,1.1560197890503332e-05
1880,1.2326057003519963e-05
1881,1.1007744433300104e-05
1882,1.236769458046183e-05
1883,1.3515670616470743e-05
1884,1.3153920008335263e-05
1885,1.2334081475273706e-05
1886,1.3818223123962525e-05
1887,1.1806500879174564e-05
1888,1.1057346455345396e-05
1889,1.1901618563570082e-05
1890,1.2415996934578288e-05
1891,1.2207660802232567e-05
1892,1.1594857824093197e-05
1893,1.2782847989001311e-05
1894,1.2070963748556096e-05
1895,1.2975922800251283e-05
1896,1.2614758816198446e-05
1897,1.3026303349761292e-05
1898,1.4542121789418161e-05
1899,1.1999797607131768e-05
1900,1.757089739840012e-05
1901,1.5750189049867913e-05
1902,1.424591573595535e-05
1903,1.3405352547124494e-05
1904,1.3145107004675083e-05
1905,1.2965682799404021e-05
1906,1.651496313570533e-05
1907,1.414369216945488e-05
1908,1.3410484825726599e-05
1909,1.5549288946203887e-05
1910,1.3633876733365469e-05
1911,1.526503729110118e-05
1912,1.467601668991847e-05
1913,1.4134090633888263e-05
1914,1.4016371096658986e-05
1915,1.6833040717756376e-05
1916,1.4983289474912453e-05
1917,1.74764973053243e-05
1918,1.40270485644578e-05
1919,1.559078009449877e-05
1920,1.3628740816784557e-05
1921,1.70274252013769e-05
1922,1.7095266230171546e-05
1923,2.053645766864065e-05
1924,1.8556473150965758e-05
1925,1.840579898271244e-05
1926,1.6771818991401233e-05
1927,1.9803443137789145e-05
1928,1.771607821865473e-05
1929,1.99224850803148e-05
1930,2.005063470278401e-05
1931,2.1517762434086762e-05
1932,2.1617257516481914e-05
1933,5.253795097814873e-05
1934,5.5055166740203276e-05
1935,5.4180462029762566e-05
1936,3.3126649213954806e-05
1937,2.4342729375348426e-05
1938,2.0435123587958515e-05
1939,2.387304812145885e-05
1940,2.085948653984815e-05
1941,2.4288367058034055e-05
1942,2.2887068553245626e-05
1943,2.4667127945576794e-05
1944,2.5208275474142283e-05
1945,2.4363680495298468e-05
1946,2.569765092630405e-05
1947,2.6620142307365313e-05
1948,2.272976780659519e-05
1949,2.7332718673278578e-05
1950,2.2396638087229803e-05
1951,2.834005317708943e-05
1952,2.4367414880543947e-05
1953,2.9210459615569562e-05
1954,2.9628297852468677e-05
1955,3.1996511097531766e-05
1956,2.5971005015890114e-05
1957,3.2997482776409015e-05
1958,2.872894037864171e-05
1959,3.3943615562748164e-05
1960,2.848662370524835e-05
1961,3.3202341001015157e-05
1962,3.022070632141549e-05
1963,3.67899592674803e-05
1964,3.292709880042821e-05
1965,3.817665492533706e-05
1966,3.464567998889834e-05
1967,3.849347194773145e-05
1968,3.5394747101236135e-05
1969,3.520936661516316e-05
1970,3.5842345823766664e-05
1971,3.785555963986553e-05
1972,3.8936246710363775e-05
1973,3.633851156337187e-05
1974,3.794196163653396e-05
1975,4.089040885446593e-05
1976,4.185129364486784e-05
1977,4.6706554712727666e-05
1978,4.631743286154233e-05
1979,4.972133683622815e-05
1980,5.002796751796268e-05
1981,5.214804696151987e-05
1982,5.111502105137333e-05
1983,5.564714228967205e-05
1984,5.776475518359803e-05
1985,6.281147216213867e-05
1986,6.142430356703699e-05
1987,5.9703128499677405e-05
1988,5.888308442081325e-05
1989,6.675753684248775e-05
1990,6.37379489489831e-05
1991,6.250746810110286e-05
1992,6.491303065558895e-05
1993,6.916945858392864e-05
1994,6.97803043294698e-05
1995,6.681652303086594e-05
1996,6.421747821150348e-05
1997,6.725879939040169e-05
1998,6.809043406974524e-05
1999,6.946670328034088e-05
2000,6.582229980267584e-05
2001,6.831365317339078e-05
2002,8.114935189951211e-05
2003,7.80736590968445e-05
2004,7.288821507245302e-05
2005,6.852205842733383e-05
2006,7.182638364611194e-05
2007,6.688997382298112e-05
2008,6.726252468070015e-05
2009,6.541497714351863e-05
2010,7.167286821641028e-05
2011,6.56935153529048e-05
2012,6.210025458130985e-05
2013,5.655968561768532e-05
2014,5.618348586722277e-05
2015,5.798600977868773e-05
2016,5.437981599243358e-05
2017,5.025317659601569e-05
2018,5.031518958276138e-05
2019,4.880178676103242e-05
