,come
1800,0.0003642654628492892
1801,0.000327146437484771
1802,0.00028363653109408915
1803,0.0003121774934697896
1804,0.0003293418267276138
1805,0.00030954412068240345
1806,0.0003304934944026172
1807,0.00030036622774787247
1808,0.0003901638847310096
1809,0.00035022059455513954
1810,0.0003407989861443639
1811,0.00036157623981125653
1812,0.00034765462623909116
1813,0.00030973058892413974
1814,0.0003113926504738629
1815,0.0003225082182325423
1816,0.00036808213917538524
1817,0.00030380423413589597
1818,0.00030437103123404086
1819,0.00028096631285734475
1820,0.00034071452682837844
1821,0.0003475283447187394
1822,0.0003266409912612289
1823,0.0003352155617903918
1824,0.0003274041519034654
1825,0.0003400854766368866
1826,0.0003183266962878406
1827,0.00031585211399942636
1828,0.00033808141597546637
1829,0.0003099521854892373
1830,0.0003350652405060828
1831,0.00034346804022789
1832,0.0002753669396042824
1833,0.000338046345859766
1834,0.0003181526844855398
1835,0.0003132383862975985
1836,0.0003261443634983152
1837,0.0003269111330155283
1838,0.00033425120636820793
1839,0.0003458494902588427
1840,0.00034069427056238055
1841,0.00034598971251398325
1842,0.0003357392852194607
1843,0.00035398337058722973
1844,0.00036980374716222286
1845,0.0003289071610197425
1846,0.00033644959330558777
1847,0.0003407672047615051
1848,0.000344232888892293
1849,0.0003360173723194748
1850,0.0003559027973096818
1851,0.0003356491506565362
1852,0.00034084098297171295
1853,0.00035513227339833975
1854,0.00033986306516453624
1855,0.0003394056693650782
1856,0.00034158508060500026
1857,0.0003508825320750475
1858,0.00035206679604016244
1859,0.00034251288161613047
1860,0.00035869376733899117
1861,0.0003535122377797961
1862,0.0003725595597643405
1863,0.0003602644719649106
1864,0.00036971678491681814
1865,0.0003699988010339439
1866,0.0003694058977998793
1867,0.00037041056202724576
1868,0.0003712197649292648
1869,0.0003825462772510946
1870,0.00037197759957052767
1871,0.0003691552847158164
1872,0.00037254372728057206
1873,0.0003601571370381862
1874,0.00035918684443458915
1875,0.0003595466259866953
1876,0.00035101399407722056
1877,0.00034805783070623875
1878,0.00034518653410486877
1879,0.0003475532284937799
1880,0.00034769438207149506
1881,0.00035039466456510127
1882,0.0003512552357278764
1883,0.0003495107521302998
1884,0.000342962215654552
1885,0.00035040933289565146
1886,0.00033330940641462803
1887,0.00033818319207057357
1888,0.00033661152701824903
1889,0.0003400282876100391
1890,0.00034119715564884245
1891,0.00033571652602404356
1892,0.00034111234708689153
1893,0.0003422490553930402
1894,0.00034614899777807295
1895,0.0003327400772832334
1896,0.00034332071663811803
1897,0.0003254939801990986
1898,0.000332363328197971
1899,0.00036903301952406764
1900,0.0003527846420183778
1901,0.0003368937177583575
