,comments
1800,3.7898846585449064e-06
1801,3.9169271985883825e-06
1802,4.2222086449328344e-06
1803,3.244734898544266e-06
1804,3.793197265622439e-06
1805,3.5068762826995226e-06
1806,3.567563680917374e-06
1807,3.6645915315602906e-06
1808,3.844525508611696e-06
1809,3.3808012176450575e-06
1810,3.23372319144255e-06
1811,3.3642813832557295e-06
1812,3.3054964205803117e-06
1813,3.228092509743874e-06
1814,3.7358456665970152e-06
1815,3.896673661074601e-06
1816,3.4326594686717726e-06
1817,3.4505258099670755e-06
1818,3.6260237266105833e-06
1819,3.1629526802134933e-06
1820,3.7338350011850707e-06
1821,4.1482380765955895e-06
1822,3.2246316550299525e-06
1823,3.481220801404561e-06
1824,3.310657803012873e-06
1825,3.5625264445116045e-06
1826,3.7274605801940197e-06
1827,3.405173174542142e-06
1828,3.375097548996564e-06
1829,3.1429287901119096e-06
1830,3.1095114536583424e-06
1831,3.270712340963655e-06
1832,5.464738933369517e-06
1833,3.4897664136224193e-06
1834,3.323492364870617e-06
1835,3.6829694636253407e-06
1836,3.5668549571710173e-06
1837,3.8036585010559065e-06
1838,3.6913290841766866e-06
1839,3.54138637703727e-06
1840,3.402156153242686e-06
1841,3.5241123441664968e-06
1842,3.4050872272928245e-06
1843,3.65820960723795e-06
1844,3.756118303499534e-06
1845,3.5870161809725687e-06
1846,3.6267306313675363e-06
1847,3.823986389761558e-06
1848,3.82379766961094e-06
1849,3.6514347812044434e-06
1850,4.0115969568432774e-06
1851,3.543706725395168e-06
1852,3.9186334106489085e-06
1853,3.915698016498936e-06
1854,4.076477125636302e-06
1855,4.122942300455179e-06
1856,4.124387942283647e-06
1857,4.324524979892885e-06
1858,3.992653091700049e-06
1859,4.13156112699653e-06
1860,4.169964540778892e-06
1861,4.156438990321476e-06
1862,4.448454546945868e-06
1863,4.476743470149813e-06
1864,4.54994551546406e-06
1865,4.4049752432329115e-06
1866,4.298700787330745e-06
1867,4.496642304729903e-06
1868,4.600445663527353e-06
1869,5.006863375456305e-06
1870,4.809546680917265e-06
1871,4.79619620818994e-06
1872,4.669432200898882e-06
1873,4.674900537793292e-06
1874,4.9785203373176046e-06
1875,4.765468474943191e-06
1876,4.525990334514063e-06
1877,4.868237738264725e-06
1878,4.598185569193447e-06
1879,4.8182919272221625e-06
1880,4.605756657838356e-06
1881,5.1541178436309565e-06
1882,5.069520739198197e-06
1883,4.889822321274551e-06
1884,5.003399564884603e-06
1885,5.045296347816475e-06
1886,5.436401352199027e-06
1887,5.258463261270663e-06
1888,5.25277800988988e-06
1889,5.324906396708684e-06
1890,5.423028142104158e-06
1891,5.314105237630429e-06
1892,5.540770871448331e-06
1893,5.43126270713401e-06
1894,5.4526981330127455e-06
1895,5.461808086693054e-06
1896,5.6047479120024946e-06
1897,5.472330940392567e-06
1898,5.887776296731317e-06
1899,5.8021701079269405e-06
1900,5.694852916349191e-06
1901,5.482899723574519e-06
1902,5.863602837052895e-06
1903,5.783569122286281e-06
1904,5.7882757573679555e-06
1905,5.8058353715750854e-06
1906,5.763132321590092e-06
1907,5.794066510134144e-06
1908,6.269631739996839e-06
1909,6.182333891047165e-06
1910,6.8581125560740475e-06
1911,5.8847440413956065e-06
1912,6.485384346888168e-06
1913,6.288042186497478e-06
1914,6.413089067791589e-06
1915,6.479818694060668e-06
1916,6.76617582939798e-06
1917,6.6802763285522815e-06
1918,6.625424248341005e-06
1919,6.8346894295245875e-06
1920,7.007740350672975e-06
1921,7.324042599066161e-06
1922,7.719544555584434e-06
1923,7.571952664875425e-06
1924,7.803557309671305e-06
1925,8.735620212974027e-06
1926,9.072031389223412e-06
1927,9.780774234968703e-06
1928,9.862180377240293e-06
1929,9.874914212559815e-06
1930,1.0547788406256586e-05
1931,1.0751776244433131e-05
1932,1.1456893844297156e-05
1933,1.153728135250276e-05
1934,1.2854909073212184e-05
1935,1.29242735056323e-05
1936,1.3563583706854843e-05
1937,1.3466367818182334e-05
1938,1.3713068256038241e-05
1939,1.4404849025595468e-05
1940,1.4804970305704046e-05
1941,1.673887891229242e-05
1942,1.4422652384382673e-05
1943,1.479955517424969e-05
1944,1.6371604942833073e-05
1945,1.703600719338283e-05
1946,1.8094378901878372e-05
1947,2.075639167742338e-05
1948,1.915317989187315e-05
1949,1.9884417270077392e-05
1950,1.9015173165826127e-05
1951,2.015724021475762e-05
1952,2.0879690055153333e-05
1953,2.066159140667878e-05
1954,2.215047243225854e-05
1955,2.304903682670556e-05
1956,2.4924815079430118e-05
1957,2.415624840068631e-05
1958,2.441010292386636e-05
1959,2.4982960894703865e-05
1960,2.5818648282438517e-05
1961,2.5664880013209768e-05
1962,2.5380881197634153e-05
1963,2.565469367254991e-05
1964,2.61454151768703e-05
1965,2.683823913685046e-05
1966,2.8160764486528933e-05
1967,2.9608701879624277e-05
1968,2.86358281300636e-05
1969,3.0300017897388898e-05
1970,3.592047869460657e-05
1971,3.343997013871558e-05
1972,3.552180714905262e-05
1973,3.738263694685884e-05
1974,4.1311432141810656e-05
1975,4.241691931383684e-05
1976,4.5390293962555006e-05
1977,4.849657852901146e-05
1978,4.916938269161619e-05
1979,5.144403257872909e-05
1980,4.770056693814695e-05
1981,4.6444780309684575e-05
1982,4.439875192474574e-05
1983,4.776643618242815e-05
1984,4.4522093958221376e-05
1985,4.286623516236432e-05
1986,4.41645024693571e-05
1987,4.8770252760732546e-05
1988,4.616744627128355e-05
1989,4.6439126890618354e-05
1990,4.6987959649413824e-05
1991,4.557369538815692e-05
1992,4.598408122546971e-05
1993,4.420814002514817e-05
1994,4.730055297841318e-05
1995,4.7469191486015916e-05
1996,5.2717397920787334e-05
1997,5.239626261754893e-05
1998,4.738079951494001e-05
1999,4.935946344630793e-05
2000,4.721303776022978e-05
2001,4.35112597187981e-05
2002,4.2712679714895785e-05
2003,4.258989429217763e-05
2004,4.15932408941444e-05
2005,3.9987429772736505e-05
2006,3.705151902977377e-05
2007,3.788482354138978e-05
2008,3.409915734664537e-05
2009,3.2458243367727846e-05
2010,3.256060153944418e-05
2011,2.9074186386424117e-05
2012,2.953778675873764e-05
2013,3.191936048096977e-05
2014,2.740781565080397e-05
2015,2.6172552679781802e-05
2016,2.7218693503527902e-05
2017,2.3947592126205564e-05
2018,2.18801578739658e-05
2019,2.265081820951309e-05
