,computer
1800,1.508016964635317e-07
1801,2.3493461753787415e-07
1802,1.6821548598500158e-08
1803,1.2102918844902888e-07
1804,2.9253449440602708e-08
1805,1.4009272035764297e-06
1806,5.4053995057756765e-08
1807,2.7762057541735885e-08
1808,4.362582117778402e-08
1809,8.687283070685226e-08
1810,5.5652847663623106e-08
1811,6.754923731477902e-08
1812,4.052715851798894e-08
1813,7.627817666389092e-08
1814,4.429856659271536e-08
1815,1.2365087798116292e-07
1816,4.7524952861977e-08
1817,6.582181555359057e-08
1818,7.976711202672959e-08
1819,9.717825832922244e-08
1820,1.1994329440767615e-07
1821,2.255839319786901e-07
1822,9.153114177706811e-08
1823,8.56376232150069e-08
1824,1.1878412919941184e-07
1825,1.2926058445827948e-07
1826,1.0845130873349262e-06
1827,1.3237645646313467e-07
1828,8.508649074201458e-08
1829,6.635901428353463e-08
1830,1.0979913867004143e-07
1831,2.131562268914422e-07
1832,1.965712044693646e-06
1833,6.804744145938457e-08
1834,1.0989437981834271e-07
1835,1.8000595503053773e-07
1836,5.369334843408069e-08
1837,6.744487990317793e-08
1838,7.096453913391088e-08
1839,8.774652116017023e-08
1840,7.968721149609337e-08
1841,7.586779560142531e-08
1842,1.0768542324512964e-07
1843,1.010584398386527e-07
1844,7.102727295205113e-08
1845,1.3494945960701443e-07
1846,6.288597376169491e-08
1847,2.2439040492372442e-07
1848,1.3968423218102544e-07
1849,9.039560922019518e-08
1850,1.1539280819761188e-07
1851,1.4087545707752724e-07
1852,1.440756989268266e-07
1853,9.93545228311632e-08
1854,1.0042504783314143e-07
1855,1.3378591745549784e-07
1856,1.0810092021529272e-07
1857,1.258506330259479e-07
1858,1.41492208172167e-07
1859,1.3915665419972356e-07
1860,1.280370440781553e-07
1861,1.600801624590531e-07
1862,1.2027460627450637e-07
1863,1.5755063031974714e-07
1864,1.0596901489634547e-07
1865,1.4938068204628507e-07
1866,1.303244090422595e-07
1867,8.142746565908965e-08
1868,1.3683694533028756e-07
1869,8.178578809747705e-07
1870,6.50347473651891e-08
1871,1.0571079656074289e-07
1872,1.1139468369947281e-07
1873,1.3215787930676015e-07
1874,2.249536947829256e-07
1875,1.249846235396035e-07
1876,1.1168205560352362e-07
1877,5.494154038387933e-07
1878,1.496691766078584e-07
1879,2.672505843293038e-07
1880,1.3872319470920047e-07
1881,3.327367608108034e-07
1882,1.5739146874693688e-07
1883,2.1616416745473543e-07
1884,2.8768883453267335e-07
1885,2.1438935959849914e-07
1886,1.9922454441712034e-07
1887,1.727832739106816e-07
1888,2.129147702589762e-07
1889,2.991433518673148e-07
1890,2.2574188562884956e-07
1891,4.1849006038319203e-07
1892,1.9070731127612817e-07
1893,2.6985441081706085e-07
1894,2.0629990160614398e-07
1895,2.8707447086162574e-07
1896,1.6950329495557526e-07
1897,1.9252979654993396e-07
1898,1.9873412782089872e-07
1899,4.627464136319759e-07
1900,1.2157186120020924e-06
1901,2.5518596658002934e-07
1902,2.855940692825243e-07
1903,2.273101387118004e-07
1904,2.2323962411974207e-07
1905,1.781404250777996e-07
1906,3.621692599153903e-07
1907,2.4248294039352913e-07
1908,2.0566493219575932e-07
1909,2.5011709681166394e-07
1910,2.1269121930345136e-07
1911,2.0174947223949857e-07
1912,1.8193688333667524e-07
1913,1.215917677654943e-06
1914,2.2191365189883072e-07
1915,3.001737809427141e-07
1916,2.716318761031289e-07
1917,2.5394689373570145e-07
1918,4.758505554036674e-07
1919,3.389529013020365e-07
1920,2.624859689603909e-07
1921,3.027903119345865e-07
1922,2.6371549211035017e-07
1923,3.033848372524517e-07
1924,1.5821213139588508e-07
1925,1.3225491102275555e-06
1926,3.5595130043475365e-07
1927,5.393495143835025e-07
1928,4.847190666623646e-07
1929,2.2592872994664503e-07
1930,4.1543017914591474e-07
1931,3.9677101426605077e-07
1932,4.5701548856413865e-07
1933,7.943864375192788e-07
1934,1.6888549225768656e-06
1935,1.8140752899853396e-06
1936,8.296622695525002e-07
1937,3.6739467645929835e-07
1938,4.27624343046773e-07
1939,4.0934773437584226e-07
1940,5.539237122320628e-07
1941,1.717100872156152e-06
1942,9.519724244455574e-07
1943,8.745979585000896e-07
1944,8.332037850777851e-07
1945,9.228680255546351e-07
1946,1.5376241435660631e-06
1947,3.6288724913902115e-06
1948,2.187970039813081e-06
1949,3.2346247280656826e-06
1950,2.6341485863667913e-06
1951,2.144066456821747e-06
1952,3.913305135938572e-06
1953,4.423964583111228e-06
1954,7.2023494794848375e-06
1955,8.77400907484116e-06
1956,1.2416665413184091e-05
1957,1.5016378711152356e-05
1958,1.733328463160433e-05
1959,2.2078034817241132e-05
1960,2.716904964472633e-05
1961,3.087858567596413e-05
1962,3.941430986742489e-05
1963,3.994318103650585e-05
1964,4.59309812868014e-05
1965,5.492762284120545e-05
1966,6.300111272139475e-05
1967,6.924143963260576e-05
1968,7.24640631233342e-05
1969,7.48645979911089e-05
1970,8.100156992441043e-05
1971,8.075187361100689e-05
1972,8.271147089544684e-05
1973,7.7879594755359e-05
1974,7.933579036034644e-05
1975,7.963010284584016e-05
1976,8.07454707683064e-05
1977,8.708432869752869e-05
1978,8.866626740200445e-05
1979,9.213334124069661e-05
1980,9.70664550550282e-05
1981,0.00010168733570026234
1982,0.0001161213731393218
1983,0.00013337426935322583
1984,0.00014547457976732403
1985,0.00013943259546067566
1986,0.00013615623174700886
1987,0.00012516042625065893
1988,0.00012070147931808606
1989,0.00011676803842419758
1990,0.00011582863953663036
1991,0.00010944335372187197
1992,0.00010724937601480633
1993,0.0001069119171006605
1994,0.00010650971671566367
1995,0.00010550812294241041
1996,0.00010197598021477461
1997,0.00010618804662954062
1998,0.00010202526755165309
1999,9.807820606511086e-05
2000,9.790628973860294e-05
2001,9.448497439734638e-05
2002,9.323132690042257e-05
2003,8.930895273806527e-05
2004,8.628435170976445e-05
2005,8.077388338278979e-05
2006,7.91773636592552e-05
2007,7.497259502997622e-05
2008,7.112889579730108e-05
2009,7.558363722637296e-05
2010,7.405733049381524e-05
2011,7.661333802388981e-05
2012,7.759546861052513e-05
2013,6.967835361137986e-05
2014,6.761669646948576e-05
2015,6.0315356677165255e-05
2016,6.043319444870576e-05
2017,5.173413592274301e-05
2018,4.694465678767301e-05
2019,4.972117312718183e-05
