,contact
1800,1.3516593753593042e-05
1801,1.4638856555393431e-05
1802,1.6190741007449105e-05
1803,1.4341959285957273e-05
1804,2.252840749861207e-05
1805,1.4996910067566205e-05
1806,1.633904867048841e-05
1807,2.1761181415058672e-05
1808,1.4894581909175031e-05
1809,2.9035434636170976e-05
1810,1.4743610336154234e-05
1811,1.1259304301347584e-05
1812,9.535280696582049e-06
1813,1.4480649042525329e-05
1814,1.4406878108275123e-05
1815,1.8027963960776106e-05
1816,1.3133181710145436e-05
1817,1.3935209608462173e-05
1818,1.809767127269879e-05
1819,1.954214894794859e-05
1820,1.367953336739447e-05
1821,1.9239801986259408e-05
1822,2.000849781325087e-05
1823,1.932314808072988e-05
1824,1.897216498036869e-05
1825,1.7762849893188104e-05
1826,1.9489771148073487e-05
1827,1.831864756240975e-05
1828,1.8107468349626288e-05
1829,2.2717180399922654e-05
1830,2.2560794604942203e-05
1831,2.384878280281555e-05
1832,2.6475623599253595e-05
1833,2.2276864910963923e-05
1834,2.232741826446727e-05
1835,2.480088733136654e-05
1836,2.353096533624921e-05
1837,2.3461514501832426e-05
1838,2.46317340497626e-05
1839,2.5370303774252534e-05
1840,2.627292815304827e-05
1841,2.5616600396460854e-05
1842,2.905967994593084e-05
1843,2.6935513233183883e-05
1844,2.5018254746100865e-05
1845,2.7888987460755743e-05
1846,2.6249615984852426e-05
1847,2.7022681024391204e-05
1848,2.869833588192705e-05
1849,2.8324415325187147e-05
1850,2.6979007088812068e-05
1851,2.783170566544868e-05
1852,3.16748337354511e-05
1853,2.7677046091412194e-05
1854,2.9243514291010797e-05
1855,3.1394742109114304e-05
1856,3.244243998778984e-05
1857,3.423349335207604e-05
1858,3.328815728309564e-05
1859,3.210413706256077e-05
1860,3.3321641240036115e-05
1861,3.227691922802478e-05
1862,3.269806256867014e-05
1863,3.5093653423245996e-05
1864,3.3936972613446414e-05
1865,3.345035293023102e-05
1866,3.4911572583951056e-05
1867,3.532896880642511e-05
1868,3.3712662116158754e-05
1869,3.490682865958661e-05
1870,3.3462343708379194e-05
1871,3.346923040226102e-05
1872,4.009210897493176e-05
1873,3.6996814742451534e-05
1874,3.6479988921200857e-05
1875,3.640320210251957e-05
1876,3.6483441363088787e-05
1877,3.725982242031023e-05
1878,4.0038328734226525e-05
1879,3.942885450669564e-05
1880,3.8296162529150024e-05
1881,4.0687609725864604e-05
1882,4.2204377677990124e-05
1883,4.246417302056216e-05
1884,4.1988208977272734e-05
1885,4.5389519073069096e-05
1886,4.120350058656186e-05
1887,4.0819140849635005e-05
1888,4.2486655729589984e-05
1889,4.219253969495185e-05
1890,4.70862360089086e-05
1891,4.4556905777426437e-05
1892,4.4945187255507335e-05
1893,5.084949589218013e-05
1894,4.745130718220025e-05
1895,4.761409218190238e-05
1896,4.765480480273254e-05
1897,4.9803362344391644e-05
1898,4.886339957010932e-05
1899,4.47358179371804e-05
1900,4.8121339204953983e-05
1901,4.654902659240179e-05
1902,5.0976243073819205e-05
1903,5.387363853515126e-05
1904,5.42592242709361e-05
1905,5.773557859356515e-05
1906,5.088868419989012e-05
1907,5.4887597798369825e-05
1908,5.7338464102940634e-05
1909,5.51291523152031e-05
1910,5.774495002697222e-05
1911,5.547236287384294e-05
1912,5.5958229495445266e-05
1913,5.629541556118056e-05
1914,5.677613808074966e-05
1915,5.934642831562087e-05
1916,6.081671381252818e-05
1917,5.978955596219748e-05
1918,5.93791228311602e-05
1919,5.600972508545965e-05
1920,5.792620868305676e-05
1921,5.742305438616313e-05
1922,6.064183253329247e-05
1923,5.8691650338005275e-05
1924,6.11082577961497e-05
1925,5.80246232857462e-05
1926,5.90348026889842e-05
1927,5.896671427763067e-05
1928,6.0338825278449804e-05
1929,5.9921334468526766e-05
1930,6.294149352470413e-05
1931,6.180223863339052e-05
1932,6.17294863332063e-05
1933,6.065773050067946e-05
1934,6.334372301353142e-05
1935,7.033617293927819e-05
1936,6.189611303852871e-05
1937,6.224163371371105e-05
1938,6.329027382889763e-05
1939,6.275624764384702e-05
1940,6.586727977264673e-05
1941,6.216965266503394e-05
1942,6.921273597981781e-05
1943,7.047374674584717e-05
1944,7.073197048157454e-05
1945,6.74195762258023e-05
1946,6.97994910296984e-05
1947,6.517176370834932e-05
1948,6.915473204571754e-05
1949,7.724745955783874e-05
1950,7.25847712601535e-05
1951,7.032937719486654e-05
1952,7.15327842044644e-05
1953,7.113709580153227e-05
1954,7.25310092093423e-05
1955,7.009447290329263e-05
1956,7.529699360020459e-05
1957,7.322158489841968e-05
1958,7.503000233555213e-05
1959,7.547805580543354e-05
1960,7.554122566943988e-05
1961,7.329181244131178e-05
1962,7.555919728474692e-05
1963,7.265221938723698e-05
1964,7.651797204744071e-05
1965,7.29667954146862e-05
1966,7.356703281402588e-05
1967,7.074973109411076e-05
1968,7.095283217495307e-05
1969,7.094973989296705e-05
1970,7.021710916887969e-05
1971,6.956851575523615e-05
1972,7.429228571709245e-05
1973,7.261367136379704e-05
1974,7.527703564846888e-05
1975,7.535277836723253e-05
1976,7.588547305203974e-05
1977,7.844805804779753e-05
1978,7.855496369302273e-05
1979,7.79673719080165e-05
1980,8.231584070017561e-05
1981,8.454188355244696e-05
1982,8.202838216675445e-05
1983,8.43625093693845e-05
1984,8.484392310492694e-05
1985,8.501511911163107e-05
1986,8.507538586854935e-05
1987,8.761283970670775e-05
1988,8.683337364345789e-05
1989,8.853954932419583e-05
1990,8.864104893291369e-05
1991,8.874395280145109e-05
1992,8.614108810434118e-05
1993,8.6637468484696e-05
1994,8.740773773752153e-05
1995,9.00543382158503e-05
1996,9.113190753851086e-05
1997,9.074300760403275e-05
1998,9.21572936931625e-05
1999,9.198893530992791e-05
2000,9.350298205390573e-05
2001,8.906896982807666e-05
2002,8.50663855089806e-05
2003,8.538216934539378e-05
2004,8.535449160262942e-05
2005,8.467122097499669e-05
2006,8.181350131053478e-05
2007,8.818886271910742e-05
2008,7.995804480742663e-05
2009,7.879370241425931e-05
2010,7.665200246265158e-05
2011,8.062513370532542e-05
2012,0.00013302959268912673
2013,8.896378130884841e-05
2014,7.50556355342269e-05
2015,7.877071766415611e-05
2016,7.490761345252395e-05
2017,6.873035454191267e-05
2018,6.672245217487216e-05
