,control
1800,1.8556544091552496e-05
1801,9.814595614443533e-06
1802,1.1266231922490988e-05
1803,1.1431495295255445e-05
1804,1.09960465124459e-05
1805,1.240170058736112e-05
1806,1.0319398825231474e-05
1807,1.0158777513424866e-05
1808,1.0121189916389994e-05
1809,1.0249184924759902e-05
1810,1.0540356015553698e-05
1811,1.1272484698565677e-05
1812,1.1213358448003419e-05
1813,1.1249505405430682e-05
1814,1.1161597285536118e-05
1815,1.7590173229109496e-05
1816,1.9087379769189283e-05
1817,2.1010322598158382e-05
1818,2.0582619981723838e-05
1819,2.05245814868249e-05
1820,1.8010685380431823e-05
1821,2.0775027223862708e-05
1822,2.0528224922600202e-05
1823,2.02011924557155e-05
1824,2.1085083062644117e-05
1825,2.910546572820749e-05
1826,3.337802627356723e-05
1827,2.457883419992868e-05
1828,2.8797345294151455e-05
1829,2.939704427262768e-05
1830,3.055197521462105e-05
1831,3.397833643248305e-05
1832,7.535426266258582e-05
1833,3.841945363092236e-05
1834,4.482130316318944e-05
1835,3.954051499022171e-05
1836,4.14027672377415e-05
1837,4.072275260114111e-05
1838,3.880528674926609e-05
1839,3.763852873817086e-05
1840,3.615847890614532e-05
1841,3.808776818914339e-05
1842,3.3891203202074394e-05
1843,3.529267632984556e-05
1844,3.561748599167913e-05
1845,3.577310053515248e-05
1846,3.717846266226843e-05
1847,3.8630678318440914e-05
1848,4.0542065107729286e-05
1849,4.1460541979176924e-05
1850,4.075529795954935e-05
1851,4.2066250898642465e-05
1852,4.129518129047938e-05
1853,4.5320281060412526e-05
1854,4.284802344045602e-05
1855,4.388390516396612e-05
1856,4.569527300191112e-05
1857,4.3085459765279666e-05
1858,4.826648364542052e-05
1859,4.4213546061655506e-05
1860,4.678978802985512e-05
1861,4.752163295052014e-05
1862,4.5462096750270575e-05
1863,4.58361319033429e-05
1864,4.951639493810944e-05
1865,4.762669777846895e-05
1866,5.169635551283136e-05
1867,5.1844570407411084e-05
1868,5.7831566664390266e-05
1869,5.447224248200655e-05
1870,5.463644993142225e-05
1871,5.394010804593563e-05
1872,6.074778866604902e-05
1873,5.737721949117258e-05
1874,5.8977631852030754e-05
1875,5.6180011597462e-05
1876,6.009942080709152e-05
1877,6.368878530338407e-05
1878,5.983285154798068e-05
1879,6.345189467538148e-05
1880,6.0252838011365384e-05
1881,6.149990804260597e-05
1882,6.278380169533193e-05
1883,6.31153307040222e-05
1884,6.829870108049363e-05
1885,6.672046583844349e-05
1886,7.538737554568797e-05
1887,7.165827992139384e-05
1888,7.460245251422748e-05
1889,7.57133966544643e-05
1890,7.536858174717054e-05
1891,7.661959534743801e-05
1892,7.402741175610572e-05
1893,8.103672007564455e-05
1894,8.094107761280611e-05
1895,8.080666157184169e-05
