,customer
1800,1.6707240320101846e-06
1801,1.4541642485710327e-06
1802,2.5989293135353364e-06
1803,9.59588533078204e-07
1804,9.296095981881081e-07
1805,7.901107892394066e-07
1806,1.3341508520170464e-06
1807,7.773376182740321e-07
1808,2.5502927201159764e-06
1809,7.999540230230195e-07
1810,8.084307978606375e-07
1811,1.2405993174979812e-06
1812,1.0334425724067842e-06
1813,1.2097718808945501e-06
1814,1.2649701375266886e-06
1815,1.2131154107919428e-06
1816,1.256016616935085e-06
1817,1.6367690705010318e-06
1818,1.338465153821744e-06
1819,1.2420180155459093e-06
1820,1.3301712442626012e-06
1821,1.616684812688618e-06
1822,1.5171024188020965e-06
1823,1.727197286527371e-06
1824,2.0760226107086055e-06
1825,1.6812609828775749e-06
1826,2.265383500343887e-06
1827,2.174353767259163e-06
1828,1.501422048022505e-06
1829,1.9551025616237894e-06
1830,1.989560360016185e-06
1831,1.8527600786910625e-06
1832,8.484143108944409e-06
1833,2.1508328700292623e-06
1834,2.167325419577537e-06
1835,1.9502631403156556e-06
1836,2.0114798644499388e-06
1837,1.944854375324212e-06
1838,2.0902282358292723e-06
1839,2.1064417978777783e-06
1840,2.111440153385047e-06
1841,2.6949094262818107e-06
1842,2.466155365254963e-06
1843,2.8365145681163995e-06
1844,2.546205450926209e-06
1845,2.167705588362878e-06
1846,2.1918285710853525e-06
1847,2.0246559415681986e-06
1848,2.114417611664976e-06
1849,2.5411211481696228e-06
1850,2.195008846683777e-06
1851,2.9254624678287655e-06
1852,2.650917622304405e-06
1853,2.577568693595822e-06
1854,2.5411763999727555e-06
1855,2.519988584026578e-06
1856,2.579220563347917e-06
1857,3.3166591038025217e-06
1858,2.5637655198806897e-06
1859,3.0461392270808574e-06
1860,2.7194394078833284e-06
1861,2.6439436169312103e-06
1862,2.636231783981202e-06
1863,3.131799076072639e-06
1864,2.7967121241090354e-06
1865,3.635060011220048e-06
1866,2.8444139843486482e-06
1867,2.792929080897011e-06
1868,2.927443802036578e-06
1869,3.359070205988246e-06
1870,2.971634330606321e-06
1871,2.863915597117739e-06
1872,2.8264323645998957e-06
1873,3.0712665193277644e-06
1874,2.9366112812567735e-06
1875,3.097382659689174e-06
1876,3.2464254218211863e-06
1877,3.1334759569290327e-06
1878,2.8661788746831007e-06
1879,3.3403641737095313e-06
1880,3.254979446865036e-06
1881,3.2953637401078595e-06
1882,3.203063215551083e-06
1883,3.446195478318259e-06
1884,3.823035513050854e-06
1885,3.55591419065604e-06
1886,3.686553327497677e-06
1887,3.5808211578114424e-06
1888,3.909261522494489e-06
1889,3.837107669824036e-06
1890,4.093530151294544e-06
1891,4.459924639377277e-06
1892,4.376375727588311e-06
1893,4.524134055827744e-06
1894,4.9135583140014205e-06
1895,4.557483862299705e-06
1896,5.50578988622874e-06
1897,5.312121629685862e-06
1898,5.881552169739734e-06
1899,5.307814262778265e-06
1900,6.041922461008653e-06
1901,6.20603168499656e-06
1902,6.4766099967528135e-06
1903,6.6807929215428885e-06
1904,7.703266419412103e-06
1905,8.742380487092305e-06
1906,8.714265277376398e-06
1907,9.56337225943571e-06
