,d
1800,0.00010825973731698468
1801,0.00010632411431288347
1802,0.00013392895925790071
1803,0.00012798549141734838
1804,0.00010741866572061554
1805,0.00010916899918811396
1806,0.00012903180322609842
1807,0.00014567392645403743
1808,8.718983735889196e-05
1809,0.00010010827099904418
1810,9.519712330074981e-05
1811,8.458482625428587e-05
1812,8.000694651855156e-05
1813,8.185869228327647e-05
1814,8.885307761374861e-05
1815,7.824761269148439e-05
1816,8.218150469474494e-05
1817,7.364583143498749e-05
1818,6.65730913169682e-05
1819,8.298091415781528e-05
1820,7.414534775307402e-05
1821,9.420510468771681e-05
1822,8.935438381740823e-05
1823,8.00649868324399e-05
1824,7.865579391364008e-05
1825,7.837383600417525e-05
1826,8.770593558438122e-05
1827,7.712007936788723e-05
1828,8.199590229196474e-05
1829,8.917407831177115e-05
1830,8.087950845947489e-05
1831,7.388025551335886e-05
1832,9.558103192830458e-05
1833,7.665144221391529e-05
1834,7.848929817555472e-05
1835,8.162733865901828e-05
1836,8.684350905241445e-05
1837,7.887678657425568e-05
1838,8.972439536591992e-05
1839,7.123178511392325e-05
1840,7.787663344061002e-05
1841,8.062716369749978e-05
1842,7.890954293543473e-05
1843,7.93821964180097e-05
1844,7.44674471206963e-05
1845,7.893223664723337e-05
1846,9.252868039766327e-05
1847,8.434601477347314e-05
1848,7.168277079472318e-05
1849,6.971373659325764e-05
1850,7.961424853419885e-05
1851,8.170125511242077e-05
1852,8.613394311396405e-05
1853,8.186114428099245e-05
1854,9.03825493878685e-05
1855,8.75685436767526e-05
1856,8.636790880700573e-05
1857,8.920335676521063e-05
1858,8.560132118873298e-05
1859,8.94791228347458e-05
1860,9.913099347613752e-05
1861,8.77642523846589e-05
1862,8.410990994889289e-05
1863,8.361454820260406e-05
1864,8.149570930982009e-05
1865,7.834451389499009e-05
1866,9.090762614505365e-05
1867,9.389180195285007e-05
1868,8.484788850182667e-05
1869,8.525572047801688e-05
1870,8.675453864270821e-05
1871,8.620950393378735e-05
1872,9.088808292290196e-05
1873,8.951848576543853e-05
1874,9.363867866341025e-05
1875,9.234414028469473e-05
1876,9.264559048460796e-05
1877,9.113396663451567e-05
1878,9.174299339065328e-05
1879,9.61103942245245e-05
1880,9.552180563332513e-05
1881,9.219195635523647e-05
1882,9.28123336052522e-05
