,days
1800,0.00027375665376894176
1801,0.0002617536229081452
1802,0.00024847110034897923
1803,0.00022045754303690046
1804,0.00025505106896162033
1805,0.00026276957942172885
1806,0.00025640756939537823
1807,0.00025623312103562057
1808,0.00025825758348219097
1809,0.0002511475468054414
1810,0.0002485646400600672
1811,0.0002593297394923866
1812,0.00024220929481089115
1813,0.00024380336981266737
1814,0.0002619062433950603
1815,0.0002628834336064756
1816,0.0002566931361798197
1817,0.000266609073150903
1818,0.0002603003813419491
1819,0.000257841864367947
1820,0.0002788333804346621
1821,0.000277225102763623
1822,0.00027208105893805623
1823,0.00027293534367345273
1824,0.00026524855638854206
1825,0.00027526041958481073
1826,0.0002669681853149086
1827,0.0002761288487818092
1828,0.0002778047346509993
1829,0.0002726716920733452
1830,0.0002716825983952731
1831,0.0002808603458106518
1832,0.000261232111370191
1833,0.0002761905489023775
1834,0.00027990294620394707
1835,0.00028676976216956973
1836,0.0002791886799968779
1837,0.00028437143191695213
1838,0.0002814617764670402
1839,0.0002857856743503362
1840,0.0002925480075646192
1841,0.0002863090194296092
1842,0.00028093322180211544
1843,0.0002862853289116174
1844,0.0002857030485756695
1845,0.00028408097568899393
1846,0.0002783328527584672
1847,0.00029190993518568575
1848,0.0002892122429329902
1849,0.00028159786597825587
1850,0.00028458709130063653
1851,0.0002813573810271919
1852,0.00028617045609280467
1853,0.00028609082801267505
1854,0.00028590200236067176
1855,0.00029083501431159675
1856,0.00028864602791145444
1857,0.0002930432092398405
1858,0.0002856150676961988
1859,0.0002867764560505748
1860,0.00028956049936823547
1861,0.0002916353987529874
1862,0.00029851903673261404
1863,0.000296573038212955
1864,0.000293352291919291
1865,0.00030362073448486626
1866,0.00029503341647796333
1867,0.000288988696411252
1868,0.0002943158324342221
1869,0.00029562602867372334
1870,0.00029345310758799314
1871,0.0002939873666036874
1872,0.0002852116886060685
1873,0.000289896153844893
1874,0.0002852847392205149
1875,0.0002900073304772377
1876,0.00029371181153692305
1877,0.0002929836045950651
1878,0.00028393592219799757
1879,0.00029153499053791165
1880,0.0002901602128986269
1881,0.00029641433502547443
1882,0.0002957576361950487
1883,0.00029783209902234375
1884,0.0002912133641075343
1885,0.00029452244052663445
1886,0.0002950076886918396
1887,0.00029105308931320906
1888,0.000297441118163988
1889,0.0003041967283934355
1890,0.0003007315390277654
1891,0.00030430578044615686
1892,0.0003058150177821517
1893,0.0002962960861623287
1894,0.0002987504121847451
1895,0.000298246624879539
1896,0.00030812728800810874
1897,0.00030187281663529575
1898,0.00030509705538861454
1899,0.0003094918793067336
1900,0.00030741619411855936
1901,0.0003015375114046037
1902,0.00029810244450345635
1903,0.0003035737609025091
1904,0.0003064956399612129
1905,0.00029838545015081763
1906,0.0002998279524035752
1907,0.0003060880699194968
1908,0.0002973141090478748
1909,0.00030046459869481623
1910,0.00029953979537822306
1911,0.0003047294158022851
1912,0.0003032539680134505
1913,0.0003069864760618657
1914,0.00030615110881626606
1915,0.00031092940480448306
1916,0.0003111916303168982
1917,0.000314217119012028
1918,0.00031750602647662163
1919,0.00031748475157655776
1920,0.0003158062172587961
1921,0.0003087431541644037
1922,0.00030625920044258237
1923,0.0003065336786676198
1924,0.0003000674187205732
1925,0.000305712572298944
1926,0.0002989592030644417
1927,0.00031095437589101493
1928,0.00029669603100046515
1929,0.00029790852568112314
1930,0.00030217404128052294
1931,0.0003161979257129133
1932,0.0002980877470690757
1933,0.00030231531127355993
1934,0.0002910071343649179
1935,0.00028896459843963385
1936,0.0002879938401747495
1937,0.0002860254026018083
1938,0.0002889625320676714
1939,0.0002908885362558067
1940,0.00028589533758349717
1941,0.00028825399931520224
1942,0.0002896866062656045
1943,0.0003009846550412476
1944,0.00030110066290944815
1945,0.00029672132222913206
1946,0.00028851229581050575
1947,0.00027114260592497885
1948,0.00027436341042630374
1949,0.00027293682796880603
1950,0.0002628937945701182
1951,0.0002637504367157817
1952,0.00026548453024588525
1953,0.00026401778450235724
1954,0.00026424755924381316
1955,0.00026018661446869373
1956,0.0002481700212229043
1957,0.0002582419547252357
1958,0.0002492368221282959
1959,0.00025474329595454037
1960,0.00024424935691058636
1961,0.00024673910229466856
1962,0.0002431227476336062
1963,0.00024370933533646166
1964,0.00023930986935738474
1965,0.00024089051294140518
1966,0.00023417889315169305
1967,0.0002375351614318788
1968,0.00023496475478168577
1969,0.0002365624823141843
1970,0.00023285714269150048
1971,0.00023789991973899305
1972,0.00023814327141735703
1973,0.000235240557231009
1974,0.00023196647816803306
1975,0.0002374210162088275
1976,0.00023677227727603167
1977,0.00023596093524247408
1978,0.0002320326748304069
1979,0.00023244904878083616
1980,0.00022989654098637402
1981,0.00023134780349209905
1982,0.00022425751376431435
1983,0.000218385030166246
1984,0.00022023443307261914
1985,0.000223971699597314
1986,0.00021815666696056724
1987,0.00022003494086675346
1988,0.00022385074407793581
1989,0.00021824076247867197
1990,0.00021574835409410298
1991,0.00021885920432396233
1992,0.00021363908308558166
1993,0.00021444112644530833
1994,0.00021203853248152882
1995,0.00021583250781986862
1996,0.00021464854944497347
1997,0.00021651362476404756
1998,0.00021851566270925105
1999,0.00021905291941948235
2000,0.0002183572796639055
2001,0.00022402466856874526
2002,0.0002122083242284134
2003,0.00021919014398008585
2004,0.00022579745564144105
2005,0.0002245452196802944
2006,0.0002255471481475979
2007,0.00022621126845479012
2008,0.00023473372857552022
2009,0.00023790753039065748
2010,0.00023894052719697356
2011,0.00024132635735441
2012,0.000227885611820966
2013,0.00021619402104988694
2014,0.00023150851484388113
2015,0.00022780364088248461
2016,0.00021272209414746612
2017,0.0002295928861713037
2018,0.00022845556668471545
2019,0.00023000653891358525
