,development
1800,1.2143505045969505e-05
1801,6.501207735709613e-06
1802,2.523232296880451e-06
1803,1.720343448141648e-06
1804,1.3229059732111637e-06
1805,2.3520990453107515e-06
1806,1.9115457234875066e-06
1807,2.6480731776246103e-06
1808,2.510302465452696e-06
1809,1.784512846825237e-06
1810,1.3327392025530571e-06
1811,2.098968934660661e-06
1812,1.352593926640111e-06
1813,2.128161213477142e-06
1814,2.198521315222024e-06
1815,2.716977405725629e-06
1816,1.937660272233188e-06
1817,2.5743643163878005e-06
1818,3.799077830990427e-06
1819,3.117691449006088e-06
1820,2.8522515549411764e-06
1821,3.2108112009154866e-06
1822,4.2967030822183006e-06
1823,4.150845143158222e-06
1824,5.118516128277406e-06
1825,5.6726180446275976e-06
1826,8.1746520663728e-06
1827,6.247042165341554e-06
1828,7.898862349975388e-06
1829,7.996261047082953e-06
1830,7.626647857250646e-06
1831,1.0134188414667733e-05
1832,2.1663170628016815e-05
1833,1.1560727216419764e-05
1834,1.5290925148292445e-05
1835,1.596569381945301e-05
1836,1.7251153622055426e-05
1837,1.518788849352859e-05
1838,1.787192013580352e-05
1839,1.830434484872967e-05
1840,1.7307304005953483e-05
1841,2.1516532797249965e-05
1842,2.0398694687173702e-05
1843,2.120904355251696e-05
1844,2.272921847179532e-05
1845,2.5902634661179036e-05
1846,3.1162984669208527e-05
1847,3.288534935563803e-05
1848,3.385497257113457e-05
1849,3.7451176467584446e-05
1850,3.408117845538072e-05
1851,3.8696725823683664e-05
1852,3.823799124802463e-05
1853,3.701105379150249e-05
1854,4.183759665465914e-05
1855,4.06309227400925e-05
1856,4.1907012928277254e-05
1857,4.1783823689911515e-05
1858,4.317276398069225e-05
1859,4.689822890213691e-05
1860,4.397432348923758e-05
1861,4.577042636810802e-05
1862,4.590822209138423e-05
1863,4.530071601038799e-05
1864,4.795097993337549e-05
1865,4.6745622967137024e-05
1866,4.533485116553493e-05
1867,4.889636693405919e-05
1868,4.965076004737057e-05
1869,5.308272011461668e-05
1870,5.188079012441449e-05
1871,5.478830644278787e-05
1872,5.50350705452729e-05
1873,5.7288227253593504e-05
1874,6.214743189048022e-05
1875,5.951991261099465e-05
1876,5.877452713320963e-05
1877,6.103629129938781e-05
1878,6.203211523825303e-05
1879,6.187897815834731e-05
1880,6.424767343560234e-05
1881,6.675537588307634e-05
1882,6.755247159162536e-05
1883,7.346381607931107e-05
1884,7.318300049519166e-05
1885,7.444052607752383e-05
1886,7.660026312805712e-05
1887,7.446830568369478e-05
1888,7.457766332663596e-05
1889,7.902386278146878e-05
1890,8.788013656158e-05
1891,8.38350533740595e-05
1892,8.52417724672705e-05
1893,8.812747546471655e-05
1894,9.130016405833885e-05
1895,9.036317351274192e-05
1896,9.312769543612376e-05
1897,9.328339365310967e-05
1898,9.52741174842231e-05
1899,8.844629337545484e-05
1900,9.760039392858744e-05
1901,9.797701932257041e-05
1902,0.00010555543849477544
1903,0.00010606275463942438
1904,0.00010654791549313813
1905,0.00011270515824435279
1906,0.00010944864334305748
1907,0.00011554030061233789
1908,0.00011691426334436983
1909,0.00012510210217442364
1910,0.00013031327398493886
1911,0.0001295530382776633
1912,0.00013232174387667328
1913,0.00013306560867931694
1914,0.0001332252868451178
1915,0.0001364243944408372
1916,0.00014408669085241854
1917,0.00013910468260291964
1918,0.00014980680134613067
1919,0.00016070117999333888
1920,0.0001627205783734098
1921,0.00016528838023077697
1922,0.00016681794659234583
1923,0.00016253469220828265
1924,0.00017047750588972121
1925,0.00017649732762947679
1926,0.0001790259702829644
1927,0.000181111681740731
1928,0.00018237675249110907
1929,0.00018537178402766585
1930,0.00019287579925730824
1931,0.00018207782704848796
1932,0.0001811476977309212
1933,0.00018051745428238064
1934,0.00018797761003952473
1935,0.00018688253476284444
1936,0.00018226250540465117
1937,0.00019103549129795283
1938,0.00019309736671857536
1939,0.00018717128841672093
1940,0.0001877468457678333
1941,0.00018308906874153763
1942,0.00018728937720879912
1943,0.0001866616657935083
1944,0.00021128896332811564
1945,0.00021726349950768054
1946,0.00022683897987008095
1947,0.00024718098575249314
1948,0.00023348267131950706
1949,0.00024194191792048514
1950,0.0002420858945697546
1951,0.00023779936600476503
1952,0.0002387791028013453
1953,0.00025410280795767903
1954,0.00026390780112706125
1955,0.00027789108571596444
1956,0.0002884069108404219
1957,0.0002880949468817562
1958,0.00030016383971087635
1959,0.0003099172899965197
1960,0.00031929611577652395
1961,0.00031608797144144773
1962,0.00033021788112819195
1963,0.00033110124059021473
1964,0.00033817230723798275
1965,0.0003387979813851416
1966,0.00034949291148222983
1967,0.0003537875600159168
1968,0.0003492568794172257
1969,0.00035824006772600114
1970,0.00036318169441074133
1971,0.00037544837687164545
1972,0.00038043514359742403
1973,0.0003926577919628471
1974,0.00040140279452316463
1975,0.0004106371779926121
1976,0.00041212295764125884
1977,0.0004098832723684609
1978,0.0004217551904730499
1979,0.00041929440340027213
1980,0.0004196780500933528
1981,0.00040061070467345417
1982,0.00039592685061506927
1983,0.0003886179765686393
1984,0.0003797086246777326
1985,0.00038162595592439175
1986,0.00038381971535272896
1987,0.0003733225748874247
1988,0.00037696395884267986
1989,0.0003659557842183858
1990,0.00037562931538559496
1991,0.0003674808831419796
1992,0.0003661427472252399
1993,0.00035912918974645436
1994,0.00036630433169193566
1995,0.0003562912461347878
1996,0.0003430368087720126
1997,0.0003411364450585097
1998,0.0003320012765470892
1999,0.0003239835787098855
2000,0.00031477201264351606
2001,0.0003090629179496318
2002,0.0003200023202225566
2003,0.00030904117738828063
2004,0.00030334366601891816
2005,0.0003120349138043821
2006,0.00029563275165855885
2007,0.0002882441331166774
2008,0.00027182395569980145
2009,0.00025346147594973445
2010,0.00024693048908375204
2011,0.00022627259022556245
2012,0.00024850733461789787
2013,0.00026568045723252
2014,0.0002225047064712271
2015,0.00022516920580528677
