,different
1800,0.0003231203882023692
1801,0.00036856785300187767
1802,0.0003673784085549414
1803,0.0003339915710967034
1804,0.0003678621433209628
1805,0.0003612720756791532
1806,0.0003346581070218235
1807,0.0003566463419701904
1808,0.0002860781387425959
1809,0.000358897028490901
1810,0.0003201005165465176
1811,0.0003047574427910149
1812,0.0002943880099337548
1813,0.0003204430977348238
1814,0.00033130240626633167
1815,0.00033535287366248667
1816,0.0002820402442011982
1817,0.00033743478707037866
1818,0.0003286121063865721
1819,0.00035592803033068776
1820,0.00028595441835932434
1821,0.0002944359148386866
1822,0.00030371296452358365
1823,0.0003233779571019113
1824,0.0003109372628387064
1825,0.0002951866190414876
1826,0.00029571709455922246
1827,0.00029483335674740374
1828,0.0002899357641581446
1829,0.0003150170377921313
1830,0.00030143011827021837
1831,0.00029436874319799244
1832,0.0002923573774751276
1833,0.00030171769321896136
1834,0.00029828131664544344
1835,0.0003003250458277762
1836,0.000304305023746565
1837,0.0002878733503166586
1838,0.00029408233240246773
1839,0.00028345329337753356
1840,0.0002761725627351552
1841,0.00028140164795331657
1842,0.0002942146093118936
1843,0.0002724530058912933
1844,0.00026090521714650095
1845,0.00027954718098044395
1846,0.0002662881452124566
1847,0.0002742490032687783
1848,0.0002676662988960743
1849,0.0002746711834333837
1850,0.0002626972272992134
1851,0.0002716067247092724
1852,0.0002593125682324171
1853,0.00025525971432216465
1854,0.00026676597190089524
1855,0.00026561529375612736
1856,0.0002567846095189452
1857,0.00024942110758274794
1858,0.0002585768233984709
1859,0.00025151626323349774
1860,0.0002540922141633928
1861,0.0002485928125679493
1862,0.00024290097644552588
1863,0.00024660301278345287
1864,0.0002402875106781721
1865,0.00023964913270901889
1866,0.00023844388488214463
1867,0.0002453455817885697
1868,0.00023811764549463987
1869,0.0002436491777189076
1870,0.0002425424027023837
1871,0.00024576441501267254
1872,0.00025175808696076274
1873,0.0002499560941942036
1874,0.0002513326471671462
1875,0.0002474936190992594
1876,0.000249725446337834
1877,0.0002468038001097739
1878,0.00024627739912830293
1879,0.00024421847774647176
1880,0.00023998500546440482
1881,0.00024053844390437007
1882,0.00023841338406782597
1883,0.00024151269462890923
1884,0.00024020184355322272
1885,0.00023962037812452763
1886,0.0002394438342889771
1887,0.00023001340741757303
1888,0.00023548230819869787
1889,0.00023625566973350942
1890,0.0002443829143885523
1891,0.00024194187426473945
1892,0.00024278232012875378
1893,0.0002441378601361066
1894,0.0002443888515699655
1895,0.00023902968678157777
1896,0.00024039797426667064
1897,0.00023417006013914943
1898,0.00023369044356513768
1899,0.00022397619613911957
1900,0.0002352465526200831
1901,0.00023547527962364256
1902,0.00024041830329224467
1903,0.00023747140949126333
1904,0.0002387716231169179
