,directory
1800,6.774170742573915e-06
1801,4.654135864257114e-06
1802,3.444212097747368e-06
1803,2.123774038409465e-06
1804,2.9253449156385614e-06
1805,6.791913619963452e-06
1806,4.9582254177948926e-06
1807,8.317939318658318e-06
1808,1.4578295122191776e-06
1809,2.077708586512017e-06
1810,1.5758542986077373e-06
1811,4.253954102750868e-06
1812,1.3323303846846102e-06
1813,2.526333219066146e-06
1814,1.947496230059187e-06
1815,2.2474382603832055e-06
1816,1.6321426983267884e-06
1817,5.833275281474926e-06
1818,1.5710065781604499e-06
1819,3.0018763936823234e-06
1820,1.748773343024368e-06
1821,9.386798183186329e-07
1822,1.4550295190929319e-06
1823,1.7994217387240496e-06
1824,1.4047122931515332e-06
1825,2.034107410509023e-06
1826,1.7413169643987203e-06
1827,1.4317312206912902e-06
1828,1.5253526726155542e-06
1829,1.59261639964825e-06
1830,1.6111192735479563e-06
1831,2.0442917048058007e-06
1832,2.157069047825644e-06
1833,1.4630199984821957e-06
1834,1.61005027621286e-06
1835,1.9562237412174e-06
1836,2.4046537419053493e-06
1837,2.165794512620778e-06
1838,1.6098980495371507e-06
1839,2.017119186348282e-06
1840,1.5422457408931223e-06
1841,1.4938475487724645e-06
1842,1.4561403531843098e-06
1843,1.814289930734958e-06
1844,1.7551084283695673e-06
1845,2.185159473810927e-06
1846,2.244157030872884e-06
1847,1.4763018043595366e-06
1848,1.6977006680463091e-06
1849,1.4632219063059893e-06
1850,1.2307151564527885e-06
1851,1.4317233762994874e-06
1852,1.4738604932063026e-06
1853,1.2577152119774837e-06
1854,1.6194758245546836e-06
1855,1.3980273934066645e-06
1856,1.6559710047658882e-06
1857,1.5218735143207596e-06
1858,1.5472265886273817e-06
1859,1.3352081396078574e-06
1860,1.3588773981609847e-06
1861,1.1447546057752334e-06
1862,1.2726931117867935e-06
1863,1.1925172884730273e-06
1864,1.1534015129655018e-06
1865,9.313866371485346e-07
1866,1.4339027529786108e-06
1867,1.1653687579382677e-06
1868,1.4237853065424133e-06
1869,1.470038341722102e-06
1870,1.6222388694586698e-06
1871,1.5856619484111434e-06
1872,1.3810723658025381e-06
1873,1.6323124327755067e-06
1874,1.725212996461778e-06
1875,1.4556694623024669e-06
1876,2.0556051367748296e-06
1877,2.0479978957155254e-06
1878,1.9807998796750326e-06
1879,1.9952565253333887e-06
1880,1.9240196706959978e-06
1881,2.234924068034161e-06
1882,2.1582673070952296e-06
1883,1.9252192942076363e-06
1884,2.2299200281850062e-06
1885,2.011857077377499e-06
1886,2.5305564577138284e-06
1887,1.980920615096693e-06
1888,2.23885558625625e-06
1889,2.5086328605539165e-06
1890,2.1595394628093345e-06
1891,2.2230631202546647e-06
1892,2.398222250121762e-06
1893,2.5177560019074008e-06
1894,2.286326207467937e-06
1895,2.37729113905516e-06
1896,2.2342148895404534e-06
1897,2.4051535092439735e-06
1898,2.5853219085547607e-06
1899,2.1818677851115353e-06
1900,2.609458306324086e-06
1901,3.278274789408897e-06
1902,2.6780817279359326e-06
1903,2.595788146209088e-06
1904,2.6061816242872737e-06
1905,3.0101875836408e-06
1906,3.460356538198539e-06
1907,3.2158677640836686e-06
1908,3.2522166293347254e-06
1909,2.7789822070189985e-06
1910,3.0631022127636243e-06
1911,2.954092678919551e-06
1912,3.0328280899993842e-06
1913,3.243764922444825e-06
1914,3.825466592388693e-06
1915,3.608643964980729e-06
1916,3.5937675875175046e-06
1917,3.25301675729861e-06
1918,3.3037306366168195e-06
1919,2.9590155463665724e-06
1920,3.581931650842307e-06
1921,4.2135970943490975e-06
1922,3.342782747495221e-06
1923,3.403984464966925e-06
1924,4.6282953007903416e-06
1925,3.2483010272699175e-06
1926,3.1671243050368503e-06
1927,3.068052365051699e-06
1928,3.373386789462529e-06
1929,3.434983000261127e-06
1930,3.2459263366035884e-06
1931,3.5576867958297953e-06
1932,3.5955897601525066e-06
1933,3.3883402466017287e-06
1934,3.526451109792106e-06
1935,3.154316345899133e-06
1936,4.041441115987254e-06
1937,3.6140249903837685e-06
1938,3.797441195274587e-06
1939,3.5334639960638015e-06
1940,3.889877007168252e-06
1941,4.215782155370107e-06
1942,3.870448381348979e-06
1943,3.2983391520247096e-06
1944,3.672583034131094e-06
1945,3.3396208891645074e-06
1946,3.493180656732875e-06
1947,3.5546377148421016e-06
1948,3.5965588267572457e-06
1949,3.6410958728083642e-06
1950,4.444488240551436e-06
1951,4.532320872385753e-06
1952,4.617683316610055e-06
1953,4.407027518027462e-06
1954,5.146703188074753e-06
1955,4.92704975840752e-06
1956,5.394257641455624e-06
1957,5.505118224391481e-06
1958,5.5065256674424745e-06
1959,5.074879027233692e-06
1960,4.6933100747992285e-06
1961,4.886703663942171e-06
1962,4.471180091059068e-06
1963,4.2390829548821785e-06
1964,4.495856956054922e-06
1965,4.297663053876022e-06
1966,4.2899546315311454e-06
1967,4.538734629022656e-06
1968,4.919168077321956e-06
1969,4.2951251089107245e-06
1970,5.039264578954317e-06
1971,4.774233730131527e-06
1972,5.26672101841541e-06
1973,5.840808626089711e-06
1974,5.824342224514112e-06
1975,6.228999609447783e-06
1976,6.693313025607495e-06
1977,6.877437499497319e-06
1978,7.132653990993276e-06
1979,6.913010565767763e-06
1980,7.2097554948413745e-06
1981,8.386856279685162e-06
1982,7.185700269474182e-06
1983,8.891131074051373e-06
1984,8.737218195165042e-06
1985,9.72971429291647e-06
1986,1.1750611520255916e-05
1987,9.44934981816914e-06
1988,1.015302404994145e-05
1989,1.1490454198792577e-05
1990,1.3069144188193604e-05
1991,1.2911767953482922e-05
1992,1.325549055763986e-05
1993,1.6067286196630448e-05
1994,1.4269429811974987e-05
1995,1.3331399713933934e-05
1996,1.251675894309301e-05
1997,1.242802773049334e-05
1998,1.2987337868253235e-05
1999,1.3341303201741539e-05
2000,1.199271900986787e-05
2001,1.1802720109699294e-05
2002,1.3692010725208092e-05
2003,1.4734130672877654e-05
2004,1.1335895578667987e-05
2005,1.0092000593431294e-05
2006,1.1221502063563094e-05
2007,9.01702242117608e-06
2008,9.498808140051551e-06
2009,9.534642231301405e-06
2010,8.791597792878747e-06
2011,8.341487045981921e-06
2012,6.439903245336609e-06
2013,5.405678621173138e-06
2014,5.3843914429307915e-06
2015,5.760964086221065e-06
2016,4.910933057544753e-06
2017,3.822695362032391e-06
2018,3.6288072351453593e-06
2019,3.864295649691485e-06
