,does
1800,0.0002748638507910073
1801,0.00026587306638248265
1802,0.00025169242871925235
1803,0.00023528074962086976
1804,0.0002806803386192769
1805,0.000260335422353819
1806,0.00025854023988358676
1807,0.00025441148318350315
1808,0.0002628292131703347
1809,0.00027052019140683115
1810,0.00025449314853176475
1811,0.0002881172695197165
1812,0.00023695976415183395
1813,0.00025144644314423203
1814,0.00024158797168638557
1815,0.0002414717891952023
1816,0.00024957527057267725
1817,0.0002656392753124237
1818,0.00026139276451431215
1819,0.0002655269345268607
1820,0.0002468241145834327
1821,0.0002537693944759667
1822,0.0002779011847451329
1823,0.0002719087351579219
1824,0.0002708989195525646
1825,0.00025750891654752195
1826,0.0002615908451844007
1827,0.0002633399562910199
1828,0.00027578126173466444
1829,0.000270621181698516
1830,0.00027035840321332216
1831,0.00026732339756563306
1832,0.0003498879086691886
1833,0.00027860759291797876
1834,0.0002810558653436601
1835,0.00029051530873402953
1836,0.0002915629593189806
1837,0.00028325337916612625
1838,0.00028127175755798817
1839,0.0002901178377214819
1840,0.0002763872325886041
1841,0.0002761929645203054
1842,0.0002798924397211522
1843,0.0002859467058442533
1844,0.0002881483524106443
1845,0.00028748365002684295
1846,0.0002939891710411757
1847,0.00028615150949917734
1848,0.0002932173083536327
1849,0.0002911546907853335
1850,0.0002936874225270003
1851,0.0002910142356995493
1852,0.0002974644012283534
1853,0.00029598077526316047
1854,0.0002963091537822038
1855,0.00029825163073837757
1856,0.0002984869061037898
1857,0.00029153370996937156
1858,0.0002981880388688296
1859,0.0002906477893702686
1860,0.00030597957083955407
1861,0.00030022652936168015
1862,0.00030018965480849147
1863,0.00029350913246162236
1864,0.0003051706007681787
1865,0.00029898679349571466
1866,0.0003093864943366498
1867,0.0003032424720004201
1868,0.00031579987262375653
1869,0.00031452658004127443
1870,0.00031740678241476417
1871,0.0003202400403097272
1872,0.0003243646933697164
1873,0.0003270591259934008
1874,0.00033313140738755465
1875,0.00032025331165641546
1876,0.00031738265533931553
1877,0.00032786079100333154
1878,0.0003360132104717195
1879,0.00032956397626549006
1880,0.00031816959381103516
1881,0.0003244676045142114
1882,0.00033825382706709206
1883,0.00033209999673999846
1884,0.0003456855483818799
1885,0.00033402247936464846
1886,0.0003560140321496874
1887,0.0003485014894977212
1888,0.00034186593256890774
1889,0.00034428370418027043
1890,0.00034908458474092185
1891,0.000348005851265043
1892,0.00035993228084407747
1893,0.00034429936204105616
1894,0.0003574108995962888
1895,0.000344830856192857
1896,0.0003461988817434758
1897,0.0003442610614001751
1898,0.00034953642170876265
1899,0.0003403693262953311
1900,0.00034464418422430754
1901,0.00035010214196518064
1902,0.0003462235035840422
1903,0.0003472456301096827
1904,0.00035511641181074083
1905,0.0003545516519807279
1906,0.000370326975826174
1907,0.00035808529355563223
1908,0.0003663819807115942
1909,0.00037119636544957757
1910,0.00036215942236594856
1911,0.00036253026337362826
1912,0.0003798652905970812
1913,0.00036700599594041705
1914,0.0003810544149018824
1915,0.00037198030622676015
1916,0.00038076681084930897
1917,0.00037093844730407
1918,0.0003753301571123302
1919,0.00036206384538672864
1920,0.00037157212500460446
1921,0.00037220530794002116
1922,0.00037578283809125423
1923,0.00035583923454396427
1924,0.0003683849354274571
1925,0.0003494586271699518
1926,0.0003591594868339598
1927,0.00034909433452412486
1928,0.00036351432208903134
1929,0.00034740808769129217
1930,0.00035071492311544716
1931,0.00034413617686368525
1932,0.0003549509565345943
1933,0.000344701373251155
1934,0.0003538467863108963
1935,0.00034990537096746266
1936,0.00036230700789019465
1937,0.0003417696862015873
1938,0.00035306683275848627
1939,0.000352024391759187
1940,0.0003498867154121399
1941,0.0003496505960356444
1942,0.0003541206824593246
1943,0.0003575762384571135
1944,0.00035673825186677277
1945,0.0003527709632180631
1946,0.0003509663511067629
1947,0.00036022011772729456
1948,0.00036496020038612187
1949,0.0003568154643289745
1950,0.00035757594741880894
1951,0.00036007267772220075
1952,0.0003761185798794031
1953,0.0003645470133051276
1954,0.00036700451164506376
1955,0.0003698642540257424
1956,0.00037357889232225716
1957,0.0003777193196583539
1958,0.00037385529140010476
1959,0.0003687481803353876
1960,0.00037588400300592184
1961,0.00037771466304548085
1962,0.00037573385634459555
1963,0.00037788384361192584
1964,0.0003746030852198601
1965,0.0003695303457789123
1966,0.00038079475052654743
1967,0.0003765579022001475
1968,0.00038002454675734043
1969,0.0003787869936786592
1970,0.0003810201887972653
1971,0.0003706674324348569
1972,0.0003865892649628222
1973,0.0003784235450439155
1974,0.0003884185280185193
1975,0.00038765836507081985
1976,0.00038479326758533716
1977,0.000388390792068094
1978,0.0003855003451462835
1979,0.0003816491225734353
1980,0.00038126343861222267
1981,0.0003762955602724105
1982,0.00038713146932423115
1983,0.00038552421028725803
1984,0.0003928258956875652
1985,0.0003791764611378312
1986,0.000388701242627576
1987,0.0003902036405634135
1988,0.0003919083101209253
1989,0.0003870820510201156
1990,0.00039054089575074613
1991,0.000394131348002702
1992,0.000396192743210122
1993,0.00039091595681384206
1994,0.0003962758055422455
1995,0.0004015402228105813
1996,0.00041060353396460414
1997,0.0004220499540679157
1998,0.0004257639229763299
1999,0.00043225593981333077
2000,0.0004337598802521825
2001,0.00043403267045505345
2002,0.00044672301737591624
2003,0.00044908112613484263
2004,0.0004466160316951573
2005,0.00044944562250748277
2006,0.00044918738421984017
2007,0.00045324626262299716
2008,0.0004514714237302542
2009,0.0004656240053009242
2010,0.0004659081168938428
2011,0.0004693161172326654
2012,0.0004659178084693849
2013,0.0004544382099993527
2014,0.00046545034274458885
2015,0.0004640851984731853
2016,0.0004633096687030047
2017,0.00044255255488678813
2018,0.00043182368972338736
2019,0.00044620863627642393
