,dvd
1800,0.0
1801,4.050596746907331e-09
1802,8.410774299250079e-09
1803,1.4408236381768802e-08
1804,6.500766591699403e-09
1805,3.0388875860154485e-09
1806,0.0
1807,8.542171414660515e-09
1808,1.0906455294446005e-08
1809,1.4478805709927656e-08
1810,8.787291783107776e-09
1811,0.0
1812,0.0
1813,3.051127128728126e-09
1814,0.0
1815,1.6709578165574612e-09
1816,9.5049905723954e-09
1817,0.0
1818,0.0
1819,2.6624180637924155e-09
1820,8.396030537483057e-09
1821,2.506488128162232e-09
1822,4.2083283524618764e-09
1823,1.0317785514857292e-09
1824,3.599519127206463e-09
1825,3.4935292436699683e-09
1826,1.966478757609025e-09
1827,9.388401167598204e-10
1828,6.2042233572867644e-09
1829,1.4101290801704636e-08
1830,7.319942429973025e-10
1831,1.5446103285299273e-09
1832,6.88687951111433e-09
1833,4.002790987556182e-09
1834,1.9507879756019975e-09
1835,3.57627727431975e-09
1836,3.464087017235329e-09
1837,2.9071067775277015e-09
1838,2.9324189743107354e-09
1839,5.359368060453562e-08
1840,1.6262695634594593e-09
1841,6.94564317171853e-09
1842,3.1828202295969277e-09
1843,6.349221148838069e-09
1844,3.428902939361933e-09
1845,9.791286004201538e-09
1846,2.754130257187626e-09
1847,2.1971560570932525e-08
1848,1.4015140159528983e-09
1849,1.8261739898051133e-09
1850,3.7757203585897514e-08
1851,7.273460944645649e-09
1852,1.2790009940033542e-08
1853,2.3260255943569064e-09
1854,1.950001049522143e-08
1855,1.2741516286496335e-08
1856,1.621513945337938e-08
1857,5.3026951718493365e-09
1858,6.431464072420567e-08
1859,3.23539204316603e-08
1860,2.0890254859295965e-08
1861,8.064492185155814e-09
1862,1.236866609133358e-08
1863,5.123597546230485e-09
1864,7.908135479794964e-09
1865,1.9501396053556164e-09
1866,4.009982124131284e-09
1867,4.615321902434744e-09
1868,8.35881852623288e-09
1869,8.361288550418067e-09
1870,7.259692846872667e-09
1871,4.077864712570545e-09
1872,4.433619249510912e-09
1873,4.434828504429333e-09
1874,5.680648840211688e-09
1875,8.886520852513513e-09
1876,3.549796456780996e-09
1877,9.458290151087567e-09
1878,4.7736885555593744e-09
1879,5.903125543937904e-09
1880,6.605866076370148e-09
1881,9.143910517650511e-09
1882,4.399140607347363e-09
1883,4.834342259840696e-09
1884,3.97726518386321e-09
1885,7.2597456934886395e-09
1886,6.97061031118551e-09
1887,6.407290698007273e-09
1888,5.891725329831843e-09
1889,7.531691714746103e-09
1890,5.222819954298075e-09
1891,6.048636702615795e-09
1892,7.511046895558593e-09
1893,5.666234592638375e-09
1894,3.405471904471824e-09
1895,9.595365391135147e-09
1896,4.520087859560817e-09
1897,6.494981441562686e-09
1898,2.5193735986306365e-09
1899,6.647486117117296e-09
1900,2.860820247363449e-09
1901,3.788015234817976e-09
1902,7.012354252822206e-09
1903,4.68028638067608e-09
1904,5.518013157512769e-09
1905,4.2184811199774686e-09
1906,3.458794362032336e-09
1907,2.996356940343503e-09
1908,2.454744851831947e-09
1909,1.303258834184362e-09
1910,2.768882900738845e-09
1911,3.266420023351202e-09
1912,2.9904789755619277e-09
1913,1.6390928614384848e-09
1914,2.641829199845347e-09
1915,2.320671432798349e-09
1916,1.5012815435255789e-09
1917,1.739362209818296e-09
1918,2.2314212699825475e-09
1919,2.1072608102912227e-09
1920,1.4664021108501402e-09
1921,2.3152184613906e-09
1922,1.3921631625279929e-09
1923,3.410643323320528e-09
1924,2.7549376113711332e-09
1925,1.352472578375341e-09
1926,1.8906152199349435e-09
1927,3.2480635958620496e-09
1928,1.932434656737314e-09
1929,1.6046074469144855e-09
1930,7.640094779048923e-09
1931,1.915996916679319e-09
1932,4.071013304240978e-09
1933,3.0494680114401262e-09
1934,2.019941769404454e-09
1935,2.6480435622033838e-09
1936,2.91906188110147e-09
1937,2.201851811989286e-09
1938,9.333379624720806e-10
1939,1.3190581960031977e-09
1940,1.7280661346319448e-09
1941,1.6749233111568174e-09
1942,5.227745458746824e-10
1943,1.263869897627501e-09
1944,3.474899923361363e-09
1945,1.9179196009133648e-09
1946,1.6519060563879862e-09
1947,1.3279926047715662e-09
1948,2.8904907356519516e-09
1949,2.200897908366528e-09
1950,2.2020778533970997e-09
1951,3.3515998865141228e-09
1952,1.4285176375139486e-09
1953,2.487236416826022e-09
1954,2.432717360889569e-09
1955,2.7446911410322627e-09
1956,2.9652658106726903e-09
1957,2.5402921988160188e-09
1958,2.6379538553555903e-09
1959,3.5824894162317378e-09
1960,1.6949155412504524e-09
1961,4.998759184360324e-09
1962,3.3204181626445006e-09
1963,4.81747663982901e-09
1964,4.412183063351449e-09
1965,6.070044911155037e-09
1966,3.189041697382322e-09
1967,4.784440843508264e-09
1968,3.887450805706294e-09
1969,6.093598514667065e-09
1970,2.6003355024784014e-09
1971,2.7278148628795407e-09
1972,3.833130257646644e-09
1973,3.192101249993584e-09
1974,4.761878891201832e-09
1975,2.7390651968772772e-09
