,ebay
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,1.525563564364063e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.3312090318962078e-09
1820,1.1994329973674667e-09
1821,0.0
1822,1.0520820881154691e-09
1823,1.0317785514857292e-09
1824,8.998797818016158e-10
1825,0.0
1826,9.832393788045124e-10
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,2.001395493778091e-09
1834,6.50262621526565e-10
1835,0.0
1836,0.0
1837,5.814213555055403e-10
1838,5.864838059643773e-10
1839,1.576284769377878e-09
1840,5.420898729902035e-10
1841,1.0685604623361655e-09
1842,1.0609401135397434e-09
1843,5.291017624031724e-10
1844,0.0
1845,1.7028323195944495e-09
1846,9.180434190625419e-10
1847,4.67479999155529e-10
1848,4.671713571546832e-10
1849,4.565434974512783e-10
1850,2.1211912226704044e-09
1851,0.0
1852,0.0
1853,0.0
1854,3.2500016566849865e-10
1855,3.5393099562242014e-10
1856,0.0
1857,1.4140520976368975e-09
1858,1.837561214301786e-09
1859,1.0436749242614951e-09
1860,1.3477583493681777e-09
1861,1.2096738055689116e-09
1862,1.279517158891963e-09
1863,3.41573169748699e-09
1864,0.0
1865,3.900278988666628e-10
1866,6.683303355181636e-10
1867,3.2966585017391026e-10
1868,9.287575708505358e-10
1869,6.193546786548154e-10
1870,6.049744039060556e-10
1871,6.273637720433101e-10
1872,2.77101203094432e-10
1873,8.869656675791759e-10
1874,0.0
1875,2.8666197193771836e-10
1876,5.461225360825495e-10
1877,2.7818500281107106e-10
1878,0.0
1879,2.6832389088404796e-10
1880,0.0
1881,5.079950349262674e-10
1882,4.887933946484679e-10
1883,0.0
1884,6.628775306438683e-10
1885,4.5373410584303997e-10
1886,8.994335831680189e-10
1887,1.0678817830012122e-09
1888,1.2189776965598753e-09
1889,1.931203114091673e-10
1890,1.9343777968305886e-10
1891,9.450994431503545e-10
1892,1.465570109715486e-09
1893,1.7706983101994922e-10
1894,1.79235362662844e-10
1895,3.146021498867668e-10
1896,3.228634304353051e-10
1897,0.0
1898,2.963969070179928e-10
1899,2.7132596169821e-10
1900,7.802237189658001e-10
1901,3.788015456862581e-10
1902,5.099893840565528e-10
1903,3.7948269526744127e-10
1904,2.399136167507976e-10
1905,1.2052803199935624e-10
1906,4.4629605566726127e-10
1907,5.548809189903636e-10
1908,2.1345607226219698e-10
1909,4.3441961139478735e-10
1910,5.127560598339187e-10
1911,2.8821353637020763e-10
1912,5.788023949016008e-10
1913,3.856689134718039e-10
1914,2.935365839284998e-10
1915,3.026962569485647e-10
1916,3.002562920517704e-10
1917,5.115771140040692e-10
1918,1.1157105794801225e-10
1919,3.160890993392229e-10
1920,7.82081122085998e-10
1921,7.046316863323909e-10
1922,0.0
