,email
1800,9.524317334808075e-08
1801,9.316372739931467e-08
1802,8.410773943978711e-08
1803,9.221271568549128e-08
1804,7.800920087674967e-08
1805,9.724440275249435e-08
1806,1.1793598275744444e-07
1807,1.5162353861342126e-07
1808,1.2724197517854918e-07
1809,1.2306985297527717e-07
1810,8.055017275410137e-08
1811,1.02147623692872e-07
1812,1.241144218511181e-07
1813,1.4797966230162274e-07
1814,1.312550068632845e-07
1815,1.2197992305118532e-07
1816,9.640776710284626e-08
1817,1.1847926373320661e-07
1818,9.463894912187243e-08
1819,8.919100480397901e-08
1820,8.276087726244441e-08
1821,6.391545070982829e-08
1822,9.573947323815446e-08
1823,6.19067108686977e-08
1824,7.558990233746954e-08
1825,7.86044083156412e-08
1826,1.052066167517296e-07
1827,9.106749132570258e-08
1828,8.065490675335241e-08
1829,1.3769495410542731e-07
1830,7.978736960012611e-08
1831,9.035970549575723e-08
1832,7.132839385803891e-08
1833,1.2075085464857693e-07
1834,7.022836001624455e-08
1835,1.1384482689891229e-07
1836,1.0161321739587947e-07
1837,8.314325583569371e-08
1838,8.152125019478262e-08
1839,7.513624211696879e-08
1840,7.318213590679079e-08
1841,8.174487220458104e-08
1842,9.3362729103319e-08
1843,1.021166369241655e-07
1844,1.126639546100705e-07
1845,9.237865583600069e-08
1846,9.364043052073612e-08
1847,9.022363656185917e-08
1848,1.051135569696271e-07
1849,1.2463637233395275e-07
1850,2.392703777331917e-07
1851,2.4691485123184975e-07
1852,2.558001881425298e-07
1853,2.4090979877655627e-07
1854,2.8730013923450315e-07
1855,2.9305485327313363e-07
1856,2.6248255835525924e-07
1857,2.6725584234554844e-07
1858,2.7489915055411984e-07
1859,3.1866872518548917e-07
1860,2.7763820753534674e-07
1861,2.84676559658692e-07
1862,3.539997521784244e-07
1863,3.501124865579186e-07
1864,3.6337880260362e-07
1865,3.334738494231715e-07
1866,4.123598102978576e-07
1867,3.7483007986338635e-07
1868,3.06799591953677e-07
1869,2.9047734528830915e-07
1870,3.3334089266645606e-07
1871,2.926651916368428e-07
1872,2.934501708296011e-07
1873,2.6756796955851314e-07
1874,3.1698019142822886e-07
1875,2.90388584289758e-07
1876,3.055555453101988e-07
1877,2.945979247215291e-07
1878,3.130978143417451e-07
1879,2.9193640216362837e-07
1880,3.3053797210413904e-07
1881,2.5501350364720565e-07
1882,2.798342109144869e-07
1883,3.4784244462571223e-07
1884,2.5167250328195223e-07
1885,2.701986545616819e-07
1886,2.3227872247844061e-07
1887,2.5137936177088704e-07
1888,2.7975536909252696e-07
1889,2.4758023187132494e-07
1890,3.3019827583302686e-07
1891,2.427015601824678e-07
1892,2.3504080104430614e-07
1893,2.2594110760110198e-07
1894,2.330059771793458e-07
1895,2.1974960873194505e-07
1896,2.3326883535901288e-07
1897,1.9624121705419384e-07
1898,1.853962601217063e-07
1899,1.8260237766298815e-07
1900,3.188514199337078e-07
1901,1.6541000036340847e-07
1902,1.6281411774343724e-07
1903,1.5609387560289179e-07
1904,1.3914990404373384e-07
1905,1.4354888833167934e-07
1906,1.3043002411450288e-07
1907,1.2407136296133103e-07
1908,1.202824932988733e-07
1909,1.1512119613144023e-07
1910,1.2449717701201735e-07
1911,1.4074427667765121e-07
1912,1.2000502636055899e-07
1913,1.310310153712635e-07
1914,1.269056468800045e-07
1915,1.0594369115324298e-07
1916,1.2070303512246028e-07
1917,1.117284469387414e-07
1918,1.2105459745725966e-07
1919,1.308608972294678e-07
1920,1.246441740931914e-07
1921,1.2794099291113525e-07
1922,1.231070001495027e-07
1923,1.3512644159163756e-07
1924,1.5978638145952573e-07
1925,1.3068266468962975e-07
1926,1.2151500072832278e-07
1927,1.1693028767467695e-07
1928,1.2142130856318545e-07
1929,1.1392712906399538e-07
1930,1.0361878821640857e-07
1931,1.0170749931148748e-07
1932,1.0814735418307464e-07
1933,1.2826825468437164e-07
1934,1.2340008481714904e-07
1935,9.433654923896029e-08
1936,1.2373578783808625e-07
1937,8.115396354924087e-08
1938,8.52448707178155e-08
1939,8.661815797950112e-08
1940,1.1578043057625109e-07
1941,2.1971948171994882e-07
1942,9.601625805544245e-08
1943,8.810978613382758e-08
1944,1.1158289225932094e-07
1945,1.0722913401650658e-07
1946,1.0602233402323691e-07
1947,1.1380896580703848e-07
1948,1.0602845890161916e-07
1949,1.1120326348645904e-07
1950,1.1647832565131466e-07
1951,7.983990002458086e-08
1952,7.642569244126207e-08
1953,7.876248275806574e-08
1954,8.838873810645964e-08
1955,6.817812447934557e-08
1956,8.017200059384777e-08
1957,9.470209505479943e-08
1958,7.234081067508669e-08
1959,7.768345255954046e-08
1960,7.377342825520827e-08
1961,7.27319502402679e-08
1962,7.115181688277517e-08
1963,8.649223559586972e-08
1964,9.115885291066661e-08
1965,8.198131240533257e-08
1966,6.648458850122552e-08
1967,7.302567439637642e-08
1968,7.139334456951474e-08
1969,7.576989702329229e-08
1970,1.0141308592892528e-07
1971,9.16917741733414e-08
1972,9.689650681821149e-08
1973,8.274908935845815e-08
1974,7.249334288417231e-08
1975,7.444170790904536e-08
1976,7.089443698760078e-08
1977,7.870487905847767e-08
1978,8.918017613268603e-08
1979,9.062683403726624e-08
1980,6.995016832433976e-08
1981,1.8718060346145649e-07
1982,2.726355887716636e-07
1983,7.702033855139234e-08
1984,8.166173159906975e-08
1985,8.762610548274097e-08
1986,3.484729518277163e-07
1987,1.1052352277829414e-07
1988,7.179530143730517e-07
1989,2.406871431048785e-07
1990,4.01602477495544e-07
1991,4.369214252619713e-07
1992,5.7688242804943e-07
1993,1.004138425741985e-06
1994,1.587490032761707e-06
1995,2.9416307825158583e-06
1996,3.95872439185041e-06
1997,5.711952780984575e-06
1998,7.226419711514609e-06
1999,9.389988008479122e-06
