,estate
1800,8.740545308683068e-05
1801,7.945650577312335e-05
1802,7.538156205555424e-05
1803,7.621380791533738e-05
1804,9.374755609314889e-05
1805,8.19071356090717e-05
1806,9.838318510446697e-05
1807,9.325274731963873e-05
1808,0.00010615798237267882
1809,9.515832789475098e-05
1810,8.509027247782797e-05
1811,0.00012148977111792192
1812,9.595944720786065e-05
1813,9.492361277807504e-05
1814,8.319926564581692e-05
1815,9.186424722429365e-05
1816,0.00010832430416485295
1817,0.00011006138811353594
1818,0.00012516812421381474
1819,0.00012989006063435227
1820,0.00010916039900621399
1821,0.00010724009189289063
1822,0.00011320297926431522
1823,0.00013025688531342894
1824,0.00012165204680059105
1825,9.720308298710734e-05
1826,0.00013796519488096237
1827,0.00015790070756338537
1828,0.00013573422620538622
1829,0.00013271969510242343
1830,0.00010855621076188982
1831,0.0001223841099999845
1832,0.00012622715439647436
1833,0.00010043469228548929
1834,0.00010367007052991539
1835,0.00012323434930294752
1836,0.00011598860146477818
1837,0.00012148683163104579
1838,0.00012167017121100798
1839,0.00011206281487829983
1840,0.00011008761066477746
1841,0.0001117468491429463
1842,0.00010636349179549143
1843,0.0001146907452493906
1844,0.00012756107025779784
1845,0.00012009991041850299
1846,0.00013104105892125517
1847,0.00012268310820218176
1848,0.00011856621858896688
1849,0.000126294995425269
1850,0.00011382736556697637
1851,0.00011512969649629667
1852,0.0001048066042130813
1853,0.00012006545148324221
1854,0.00010824780474649742
1855,0.00010677142563508824
1856,0.00010730739450082183
1857,0.00011416420602472499
1858,0.0001146902795881033
1859,0.0001177286176243797
1860,0.0001062522132997401
1861,0.00011815367906820029
1862,0.00010487562394700944
1863,0.00011735600128304213
1864,0.00011103179713245481
1865,0.00010216117516392842
1866,0.00011535849625943229
1867,0.00011326065578032285
1868,0.00011131376231787726
1869,0.0001146298527601175
1870,0.00012550920655485243
1871,0.00012377541861496866
1872,0.00012394653458613902
1873,0.00012698510545305908
1874,0.00012250688450876623
1875,0.00011986311437794939
1876,0.00011815880134236068
1877,0.00013259187107905746
1878,0.00013027705426793545
1879,0.00013345250044949353
1880,0.00012684339890256524
1881,0.00014054749044589698
1882,0.00013197129010222852
1883,0.0001330818486167118
1884,0.00013248623872641474
1885,0.00012979812163393945
1886,0.00015695813635829836
1887,0.00015916136908344924
1888,0.00014935462968423963
1889,0.00014142027066554874
1890,0.0001347739016637206
1891,0.00013302123988978565
1892,0.0001404653739882633
1893,0.0001318506256211549
1894,0.0001365488424198702
1895,0.0001414496946381405
1896,0.0001333019172307104
1897,0.00013301830040290952
1898,0.00014275334251578897
1899,0.00013165129348635674
1900,0.00013085392129141837
1901,0.00015127363440115005
1902,0.00013447630044538528
1903,0.0001416234445059672
1904,0.0001394271239405498
1905,0.00014704612840432674
1906,0.00015330826863646507
1907,0.00013432202104013413
1908,0.000130645144963637
1909,0.00013676908565685153
1910,0.00013141098315827549
1911,0.00013001571642234921
1912,0.00013000132457818836
1913,0.00011516256927279755
1914,0.00012933171819895506
1915,0.00013375199341680855
1916,0.00012025975593132898
1917,0.00012387667084112763
1918,0.00011074286885559559
1919,0.00010583664698060602
1920,0.0001033716689562425
1921,0.00011268641537753865
1922,0.00011436510976636782
1923,0.00010600490350043401
1924,0.00010190199100179598
1925,0.00011155819083796814
1926,0.00010112179006682709
1927,0.00010189636668656021
1928,9.843983571045101e-05
1929,0.00010034188017016277
1930,9.736951324157417e-05
1931,0.00012189492554171011
1932,0.00010664232104318216
1933,0.00010370497329859063
1934,9.805219451664016e-05
1935,0.00010456246673129499
1936,0.00011321208876324818
1937,0.00010387361544417217
1938,0.00010056701285066083
1939,0.00010486542305443436
1940,9.517182479612529e-05
1941,9.499753650743514e-05
1942,9.2950533144176e-05
1943,8.867256838129833e-05
1944,7.739354623481631e-05
1945,8.583073213230819e-05
1946,7.6882861321792e-05
1947,7.90778431110084e-05
1948,8.082232670858502e-05
1949,8.062942652031779e-05
1950,7.446465315297246e-05
1951,7.211577758425847e-05
1952,7.395900320261717e-05
1953,7.422126509482041e-05
1954,7.61749834055081e-05
1955,7.0982649049256e-05
1956,6.52894377708435e-05
1957,7.250644557643682e-05
1958,6.223876698641106e-05
1959,6.48486238787882e-05
1960,6.582873174920678e-05
1961,6.413857772713527e-05
1962,5.960877751931548e-05
1963,5.97362668486312e-05
1964,5.277490708976984e-05
1965,5.439338565338403e-05
1966,5.4926324082771316e-05
1967,5.745471571572125e-05
