,file
1800,1.0885501069424208e-05
1801,7.542211278632749e-06
1802,9.314932867710013e-06
1803,7.933174856589176e-06
1804,8.168212843884248e-06
1805,1.5273448298103176e-05
1806,7.113014362403192e-06
1807,9.377168680657633e-06
1808,9.405000128026586e-06
1809,1.3186572687118314e-05
1810,9.067020073416643e-06
1811,1.3931618013884872e-05
1812,1.2225270438648295e-05
1813,1.7952832422452047e-05
1814,1.3178002518543508e-05
1815,1.0146055501536466e-05
1816,9.610903362045065e-06
1817,8.951766176323872e-06
1818,1.0245342309644911e-05
1819,9.499507541477215e-06
1820,6.816377663199091e-06
1821,9.634940397518221e-06
1822,9.564478204993065e-06
1823,7.846675543987658e-06
1824,8.630747288407292e-06
1825,1.0276216016791295e-05
1826,7.991769962245598e-06
1827,8.800687282928266e-06
1828,7.25716881788685e-06
1829,8.062620509008411e-06
1830,7.700579772063065e-06
1831,9.56886105996091e-06
1832,4.364363121567294e-05
1833,8.067624548857566e-06
1834,1.0101179213961586e-05
1835,9.775753824214917e-06
1836,9.241606676368974e-06
1837,1.0371975804446265e-05
1838,1.0406568435428198e-05
1839,9.750897334015463e-06
1840,1.0082329936267342e-05
1841,1.05151693787775e-05
1842,1.0582347385934554e-05
1843,1.0980978004226927e-05
1844,1.0070687494589947e-05
1845,9.89430736808572e-06
1846,1.2294896805542521e-05
1847,1.2877671906608157e-05
1848,1.108924607251538e-05
1849,1.3130191291566007e-05
1850,1.4998943697719369e-05
1851,1.2240851901879068e-05
1852,1.595929825271014e-05
1853,1.1763375368900597e-05
1854,1.3506031791621353e-05
1855,1.6571049854974262e-05
1856,1.525641891930718e-05
1857,1.5962174074957147e-05
1858,1.741456799209118e-05
1859,1.6445534129161388e-05
1860,2.021603904722724e-05
1861,2.245154610136524e-05
1862,2.0245373889338225e-05
1863,1.7856164049590006e-05
1864,1.7816633771872148e-05
1865,1.569472260598559e-05
1866,1.9108900232822634e-05
1867,1.6327030607499182e-05
1868,2.0061472241650335e-05
1869,1.666745447437279e-05
1870,1.8945076590171084e-05
1871,1.7310849216300994e-05
1872,1.9738472474273294e-05
1873,1.7696444047032855e-05
1874,1.987857831409201e-05
1875,1.8847451428882778e-05
1876,2.157894050469622e-05
1877,2.0677212887676433e-05
1878,2.0881798263872042e-05
1879,2.276647683174815e-05
1880,2.0695444618468173e-05
1881,2.7376614525564946e-05
1882,2.1281819499563426e-05
1883,2.4844375730026513e-05
1884,2.098449294862803e-05
1885,2.3471438908018172e-05
1886,2.1813288185512647e-05
1887,3.066272984142415e-05
1888,2.227214463346172e-05
1889,2.723826764849946e-05
1890,2.341545041417703e-05
1891,2.7829399186884984e-05
1892,2.8781232686014846e-05
1893,2.65604739979608e-05
1894,2.6139685360249132e-05
1895,3.150064003420994e-05
1896,2.6604431695886888e-05
1897,3.370725244167261e-05
1898,2.5779418137972243e-05
1899,2.8245982321095653e-05
1900,2.5552586521371268e-05
1901,2.9693241231143475e-05
1902,2.5148214263026603e-05
1903,2.9652524972334504e-05
1904,2.5747289328137413e-05
1905,3.236298289266415e-05
1906,3.0742434319108725e-05
1907,3.3634329156484455e-05
1908,3.148839823552407e-05
1909,3.7125391827430576e-05
1910,3.0494629754684865e-05
1911,3.6690831620944664e-05
1912,3.3476579119451344e-05
1913,4.0883700421545655e-05
1914,3.585157901397906e-05
1915,4.477079710341059e-05
1916,3.881232987623662e-05
1917,4.36273985542357e-05
1918,3.7401965528260916e-05
1919,4.590614844346419e-05
1920,3.724573252839036e-05
1921,4.360935417935252e-05
1922,3.696561179822311e-05
1923,4.482462099986151e-05
1924,3.505107088130899e-05
1925,4.720450669992715e-05
1926,3.8682675949530676e-05
1927,4.872813224210404e-05
1928,4.089273352292366e-05
1929,4.698675547842868e-05
1930,4.216425440972671e-05
1931,5.545102612813935e-05
1932,4.1301314922748134e-05
1933,5.613575194729492e-05
1934,4.447893297765404e-05
1935,4.853400605497882e-05
1936,4.899888881482184e-05
1937,5.121727372170426e-05
1938,5.2945310017094016e-05
1939,5.974791565677151e-05
1940,6.049032526789233e-05
1941,6.112860864959657e-05
1942,5.0450704293325543e-05
1943,5.66712005820591e-05
1944,5.08744633407332e-05
1945,5.102101931697689e-05
1946,4.6561075578210875e-05
1947,5.0028535042656586e-05
1948,4.450436244951561e-05
1949,5.064937795395963e-05
1950,3.997802559752017e-05
1951,4.4744218030245975e-05
1952,3.9890521293273196e-05
1953,4.5138840505387634e-05
1954,4.697786062024534e-05
1955,4.438484029378742e-05
1956,3.9684149669483304e-05
1957,4.509669088292867e-05
1958,3.85925559385214e-05
1959,4.3916134018218145e-05
1960,3.7581896322080866e-05
1961,4.064732638653368e-05
1962,3.6701214412460104e-05
1963,4.00102544517722e-05
1964,3.768886745092459e-05
1965,4.0007093048188835e-05
1966,3.7343539588619024e-05
1967,4.1605246224207804e-05
1968,3.933865809813142e-05
1969,4.67025711259339e-05
1970,4.257832915754989e-05
1971,4.548085416899994e-05
1972,4.737830749945715e-05
1973,4.962581806466915e-05
1974,5.1095652452204376e-05
1975,5.5650623835390434e-05
1976,5.667516234098002e-05
1977,5.751957723987289e-05
1978,5.859222437720746e-05
1979,5.775100726168603e-05
1980,5.607217099168338e-05
1981,6.598924665013328e-05
1982,6.240288348635659e-05
1983,6.643212691415101e-05
1984,7.118825305951759e-05
1985,7.54640786908567e-05
1986,7.862700294936076e-05
1987,7.973757601575926e-05
1988,8.020069071790203e-05
1989,8.134693780448288e-05
1990,8.361214713659137e-05
1991,8.597676787758246e-05
1992,8.743007492739707e-05
1993,8.907872688723728e-05
1994,8.484417048748583e-05
1995,8.879222150426358e-05
1996,8.396542398259044e-05
1997,8.980698476079851e-05
1998,8.743471698835492e-05
1999,8.765647362452e-05
2000,8.440112287644297e-05
2001,8.587474439991638e-05
2002,9.419318666914478e-05
2003,9.474904800299555e-05
2004,8.744206570554525e-05
2005,8.114453521557152e-05
2006,8.310233533848077e-05
2007,8.025178976822644e-05
2008,7.769146031932905e-05
2009,8.119029371300712e-05
2010,8.404227264691144e-05
2011,7.432285929098725e-05
2012,6.453221431002021e-05
2013,5.959855843684636e-05
2014,5.64231195312459e-05
2015,5.447660805657506e-05
2016,5.115044768899679e-05
2017,4.2073468648595735e-05
2018,4.09108106396161e-05
2019,4.1682324081193656e-05
