,games
1800,8.960795639723074e-06
1801,6.6551306190376636e-06
1802,5.702504950022558e-06
1803,6.489469797088532e-06
1804,1.08790327431052e-05
1805,8.177646122931037e-06
1806,8.700236321601551e-06
1807,8.15136718301801e-06
1808,7.916268259577919e-06
1809,6.942587333469419e-06
1810,9.192971447191667e-06
1811,5.764750767411897e-06
1812,4.5884344217483886e-06
1813,7.829192327335477e-06
1814,8.298598004330415e-06
1815,4.8157003220694605e-06
1816,5.693489583791234e-06
1817,6.942007075849688e-06
1818,6.336753358482383e-06
1819,7.70636870583985e-06
1820,7.893468136899173e-06
1821,7.752567398711108e-06
1822,9.184676855511498e-06
1823,8.887740477803163e-06
1824,7.638179340574425e-06
1825,7.947778613015544e-06
1826,6.367458354361588e-06
1827,7.13424606146873e-06
1828,6.3478069023403805e-06
1829,6.847420991107356e-06
1830,7.28627082935418e-06
1831,7.594849193992559e-06
1832,5.208940365264425e-06
1833,5.962157047179062e-06
1834,5.310044343787013e-06
1835,6.4802143242559396e-06
1836,6.125660547695588e-06
1837,6.063643468223745e-06
1838,6.473021585406968e-06
1839,7.00973851053277e-06
1840,7.056925824144855e-06
1841,7.5760935942525975e-06
1842,6.940139883226948e-06
1843,6.500014933408238e-06
1844,6.688810117339017e-06
1845,6.720653345837491e-06
1846,5.272782345855376e-06
1847,5.783194865216501e-06
1848,6.233000021893531e-06
1849,6.644990662607597e-06
1850,6.369513357640244e-06
1851,6.375762495736126e-06
1852,6.555256277351873e-06
1853,6.075578767195111e-06
1854,6.703128292429028e-06
1855,6.010456218064064e-06
1856,5.825288553751307e-06
1857,6.236323315533809e-06
1858,6.018380645400612e-06
1859,7.752764759061392e-06
1860,6.503270924440585e-06
1861,5.738289019063814e-06
1862,6.12632811680669e-06
1863,5.55397991774953e-06
1864,6.497719368780963e-06
1865,6.777904673072044e-06
1866,5.83452401770046e-06
1867,5.653439529851312e-06
1868,6.118964392953785e-06
1869,6.934295015526004e-06
1870,6.086647317715688e-06
1871,6.075390956539195e-06
1872,6.134466275398154e-06
1873,5.984357358101988e-06
1874,6.043926077836659e-06
1875,6.507513262477005e-06
1876,6.431412202800857e-06
1877,5.9562189562711865e-06
1878,6.623914032388711e-06
1879,6.912828212080058e-06
1880,7.104486485332018e-06
1881,7.199305855465354e-06
1882,6.487266091426136e-06
1883,7.856267075112555e-06
1884,7.553710020147264e-06
1885,7.116365850379225e-06
1886,7.568508863187162e-06
1887,6.780835519748507e-06
1888,7.381722298305249e-06
1889,7.789507435518317e-06
1890,8.8882725322037e-06
1891,8.517425158061087e-06
1892,8.457805051875766e-06
1893,7.647822712897323e-06
1894,8.583223461755551e-06
1895,8.8658034655964e-06
1896,9.777757441042922e-06
1897,9.519786544842646e-06
1898,1.0253110303892754e-05
1899,9.393169420945924e-06
1900,9.723667972139083e-06
1901,9.200331987813115e-06
1902,9.780704203876667e-06
1903,9.617356226954143e-06
1904,9.787755516299512e-06
1905,1.0032391401182394e-05
1906,9.665099241829012e-06
1907,1.0714416930568404e-05
1908,9.820153536566067e-06
1909,1.138190236815717e-05
1910,1.1455894309619907e-05
1911,1.072144732461311e-05
1912,1.1155354513903148e-05
1913,1.1384753634047229e-05
1914,1.1294895557512064e-05
1915,1.0693855074350722e-05
1916,1.0329817087040283e-05
1917,9.981586117646657e-06
1918,9.541779945720918e-06
1919,1.0548526006459724e-05
1920,1.153921584773343e-05
1921,1.1282965715508908e-05
1922,1.135885850089835e-05
1923,1.2842208889196627e-05
1924,1.2514698028098792e-05
1925,1.2434801647032145e-05
1926,1.3358056094148196e-05
1927,1.3794184269499965e-05
1928,1.3339757970243227e-05
1929,1.4893645129632205e-05
1930,1.439887364540482e-05
1931,1.3217663763498422e-05
1932,1.4389085663424339e-05
1933,1.471311134082498e-05
1934,1.334722401225008e-05
1935,1.3642058547702618e-05
1936,1.3592773939308245e-05
1937,1.4376047147379722e-05
1938,1.34176671053865e-05
1939,1.2627051546587609e-05
1940,1.2847071957367007e-05
1941,1.1985903256572783e-05
1942,1.2577955203596503e-05
1943,1.0598270819173194e-05
1944,1.157199585577473e-05
1945,1.0596680112939794e-05
1946,1.1795810678449925e-05
1947,1.1904523489647545e-05
1948,1.2285111552046146e-05
1949,1.1775150596804451e-05
1950,1.2261053598194849e-05
1951,1.2767920452461112e-05
1952,1.2251681255293079e-05
1953,1.262355362996459e-05
1954,1.1536641068232711e-05
1955,1.1060336873924825e-05
1956,1.2016904292977415e-05
1957,1.21761286209221e-05
1958,1.174467797682155e-05
1959,1.252183756150771e-05
1960,1.2275291737751104e-05
1961,1.1629113942035474e-05
1962,1.1548730071808677e-05
1963,1.1052329682570416e-05
1964,1.1101131349278148e-05
1965,1.0894231309066527e-05
1966,1.0898273103521205e-05
1967,1.0967953130602837e-05
1968,1.2182962564111222e-05
1969,1.1850817827507854e-05
1970,1.2357971172605176e-05
1971,1.2058924767188728e-05
1972,1.3480930647347122e-05
1973,1.3471772035700269e-05
1974,1.3688772924069781e-05
1975,1.3707195648748893e-05
1976,1.428716495865956e-05
1977,1.4182619452185463e-05
1978,1.3964332538307644e-05
1979,1.4077424566494301e-05
1980,1.5211493519018404e-05
1981,1.4099948202783708e-05
1982,1.5835907106520608e-05
1983,1.5544559573754668e-05
