,gay
1800,2.5652161639300175e-05
1801,2.384181243542116e-05
1802,2.4323959223693237e-05
1803,2.0427998606464826e-05
1804,2.4017082978389226e-05
1805,2.088627479679417e-05
1806,2.7216185117140412e-05
1807,2.1820977053721435e-05
1808,2.5626533897593617e-05
1809,1.743972097756341e-05
1810,2.8722726710839197e-05
1811,2.010990101553034e-05
1812,1.3514541024051141e-05
1813,1.5489047655137256e-05
1814,1.52879274537554e-05
1815,1.7357910110149533e-05
1816,1.433081069990294e-05
1817,1.799568417482078e-05
1818,1.7156689864350483e-05
1819,1.957676067831926e-05
1820,2.3072292606229894e-05
1821,2.3287781004910357e-05
1822,2.6398844056529924e-05
1823,2.4515058612450957e-05
1824,2.4095181288430467e-05
1825,2.3626738766324706e-05
1826,2.0112162019358948e-05
1827,2.3570519260829315e-05
1828,2.0406576368259266e-05
1829,1.981480272661429e-05
1830,1.9079430785495788e-05
1831,1.8762380932457745e-05
1832,1.3532718185160775e-05
1833,1.929345125972759e-05
1834,2.088123255816754e-05
1835,2.164005309168715e-05
1836,1.9023611457669176e-05
1837,2.0113689970457926e-05
1838,1.9060136764892377e-05
1839,2.0382412913022563e-05
1840,1.9901202904293314e-05
1841,2.1572632249444723e-05
1842,2.0990170014556497e-05
1843,1.9520681235007942e-05
1844,2.0824707462452352e-05
1845,1.8591097614262253e-05
1846,1.892913678602781e-05
1847,1.8826354789780453e-05
1848,1.9401626559556462e-05
1849,1.891688043542672e-05
1850,1.937793058459647e-05
1851,1.8208535038866103e-05
1852,1.938100285769906e-05
1853,1.980876550078392e-05
1854,2.0797086108359508e-05
1855,1.9430457541602664e-05
1856,1.915818575071171e-05
1857,1.8918955902336165e-05
1858,1.630321094125975e-05
1859,1.692040495981928e-05
1860,1.732779128360562e-05
1861,1.5076567251526285e-05
1862,1.5887764675426297e-05
1863,1.5212388461804949e-05
1864,1.6356396372430027e-05
1865,1.5302744941436686e-05
1866,1.5809353499207646e-05
1867,1.4337497304950375e-05
1868,1.4354567611007951e-05
1869,1.579199670231901e-05
1870,1.4585630196961574e-05
1871,1.4793237824051175e-05
1872,1.2861652066931129e-05
1873,1.3737620065512601e-05
1874,1.3171435966796707e-05
1875,1.3312294868228491e-05
1876,1.3431883417069912e-05
1877,1.2447666449588723e-05
1878,1.3380087693803944e-05
1879,1.2700038496404886e-05
1880,1.3052457688900176e-05
1881,1.2598023204191122e-05
1882,1.2486960258684121e-05
1883,1.2782922567566857e-05
1884,1.1468664524727501e-05
1885,1.1425251614127774e-05
1886,1.0685720553738065e-05
1887,1.0800128620758187e-05
1888,1.0786124221340287e-05
1889,1.060655358742224e-05
1890,1.0763458703877404e-05
1891,1.054674339684425e-05
1892,1.1422103852964938e-05
1893,1.111414167098701e-05
1894,1.011389304039767e-05
1895,9.468423741054721e-06
1896,1.0399107850389555e-05
1897,9.946135833160952e-06
1898,9.728487384563778e-06
1899,1.1699439710355364e-05
1900,1.0518846465856768e-05
1901,9.493397556070704e-06
1902,9.584103281667922e-06
1903,9.10530798137188e-06
1904,9.421647519047838e-06
1905,7.910254680609796e-06
1906,7.512166575907031e-06
1907,7.592990186822135e-06
1908,7.1626250246481504e-06
1909,7.209627710835775e-06
1910,7.233757969515864e-06
1911,6.405545718735084e-06
1912,6.603267138416413e-06
1913,6.369514721882297e-06
1914,6.015738563291961e-06
1915,5.6253074944834225e-06
1916,5.44304612049018e-06
1917,5.638091806758894e-06
1918,5.434179911389947e-06
1919,5.56843633603421e-06
1920,5.65356685910956e-06
1921,5.400297595770098e-06
1922,6.191546162881423e-06
1923,7.084718163241632e-06
1924,7.061298674670979e-06
1925,7.628283583471784e-06
1926,7.853787792555522e-06
1927,8.158452146744821e-06
1928,7.564676707261242e-06
1929,8.361609616258647e-06
1930,7.798308615747374e-06
1931,7.580641522508813e-06
1932,7.894934242358431e-06
1933,7.221140094770817e-06
1934,7.627667400811333e-06
1935,7.89911428000778e-06
1936,7.904171070549637e-06
1937,7.621395070600556e-06
1938,7.129924597393256e-06
1939,6.913330707902787e-06
1940,6.977616521908203e-06
1941,6.153363756311592e-06
1942,6.34020943834912e-06
1943,5.798995971417753e-06
1944,6.2830049500917085e-06
1945,5.9565350056800526e-06
1946,6.7582477640826255e-06
1947,6.228550773812458e-06
1948,6.193927674758015e-06
1949,5.84894405619707e-06
1950,5.940626579103991e-06
1951,5.889000476599904e-06
1952,6.009654498484451e-06
1953,5.632169177260948e-06
1954,5.612394943455001e-06
1955,5.553168648475548e-06
1956,5.509134098247159e-06
1957,5.21765878147562e-06
1958,5.052391770732356e-06
1959,4.730488853965653e-06
1960,4.7736848500790074e-06
1961,4.616854312189389e-06
1962,4.645660283131292e-06
1963,4.5939459596411325e-06
1964,4.070632712682709e-06
1965,4.85596456201165e-06
1966,4.430826720636105e-06
1967,4.5207930270407815e-06
1968,4.489512321015354e-06
1969,4.299433840060374e-06
1970,4.064634140377166e-06
1971,3.785834906011587e-06
1972,3.694697625178378e-06
1973,3.2242678571492434e-06
1974,3.502048684822512e-06
1975,3.32930335389392e-06
1976,3.5310283692524536e-06
1977,3.438205567363184e-06
1978,3.8418434087361675e-06
1979,3.819040557573317e-06
1980,3.90574768971419e-06
1981,3.911372004949953e-06
1982,4.4575808715308085e-06
1983,4.535038897302002e-06
1984,3.7316581256163772e-06
1985,3.784939281104016e-06
1986,5.1213346523582e-06
1987,5.912905635341303e-06
1988,6.627316906815395e-06
