,good
1800,0.0006788615719415247
1801,0.0007112766616046429
1802,0.0006050963420420885
1803,0.0006197760812938213
1804,0.0006479216390289366
1805,0.0006511120591312647
1806,0.0006758985109627247
1807,0.0006717157666571438
1808,0.0007622375851497054
1809,0.0006777492817491293
1810,0.0006821779534220695
1811,0.0007212577620521188
1812,0.0006210470455698669
1813,0.0006090812385082245
1814,0.0006189346313476562
1815,0.0006431917427107692
1816,0.0006369606708176434
1817,0.0006195778260007501
1818,0.0006280213710851967
1819,0.0005865879356861115
1820,0.0006601499044336379
1821,0.0006447313935495913
1822,0.0006639290368184447
1823,0.0006541403708979487
1824,0.0007080002105794847
1825,0.0006463448517024517
1826,0.0006473942776210606
1827,0.0006333678029477596
1828,0.0006339741521514952
1829,0.0006115862634032965
1830,0.0006508094957098365
1831,0.0006171312998048961
1832,0.0004945497494190931
1833,0.0006358820246532559
1834,0.0006043397588655353
1835,0.0006198654300533235
1836,0.0006160913617350161
1837,0.0006210777792148292
1838,0.0006293252808973193
1839,0.000649481313303113
1840,0.0006317098159343004
1841,0.0006186842219904065
1842,0.0006326974835246801
1843,0.0006537438603118062
1844,0.0006689990404993296
1845,0.0006305907154455781
1846,0.0006346103618852794
1847,0.0006344208377413452
1848,0.0006344944122247398
1849,0.0006194295710884035
1850,0.0006413511000573635
1851,0.0006113381823524833
1852,0.0006211103172972798
1853,0.0006364949513226748
1854,0.0006218397174961865
1855,0.0006206625839695334
1856,0.0006108823581598699
1857,0.0006275856867432594
1858,0.0006100861355662346
1859,0.0006366482703015208
1860,0.0006357608363032341
1861,0.000627924338914454
1862,0.0006369056645780802
1863,0.0006361129926517606
1864,0.0006368128815665841
1865,0.000636075041256845
1866,0.0006196972681209445
1867,0.0006357029196806252
1868,0.0006393573130480945
1869,0.0006594863953068852
1870,0.0006454780232161283
1871,0.0006529266247525811
1872,0.0006252264720387757
1873,0.0006361258565448225
1874,0.0006326552829705179
1875,0.0006349104223772883
1876,0.0006168230320326984
1877,0.0006102029583416879
1878,0.0006178981275297701
1879,0.0006135121220722795
1880,0.000621132436208427
1881,0.0006218671915121377
1882,0.000626933469902724
1883,0.0006390406633727252
1884,0.0006261143134906888
1885,0.0006286386051215231
1886,0.0006218820926733315
1887,0.0006362529238685966
1888,0.0006388397887349129
1889,0.0006338181556202471
1890,0.0006335986545309424
1891,0.0006249967264011502
1892,0.0006511452957056463
1893,0.0006301272660493851
1894,0.0006443383754231036
1895,0.0006081758183427155
1896,0.0006271111778914928
1897,0.0006207906408235431
1898,0.0006155247683636844
1899,0.0006623197114095092
1900,0.0006342396955005825
1901,0.0006206120015121996
1902,0.0006269293371587992
1903,0.0006268329452723265
1904,0.0006310336175374687
1905,0.0006157930474728346
1906,0.0006078759906813502
1907,0.0006144155049696565
1908,0.0006025162874720991
1909,0.0006130538531579077
1910,0.0005924219731241465
1911,0.0005678575253114104
1912,0.0005845740088261664
1913,0.000575100420974195
1914,0.0005753797013312578
1915,0.000561276450753212
1916,0.0005577923147939146
1917,0.0005354914464987814
1918,0.0005379259237088263
1919,0.0005526811582967639
1920,0.0005461054388433695
1921,0.0005340896896086633
1922,0.0005314882146194577
1923,0.0005354982567951083
1924,0.0005433059413917363
1925,0.0005170940421521664
1926,0.0005147383781149983
1927,0.0005142826703377068
1928,0.0005097553366795182
1929,0.0004910705029033124
1930,0.00048737775068730116
1931,0.00046557511086575687
