,government
1800,0.0002080785488942638
1801,0.00024661654606461525
1802,0.0003007776977028698
1803,0.0002721312630455941
1804,0.00028850726084783673
1805,0.0003086902142968029
1806,0.00026426505064591765
1807,0.00029301998438313603
1808,0.0002649868547450751
1809,0.000283965579001233
1810,0.00026096939109265804
1811,0.0002911767514888197
1812,0.0003887238272000104
1813,0.0003221654624212533
1814,0.0003406592586543411
1815,0.0003132160345558077
1816,0.0003195387835148722
1817,0.00036322817322798073
1818,0.00034110445994883776
1819,0.00031554445740766823
1820,0.0002919251855928451
1821,0.0002505072043277323
1822,0.00026211782824248075
1823,0.0002563732268754393
1824,0.00024451714125461876
1825,0.0002512144565116614
1826,0.000272432022029534
1827,0.0002801836817525327
1828,0.00027790135936811566
1829,0.0002804904361255467
1830,0.00026337371673434973
1831,0.00022970054124016315
1832,0.0002531705249566585
1833,0.00024408417812082916
1834,0.0002109874621964991
1835,0.00023921062529552728
1836,0.0002588106144685298
1837,0.0002295236336067319
1838,0.00023107462038751692
1839,0.00023820079513825476
1840,0.0002443822450004518
1841,0.00024119440058711916
1842,0.00023008820426184684
1843,0.00023610636708326638
1844,0.0002446654543746263
1845,0.0002194525150116533
1846,0.00023665690969210118
1847,0.00022343065938912332
1848,0.00024087588826660067
1849,0.0002284771908307448
1850,0.00021796385408379138
1851,0.00022417226864490658
1852,0.00021167428349144757
1853,0.00022133828315418214
1854,0.000224657982471399
1855,0.00019498412439133972
1856,0.0002356052864342928
1857,0.00018738312064670026
1858,0.00022547795379068702
1859,0.00019361317390576005
1860,0.00021608677343465388
1861,0.00021389815083239228
1862,0.00021252993610687554
1863,0.00020536317606456578
1864,0.0002113789232680574
1865,0.00021230817947071046
1866,0.00024623662466183305
1867,0.00020870749722234905
1868,0.0002069011825369671
1869,0.00018271613225806504
1870,0.00018413393991068006
1871,0.00015504981274716556
1872,0.0001684744784142822
1873,0.00016413269622717053
1874,0.00015350192552432418
1875,0.0001601763942744583
1876,0.00015426405298057944
1877,0.00016400146705564111
1878,0.00014818203635513783
1879,0.0001532032765680924
1880,0.00015441064897459
1881,0.00014273035048972815
1882,0.00014982788707129657
1883,0.0001329637598246336
1884,0.00013130344450473785
1885,0.00012962502660229802
1886,0.00013618300727102906
1887,0.0001325582998106256
1888,0.0001386266085319221
1889,0.0001313106040470302
1890,0.00013659879914484918
1891,0.00013662301353178918
1892,0.00012572576815728098
1893,0.00013104530808050185
1894,0.00013191955804359168
1895,0.00014124912559054792
1896,0.0001405581133440137
1897,0.0001392754347762093
1898,0.00015647844702471048
1899,0.00015201946371234953
1900,0.00016614669584669173
1901,0.00016367912758141756
1902,0.0001470063580200076
1903,0.00017437660426367074
1904,0.000161424555699341
1905,0.0001546886924188584
1906,0.0001597647205926478
1907,0.00015475839609280229
1908,0.0001486741821281612
1909,0.00015539124433416873
1910,0.00015672153676860034
1911,0.00016104007954709232
1912,0.00014330037811305374
1913,0.00013561121886596084
1914,0.00013787530770059675
1915,0.0001418673782609403
1916,0.00014507032756228
1917,0.00016333562962245196
1918,0.00019478554895613343
1919,0.0001871931308414787
1920,0.00017050697351805866
1921,0.00015693396562710404
1922,0.00015666638500988483
1923,0.00015296670608222485
1924,0.00015335380157921463
1925,0.00014288061356637627
1926,0.0001627819729037583
1927,0.00014454002666752785
1928,0.00015663124213460833
1929,0.0001458746992284432
1930,0.00015491264639422297
1931,0.00016300119750667363
1932,0.00018268052372150123
1933,0.00017425708938390017
1934,0.00019473211432341486
1935,0.00018700565851759166
1936,0.00018902418378274888
1937,0.0001952359889401123
1938,0.000194490363355726
1939,0.00019132396846543998
1940,0.00019603260443545878
1941,0.00021258933702483773
1942,0.0002102942526107654
1943,0.00022755362442694604
1944,0.0002287183015141636
1945,0.00021917356934864074
1946,0.00021036347607150674
1947,0.00021693356393370777
1948,0.00020734935242217034
1949,0.0002119803975801915
1950,0.0002126101462636143
1951,0.00020796690660063177
1952,0.00021164024656172842
1953,0.00019955381867475808
1954,0.00020004258840344846
1955,0.00020468182628974319
1956,0.00020317078451626003
1957,0.00019619755039457232
1958,0.0002020119718508795
1959,0.0002047763264272362
1960,0.0002283672074554488
1961,0.00021742862008977681
1962,0.000218313216464594
1963,0.00023042154498398304
1964,0.00024079708964563906
1965,0.00023897437495179474
1966,0.00025455979630351067
1967,0.0002646407810971141
1968,0.00026773993158712983
1969,0.00026940167299471796
1970,0.0002735431189648807
1971,0.0002738994371611625
1972,0.0002675638534128666
1973,0.0002774173626676202
1974,0.00028394695254974067
1975,0.0002825364063028246
1976,0.00028376842965371907
1977,0.000284775800537318
1978,0.0002876922953873873
1979,0.00028676309739239514
1980,0.00029796946910209954
1981,0.00029102436383254826
1982,0.00029692286625504494
1983,0.0002901808766182512
1984,0.0002950236084870994
1985,0.0002878964296542108
1986,0.00030305772088468075
1987,0.000297079561278224
1988,0.00030634095310233533
1989,0.0003061160387005657
1990,0.0003134369617328048
1991,0.0003127089003100991
1992,0.0003150299016851932
1993,0.00031889797537587583
1994,0.0003182646178174764
1995,0.00031536794267594814
1996,0.0003134574508294463
1997,0.0003101929905824363
1998,0.0003146766102872789
1999,0.00030733775929547846
2000,0.0002989965723827481
2001,0.00029678057762794197
2002,0.000305564230075106
2003,0.00029345633811317384
2004,0.00028546724934130907
2005,0.00028988433768972754
2006,0.00027574977139011025
2007,0.0002811411686707288
2008,0.00026158519904129207
2009,0.00024220415798481554
2010,0.00023421747027896345
2011,0.00021414256480056792
2012,0.0001918856578413397
2013,0.00021410168847069144
2014,0.00020559062249958515
2015,0.0002179940784117207
2016,0.00023101927945390344
2017,0.00019283220171928406
2018,0.00018401106353849173
2019,0.00019712474022526294
