,had
1800,0.003151088720187545
1801,0.0026961704716086388
1802,0.003049006685614586
1803,0.00284309103153646
1804,0.0030641264747828245
1805,0.003142082132399082
1806,0.003056664951145649
1807,0.002835772465914488
1808,0.0029239151626825333
1809,0.0029495046474039555
1810,0.0029026768170297146
1811,0.0030719595961272717
1812,0.0037999784108251333
1813,0.0029449050780385733
1814,0.0036204904317855835
1815,0.0034966161474585533
1816,0.0036157676950097084
1817,0.0034493673592805862
1818,0.0032437837217003107
1819,0.0028924590442329645
1820,0.003563827369362116
1821,0.0032080316450446844
1822,0.0031215022318065166
1823,0.0031988322734832764
1824,0.0031980799976736307
1825,0.0033003187272697687
1826,0.003318100469186902
1827,0.0034412320237606764
1828,0.0032203642185777426
1829,0.0031921714544296265
1830,0.003182576270774007
1831,0.0033345078118145466
1832,0.0029304816853255033
1833,0.003408932825550437
1834,0.0031918648164719343
1835,0.0031475007999688387
1836,0.0031740523409098387
1837,0.0030803431291133165
1838,0.003109569428488612
1839,0.003156179329380393
1840,0.003190433606505394
1841,0.003148457268252969
1842,0.0030813440680503845
1843,0.0031460016034543514
1844,0.003209649585187435
1845,0.003063148120418191
1846,0.0031698253005743027
1847,0.0031567278783768415
1848,0.0031736481469124556
1849,0.0032796829473227262
1850,0.0030857729725539684
1851,0.0030131058301776648
1852,0.0030629548709839582
1853,0.0031687216833233833
1854,0.003033427055925131
1855,0.0031381146982312202
1856,0.0031146074179559946
1857,0.003069080878049135
1858,0.0030522802844643593
1859,0.0029139891266822815
1860,0.0030152155086398125
1861,0.0029525253921747208
1862,0.0029518669471144676
1863,0.0029606742318719625
1864,0.003069644793868065
1865,0.0030459954869002104
1866,0.002995389048010111
1867,0.002923408756032586
1868,0.0028880781028419733
1869,0.00296982959844172
1870,0.002880414482206106
1871,0.0029329871758818626
1872,0.0029186634346842766
1873,0.0028150416910648346
1874,0.002781810238957405
1875,0.0029035178013145924
1876,0.0028471839614212513
1877,0.0028471210971474648
1878,0.0027638953179121017
1879,0.0028484489303082228
1880,0.0028684770222753286
1881,0.0027617875020951033
1882,0.0028236645739525557
1883,0.0028086781967431307
1884,0.002693328307941556
1885,0.002711516572162509
1886,0.0026540893595665693
1887,0.0026333797723054886
1888,0.0027314990293234587
1889,0.002509130397811532
1890,0.0025578374043107033
1891,0.0024695240426808596
1892,0.002536725951358676
1893,0.0025809770449995995
1894,0.0025508615653961897
1895,0.002482923213392496
1896,0.0025995473843067884
1897,0.0024330378510057926
1898,0.0025245286524295807
1899,0.0026765475049614906
1900,0.002584247849881649
1901,0.0024346676655113697
1902,0.0023883956018835306
1903,0.0023468637373298407
1904,0.002376183168962598
1905,0.002245336538180709
1906,0.0022627238649874926
1907,0.0022321573924273252
1908,0.0022098987828940153
1909,0.0020818347111344337
1910,0.002131842775270343
1911,0.00206165062263608
1912,0.002032314660027623
1913,0.0019702448043972254
1914,0.001930994912981987
1915,0.0018926201155409217
1916,0.0018899628194049
1917,0.0018254379974678159
1918,0.0018761007813736796
1919,0.0019696271046996117
1920,0.001985060516744852
1921,0.001890021376311779
1922,0.0020012131426483393
1923,0.001987023279070854
1924,0.0020031630992889404
1925,0.001973058795556426
1926,0.0020427636336535215
1927,0.001999978441745043
1928,0.0020128865726292133
1929,0.002009648596867919
1930,0.001975767547264695
1931,0.0019111831206828356
1932,0.001973498146981001
1933,0.001885663135908544
1934,0.001999106490984559
1935,0.0019370021764189005
1936,0.0019540360663086176
1937,0.0019020226318389177
1938,0.0018821278354153037
1939,0.0018142912304028869
1940,0.001866267411969602
1941,0.0017734229331836104
1942,0.0018132365075871348
1943,0.0018519264413043857
1944,0.0018694514874368906
1945,0.001858749776147306
1946,0.0020290499087423086
1947,0.0019362516468390822
1948,0.0018749118316918612
1949,0.0017531458288431168
1950,0.0018266357947140932
1951,0.0018387549789622426
1952,0.001893749926239252
1953,0.001795082469470799
1954,0.0017970274202525616
1955,0.001807183725759387
1956,0.0017896039644256234
1957,0.0017739597242325544
1958,0.0017560689011588693
1959,0.0016811371315270662
1960,0.0017121941782534122
1961,0.0017001453088596463
1962,0.001720046391710639
1963,0.001668267883360386
1964,0.0016706644091755152
1965,0.0017019868828356266
1966,0.0017175156390294433
1967,0.0017036418430507183
1968,0.0017424800898879766
1969,0.0017359793419018388
1970,0.0016948499251157045
1971,0.0016873858403414488
1972,0.0015748603036627173
1973,0.0015110820531845093
1974,0.0015003770822659135
1975,0.0014334864681586623
1976,0.0014442100655287504
1977,0.0014024933334439993
1978,0.0014064223505556583
1979,0.0013962127268314362
1980,0.0014165305765345693
1981,0.0014344133669510484
1982,0.0014507279265671968
1983,0.0014269630191847682
1984,0.001448543043807149
1985,0.0014553408836945891
1986,0.001485049957409501
1987,0.0015038222773000598
1988,0.0015172328567132354
1989,0.0014942183624953032
1990,0.0014924266142770648
1991,0.0015267274575307965
1992,0.0015299497172236443
1993,0.001513554248958826
1994,0.0015137105947360396
1995,0.001486271503381431
1996,0.0015550010139122605
1997,0.0015841082204133272
1998,0.0016500784549862146
1999,0.0016902966890484095
2000,0.0018411403289064765
2001,0.0018880317220464349
2002,0.0019119289936497808
2003,0.001955354819074273
2004,0.00206375727429986
2005,0.002064325613901019
2006,0.0021508876234292984
2007,0.002262646099552512
2008,0.002445528982207179
2009,0.002651885850355029
2010,0.002775351982563734
2011,0.003008920466527343
2012,0.0027598594315350056
2013,0.0027782530523836613
2014,0.0032561200205236673
2015,0.003127569565549493
2016,0.0028983294032514095
2017,0.0031756823882460594
2018,0.0032092586625367403
2019,0.0031434681732207537
