,health
1800,7.604373968206346e-05
1801,8.934806101024151e-05
1802,7.265647582244128e-05
1803,7.092310261214152e-05
1804,7.895180897321552e-05
1805,7.887736865086481e-05
1806,7.599254604429007e-05
1807,7.838723831810057e-05
1808,7.601254037581384e-05
1809,6.950369424885139e-05
1810,6.731797475367785e-05
1811,7.186909351730719e-05
1812,6.570845289388672e-05
1813,6.574721192009747e-05
1814,7.314677350223064e-05
1815,6.765708531020209e-05
1816,6.864504393888637e-05
1817,7.481892680516466e-05
1818,7.563544932054356e-05
1819,7.047420513117686e-05
1820,7.546832057414576e-05
1821,7.590523455291986e-05
1822,7.430855475831777e-05
1823,7.544158142991364e-05
1824,8.196824637707323e-05
1825,7.450475095538422e-05
1826,7.366134377662092e-05
1827,7.957139314385131e-05
1828,7.589006418129429e-05
1829,7.460910273948684e-05
1830,8.039639214985073e-05
1831,7.93512663221918e-05
1832,6.532647967105731e-05
1833,8.17036343505606e-05
1834,7.687405013712123e-05
1835,8.571919170208275e-05
1836,7.883396028773859e-05
1837,7.808140071574599e-05
1838,8.019110100576654e-05
1839,7.964809628902003e-05
1840,7.795523561071604e-05
1841,7.490021380363032e-05
1842,8.28307747724466e-05
1843,8.38769119582139e-05
1844,8.085156878223643e-05
1845,7.739798456896096e-05
1846,7.832379196770489e-05
1847,8.409965084865689e-05
1848,8.396610792260617e-05
1849,8.089996117632836e-05
1850,8.658660226501524e-05
1851,7.804729830240831e-05
1852,7.977918721735477e-05
1853,7.698413537582383e-05
1854,7.907741382950917e-05
1855,8.220365998568013e-05
1856,7.897718023741618e-05
1857,8.431497553829104e-05
1858,8.150282519636676e-05
1859,8.200571028282866e-05
1860,7.886677485657856e-05
1861,7.864734652685001e-05
1862,7.598711090395227e-05
1863,7.2796072345227e-05
1864,7.445351366186514e-05
1865,7.405459473375231e-05
1866,7.628790626768023e-05
1867,7.545424887211993e-05
1868,7.379257294815034e-05
1869,7.701830327278003e-05
1870,7.239093247335404e-05
1871,7.765571353957057e-05
1872,7.262102008098736e-05
1873,7.672371430089697e-05
1874,7.977363566169515e-05
1875,7.916313916211948e-05
1876,7.616334187332541e-05
1877,7.047761755529791e-05
1878,7.149019802454859e-05
1879,7.935678877402097e-05
1880,7.486208050977439e-05
1881,7.921979704406112e-05
1882,7.946949335746467e-05
1883,7.834973075659946e-05
1884,8.169611828634515e-05
1885,8.200767479138449e-05
1886,8.239553426392376e-05
1887,8.179760334314778e-05
1888,7.756862760288641e-05
1889,7.811214163666591e-05
1890,7.672999345231801e-05
1891,7.756374543532729e-05
1892,7.56307490519248e-05
1893,7.434046710841358e-05
1894,7.879455370130017e-05
1895,7.529719005106017e-05
1896,7.654462388018146e-05
1897,8.117690595099702e-05
1898,7.747666677460074e-05
1899,8.065462316153571e-05
1900,8.072129276115447e-05
1901,8.198237628675997e-05
1902,8.098810212686658e-05
1903,8.373994205612689e-05
1904,8.35830214782618e-05
1905,8.258267189376056e-05
1906,7.824975909898058e-05
1907,7.861996709834784e-05
1908,8.213010733015835e-05
1909,8.944656292442232e-05
1910,9.115654393099248e-05
1911,9.068254439625889e-05
1912,9.69357934081927e-05
1913,0.00010278693662257865
1914,0.00010000565816881135
1915,0.00010732610826380551
1916,0.0001065499527612701
1917,0.00010526497499085963
1918,0.00010181595280300826
1919,0.00010971558367600664
1920,0.00010808146180352196
1921,0.00010364004992879927
1922,0.00010483714868314564
1923,0.00010671399650163949
1924,0.00011195515253348276
1925,0.00011101044219685718
1926,0.00011116233508801088
1927,0.00011897485819645226
1928,0.00010835129069164395
1929,0.00011200400331290439
1930,0.00011515629012137651
1931,0.00011433487816248089
1932,0.0001233108196174726
1933,0.00011166465992573649
1934,0.00010466787352925166
1935,0.00011012203322025016
1936,0.00011682864715112373
1937,0.00012082158355042338
1938,0.00012118662561988458
1939,0.00012700156366918236
1940,0.0001180828403448686
1941,0.0001221404381794855
1942,0.00012314197374507785
1943,0.00012783122656401247
1944,0.00013343074533622712
1945,0.000136991759063676
1946,0.00014279811875894666
1947,0.00013407399819698185
1948,0.00013281410792842507
1949,0.00014139841368887573
1950,0.00014291462139226496
1951,0.00011878872464876622
1952,0.00011590718349907547
1953,0.00012075236736563966
1954,0.00011618206917773932
1955,0.00011798164632637054
1956,0.00011427047138568014
1957,0.00011809280113084242
1958,0.00011198368156328797
1959,0.00012051258818246424
1960,0.0001221165293827653
1961,0.00011366586841177195
1962,0.0001093246100936085
1963,0.00011272243136772886
1964,0.00011652512330329046
1965,0.00011936121882172301
1966,0.00011858597281388938
1967,0.00013233876961749047
1968,0.00012227131810504943
1969,0.00013409585517365485
1970,0.00014916651707608253
1971,0.00016016836161725223
1972,0.000165027697221376
1973,0.000165282646776177
1974,0.0001843753270804882
1975,0.0001838357129599899
1976,0.00021179375471547246
1977,0.0001958497305167839
1978,0.00020780427439603955
1979,0.00020033115288242698
1980,0.00019949513080064207
1981,0.0001851524575613439
1982,0.0001748107315506786
1983,0.00017697787552606314
1984,0.00018038206326309592
1985,0.00018545574857853353
1986,0.0001868743565864861
1987,0.0001851770211942494
1988,0.00019924026855733246
1989,0.0001954025647137314
1990,0.00020538599346764386
1991,0.0002114655071636662
1992,0.00022255508520174772
1993,0.00023953871277626604
1994,0.0002601463347673416
1995,0.00022775244724471122
1996,0.00021774177730549127
1997,0.0002268731768708676
1998,0.00022565883409697562
1999,0.0002258486783830449
2000,0.00021647867106366903
