,help
1800,7.383330375887454e-05
1801,6.433967791963369e-05
1802,5.517047247849405e-05
1803,5.706526280846447e-05
1804,5.969003905192949e-05
1805,6.038573701516725e-05
1806,6.481810851255432e-05
1807,5.857153519173153e-05
1808,6.761275290045887e-05
1809,6.407233740901574e-05
1810,6.643778033321723e-05
1811,6.586874224012718e-05
1812,6.0532376664923504e-05
1813,5.243362102191895e-05
1814,5.575220347964205e-05
1815,6.121554179117084e-05
1816,6.235409819055349e-05
1817,5.739223342970945e-05
1818,5.4737814934924245e-05
1819,5.3417425078805536e-05
1820,6.748249870724976e-05
1821,6.520753959193826e-05
1822,6.146894884295762e-05
1823,6.191496504470706e-05
1824,6.52322851237841e-05
1825,6.102933548390865e-05
1826,5.7632576499599963e-05
1827,5.867844447493553e-05
1828,5.560579666052945e-05
1829,5.683317795046605e-05
1830,6.706238491460681e-05
1831,5.959492773399688e-05
1832,4.9346457672072574e-05
1833,5.994646198814735e-05
1834,5.9093265008414164e-05
1835,6.029245923855342e-05
1836,5.684855568688363e-05
1837,5.726186282117851e-05
1838,5.9749210777226835e-05
1839,6.230213330127299e-05
1840,5.930463157710619e-05
1841,6.129743997007608e-05
1842,6.234720785869285e-05
1843,6.187527469592169e-05
1844,6.872207450214773e-05
1845,5.940032497164793e-05
1846,6.0795588069595397e-05
1847,6.304154521785676e-05
1848,6.411693175323308e-05
1849,6.171326822368428e-05
1850,6.450458022300154e-05
1851,6.196108006406575e-05
1852,6.507481884909794e-05
1853,6.597970786970109e-05
1854,6.353135540848598e-05
1855,6.587186362594366e-05
1856,6.656787445535883e-05
1857,6.912946992088109e-05
1858,6.969685637159273e-05
1859,6.91351160639897e-05
1860,7.235373050207272e-05
1861,7.308324711630121e-05
1862,7.889801054261625e-05
1863,7.522081432398409e-05
1864,7.978398934938014e-05
1865,7.895997987361625e-05
1866,7.979262591106817e-05
1867,7.881750207161531e-05
1868,8.150776557158679e-05
1869,8.496152440784499e-05
1870,8.418158540735021e-05
1871,8.59428764670156e-05
1872,8.329301635967568e-05
1873,8.451304893242195e-05
1874,8.281590271508321e-05
1875,8.16166793811135e-05
1876,8.080647239694372e-05
1877,8.149179484462366e-05
1878,7.968550198711455e-05
1879,8.16308383946307e-05
1880,8.256990258814767e-05
1881,8.293222344946116e-05
1882,8.339939813595265e-05
1883,8.582154987379909e-05
1884,8.503900608047843e-05
1885,8.637645078124478e-05
1886,8.437024371232837e-05
1887,8.67448907229118e-05
1888,8.542046998627484e-05
1889,8.566623728256673e-05
1890,8.723618520889431e-05
1891,8.547442121198401e-05
1892,8.95912162377499e-05
1893,8.640016312710941e-05
1894,9.141988994088024e-05
1895,8.486660226481035e-05
1896,8.877582149580121e-05
1897,8.520348637830466e-05
1898,8.746198727749288e-05
1899,9.738797962199897e-05
1900,9.265208791475743e-05
1901,8.816580520942807e-05
1902,8.893373160390183e-05
1903,8.822276868158951e-05
1904,8.970442286226898e-05
1905,8.751359564485028e-05
1906,8.888465526979417e-05
1907,9.064201731234789e-05
1908,9.147243690676987e-05
1909,9.370681073050946e-05
1910,9.310102177551016e-05
1911,9.03532127267681e-05
1912,9.512800170341507e-05
1913,9.86941231531091e-05
1914,0.00010008089884649962
1915,0.00010175044008065015
1916,0.00010534151806496084
1917,0.00011144165910081938
1918,0.0001246283354703337
1919,0.00011901935067726299
1920,0.00011411746527301148
1921,0.00010917704639723524
1922,0.00010813259723363444
1923,0.00011128668847959489
1924,0.00011293531861156225
1925,0.00010588372242636979
1926,0.00010901115456363186
1927,0.00011357794573996216
1928,0.0001097970744012855
1929,0.00011510506737977266
1930,0.00011520388216013089
1931,0.00011375305621186271
1932,0.00011599644494708627
1933,0.00011018318764399737
1934,0.00011451159662101418
1935,0.00011046131839975715
1936,0.0001148775772890076
1937,0.00011372957669664174
1938,0.00011847636778838933
1939,0.00012061146117048338
1940,0.00012649522977881134
1941,0.00013130789739079773
1942,0.00015140909818001091
1943,0.00015509669901803136
1944,0.00015835079830139875
1945,0.00015149192768149078
1946,0.0001464133820263669
1947,0.0001466629619244486
1948,0.00014461795217357576
1949,0.0001386183430440724
1950,0.00014521207776851952
1951,0.00015239605272654444
1952,0.00015177999739535153
1953,0.00015273739700205624
1954,0.0001550476299598813
1955,0.00015956064453348517
1956,0.00016399819287471473
1957,0.00015948331565596163
1958,0.00016372735262848437
1959,0.0001584771671332419
1960,0.00015854364028200507
1961,0.00015780133253429085
1962,0.0001556437200633809
1963,0.00015547784278169274
1964,0.00015638666809536517
1965,0.0001585194404469803
1966,0.0001630878687137738
1967,0.00016192448674701154
1968,0.00015798637468833476
1969,0.00015816230734344572
1970,0.00015899578284006566
1971,0.00015595629520248622
1972,0.00015739926311653107
1973,0.00015621757484041154
1974,0.00015932983660604805
1975,0.00015652930596843362
1976,0.0001548371510580182
1977,0.00015798288222867996
1978,0.00015992946282494813
1979,0.000159983363118954
1980,0.0001650744816288352
1981,0.00016025995137169957
1982,0.00016410819080192596
1983,0.0001649380719754845
1984,0.0001681722205830738
1985,0.00016592063184361905
1986,0.00017212284728884697
1987,0.0001715678081382066
1988,0.0001759867009241134
1989,0.00017555765225552022
1990,0.00018106692004948854
1991,0.00018304538389202207
1992,0.00018600418115966022
1993,0.00018442266446072608
1994,0.000190815917449072
1995,0.0001878475013654679
1996,0.0001938992936629802
1997,0.00020150942145846784
1998,0.00020371506980154663
1999,0.00020971546473447233
2000,0.0002183970354963094
2001,0.00021984237537253648
2002,0.00022732240904588252
2003,0.00022933400759939104
2004,0.00023660298029426485
2005,0.00024273271264974028
2006,0.00024101912276819348
2007,0.00024551598471589386
2008,0.00025216807262040675
2009,0.00027848067111335695
2010,0.0002922091807704419
2011,0.00030505680479109287
2012,0.00028409934020601213
2013,0.0002837068750523031
2014,0.00031626335112378
2015,0.00031198974465951324
2016,0.0002998601703438908
2017,0.0002968045591842383
2018,0.0002807862183544785
2019,0.0003154488804284483
