,hotels
1800,9.048101219377713e-07
1801,4.982234145245457e-07
1802,6.980942544032587e-07
1803,7.693998327340523e-07
1804,5.330628596311726e-07
1805,4.527942394361162e-07
1806,6.953309252821782e-07
1807,5.701899681298528e-07
1808,9.052357654582011e-07
1809,4.94089249514218e-07
1810,4.2032544911307923e-07
1811,5.56869281354011e-07
1812,2.254323163697336e-07
1813,3.9359539982797287e-07
1814,4.446263233148784e-07
1815,7.870211220506462e-07
1816,7.441049660883436e-07
1817,6.655316724391014e-07
1818,6.584166953871318e-07
1819,6.030376766830159e-07
1820,6.225057518349786e-07
1821,7.770113370497711e-07
1822,6.29145063157921e-07
1823,6.902598670421867e-07
1824,5.624248728963721e-07
1825,8.1137216056959e-07
1826,7.256306844283245e-07
1827,9.285128612646076e-07
1828,8.65932349825016e-07
1829,1.1422046100051375e-06
1830,9.223127221957839e-07
1831,1.0155813470191788e-06
1832,1.5318387340812478e-06
1833,2.158838469767943e-06
1834,1.2751650046993745e-06
1835,1.5664094235035009e-06
1836,1.3775519391856506e-06
1837,1.7925220845427248e-06
1838,1.8503563978811144e-06
1839,2.068611138383858e-06
1840,1.5211041954898974e-06
1841,2.1558207663474604e-06
1842,2.2433578124037012e-06
1843,1.8105862409356632e-06
1844,1.8863864852391998e-06
1845,1.588742520652886e-06
1846,1.667166884544713e-06
1847,1.887684220491792e-06
1848,1.7934708012035117e-06
1849,2.206931185355643e-06
1850,2.026586116699036e-06
1851,2.2057727164792595e-06
1852,2.343581172681297e-06
1853,3.122190946669434e-06
1854,2.9103764518367825e-06
1855,3.0208011594368145e-06
1856,2.9254813398438273e-06
1857,2.638621253936435e-06
1858,2.7063601919508073e-06
1859,2.848884605555213e-06
1860,3.115006393272779e-06
1861,2.696362798815244e-06
1862,3.8125347145978594e-06
1863,3.6437318158277776e-06
1864,2.8607678359549027e-06
1865,3.423664793444914e-06
1866,3.6460760384215973e-06
1867,3.890386778948596e-06
1868,3.5345417472854024e-06
1869,3.567173280316638e-06
1870,4.342506144894287e-06
1871,4.046496542287059e-06
1872,3.6951446418242995e-06
1873,4.290548531571403e-06
1874,4.634841388906352e-06
1875,4.708709639089648e-06
1876,4.565311428450514e-06
1877,4.9639334065432195e-06
1878,4.956773409503512e-06
1879,4.782605174113996e-06
1880,4.6429454414465e-06
1881,5.283148311718833e-06
1882,4.74129592475947e-06
1883,5.425513336376753e-06
1884,5.004283138987375e-06
1885,4.810942755284486e-06
1886,4.8497458919882774e-06
1887,4.925497705698945e-06
1888,5.127223175804829e-06
1889,5.395588232204318e-06
1890,5.12687483933405e-06
1891,5.307111678121146e-06
1892,5.63035382583621e-06
1893,6.158488758956082e-06
1894,6.70429881211021e-06
1895,5.366011464502662e-06
1896,5.0865519369835965e-06
1897,5.8628029364626855e-06
1898,5.682225037162425e-06
1899,5.390704245655797e-06
1900,5.639066785079194e-06
1901,5.412190148490481e-06
1902,5.862582838744856e-06
1903,6.022010893502738e-06
1904,6.2930539570515975e-06
1905,6.1818827816750854e-06
1906,6.883558853587601e-06
1907,6.824258434789954e-06
1908,6.818747351644561e-06
1909,7.590179393446306e-06
1910,6.714130904583726e-06
1911,7.250780072354246e-06
1912,7.151489171519643e-06
1913,8.234223969338927e-06
1914,7.52911500967457e-06
1915,7.951830411911942e-06
1916,7.867315616749693e-06
1917,8.231890205934178e-06
1918,8.105079359665979e-06
1919,8.456753676000517e-06
1920,8.213220098696183e-06
1921,8.252042789536063e-06
1922,8.170804903784301e-06
1923,8.487629202136304e-06
1924,9.32979310164228e-06
1925,8.409843758272473e-06
1926,8.801673175184987e-06
1927,8.428724868281279e-06
1928,7.979345355124678e-06
1929,8.803518539934885e-06
1930,9.232736374542583e-06
1931,8.699903446540702e-06
1932,7.625008038303349e-06
1933,7.713820195931476e-06
1934,7.597551757498877e-06
1935,7.34848617867101e-06
1936,8.031961442611646e-06
1937,7.909995474619791e-06
1938,8.322108442371245e-06
1939,7.766028829792049e-06
1940,6.9773027462360915e-06
1941,8.072521268331911e-06
1942,6.935998044355074e-06
1943,7.899548108980525e-06
1944,7.84169060352724e-06
1945,7.84254734753631e-06
1946,8.176484698196873e-06
1947,8.256661203631666e-06
1948,8.750566848902963e-06
1949,7.774034202157054e-06
1950,8.60131603985792e-06
