,how
1800,0.0004219510592520237
1801,0.00042923769797198474
1802,0.00035310533712618053
1803,0.0003575490554794669
1804,0.00039700831985101104
1805,0.00036448720493353903
1806,0.00040306587470695376
1807,0.00036286289105191827
1808,0.00047680659918114543
1809,0.00040937375160865486
1810,0.00040450537926517427
1811,0.00042283348739147186
1812,0.00039535763789899647
1813,0.00034878196311183274
1814,0.00036934830131940544
1815,0.0003669523575808853
1816,0.0003963173949159682
1817,0.00035964747075922787
1818,0.0003536414005793631
1819,0.0003405299212317914
1820,0.00041284484905190766
1821,0.000404431892093271
1822,0.0003973976999986917
1823,0.0003992859274148941
1824,0.0004147024010308087
1825,0.00040283799171447754
1826,0.0003747754672076553
1827,0.0003665625990834087
1828,0.0003660491784103215
1829,0.00036558840656653047
1830,0.0004086701956111938
1831,0.00038049466093070805
1832,0.000334155309246853
1833,0.0003998374450020492
1834,0.0003730140451807529
1835,0.00038455770118162036
1836,0.0003786668530665338
1837,0.0003781157429330051
1838,0.00038646996836178005
1839,0.0003964624193031341
1840,0.00038425877573899925
1841,0.00038437615148723125
1842,0.00038109871093183756
1843,0.0003990443074144423
1844,0.0004164588754065335
1845,0.00037674271152354777
1846,0.00038278967258520424
1847,0.00037823760067112744
1848,0.00040119976620189846
1849,0.0003857249394059181
1850,0.0003927097131963819
1851,0.0003777559904847294
1852,0.0003808721958193928
1853,0.00038887292612344027
1854,0.0003781832056120038
1855,0.0003713606856763363
1856,0.00037937916931696236
1857,0.0003829659544862807
1858,0.00038036523619666696
1859,0.00037897436413913965
1860,0.000388879154343158
1861,0.00037584122037515044
1862,0.0003894227556884289
1863,0.00037672233884222806
1864,0.0003774473734665662
1865,0.0003784386208280921
1866,0.00038069533184170723
1867,0.00036912027280777693
1868,0.00038010114803910255
1869,0.0003926749050151557
1870,0.0003758793754968792
1871,0.000382816419005394
1872,0.0003894604742527008
1873,0.000375739939045161
1874,0.00036844887654297054
1875,0.0003631551517173648
1876,0.0003587293322198093
1877,0.00035516629577614367
1878,0.00034539125044830143
1879,0.00035130869946442544
1880,0.00033991853706538677
1881,0.00034277397207915783
1882,0.0003476293641142547
1883,0.00035008075064979494
1884,0.0003371989296283573
1885,0.00032896720222197473
1886,0.00031801138538867235
1887,0.00032605952583253384
1888,0.0003264737024437636
1889,0.0003281309036538005
1890,0.0003214665048290044
1891,0.0003223738167434931
1892,0.0003247346030548215
1893,0.000322243373375386
1894,0.00032245193142443895
1895,0.0003067124052904546
1896,0.00031677374499849975
1897,0.0003017221752088517
1898,0.00030346374842338264
1899,0.00034131272695958614
1900,0.00032133201602846384
1901,0.0003029024519491941
1902,0.0002984956372529268
1903,0.00029563219868578017
1904,0.0002994085953105241
1905,0.0002847636351361871
1906,0.00028882373590022326
1907,0.0002820806985255331
1908,0.00028429541271179914
1909,0.00028993707383051515
1910,0.00027583405608311296
1911,0.0002718715404625982
1912,0.0002791123988572508
1913,0.0002722838835325092
1914,0.0002699857286643237
1915,0.00026249425718560815
1916,0.0002692662528716028
1917,0.0002678372256923467
1918,0.00027007056633010507
1919,0.00027564994525164366
1920,0.00027872921782545745
1921,0.00026718416484072804
1922,0.00026827739202417433
1923,0.0002749015693552792
1924,0.00028341557481326163
1925,0.00027049638447351754
1926,0.0002738690236583352
1927,0.0002766705583781004
1928,0.0002690060355234891
1929,0.00026963630807586014
1930,0.0002693553688004613
1931,0.00025697812088765204
1932,0.0002617850841488689
1933,0.0002502540301065892
1934,0.00026270057423971593
1935,0.0002617725112941116
1936,0.00026127940509468317
1937,0.00025622587418183684
1938,0.0002557409752625972
1939,0.0002523418515920639
1940,0.00025330763310194016
1941,0.00025257159722968936
1942,0.0002716477611102164
1943,0.0002751879801508039
1944,0.00027983967447653413
1945,0.0002763805678114295
1946,0.0002832809987012297
1947,0.00028382547316141427
1948,0.00028210808522999287
1949,0.0002646392094902694
1950,0.00027672803844325244
1951,0.000284797657513991
1952,0.0002955209056381136
1953,0.0002840840897988528
1954,0.0002790169382933527
1955,0.00028643268160521984
1956,0.0002896793303079903
1957,0.00028405466582626104
1958,0.00028296539676375687
1959,0.0002750649582594633
1960,0.0002750334097072482
1961,0.00027813547058030963
1962,0.0002785943797789514
1963,0.00027812167536467314
1964,0.0002780662616714835
1965,0.0002784742973744869
1966,0.0002875163045246154
1967,0.00028759671840816736
1968,0.000294579571345821
1969,0.00029610353522002697
1970,0.00029670505318790674
1971,0.0002857349463738501
1972,0.0002880620595533401
1973,0.0002845899434760213
1974,0.00029433349845930934
1975,0.00028777465922757983
1976,0.0002875456993933767
1977,0.0002934990916401148
1978,0.00029421583167277277
1979,0.00029435011674650013
1980,0.00030152563704177737
1981,0.0002964187297038734
1982,0.0003049912629649043
1983,0.0003102575719822198
1984,0.0003163958026561886
1985,0.0003141894412692636
1986,0.0003302871191408485
1987,0.000332901778165251
1988,0.00034234579652547836
1989,0.0003450502408668399
1990,0.0003558711032383144
1991,0.00036400716635398567
1992,0.0003701784589793533
1993,0.00037569552659988403
1994,0.00039081674185581505
1995,0.0003915159613825381
1996,0.00040916813304647803
1997,0.00042888103052973747
1998,0.00043862994061782956
1999,0.0004531986196525395
2000,0.0004769964434672147
2001,0.00048468366730958223
2002,0.0005153025849722326
2003,0.0005256793810985982
2004,0.0005422892281785607
2005,0.0005570086650550365
2006,0.0005677714361809194
2007,0.000587840040680021
2008,0.0006114362040534616
2009,0.0006693095783703029
2010,0.0006992345442995429
2011,0.0007194209028966725
2012,0.0006789134931750596
2013,0.0006972017581574619
2014,0.0007547527784481645
