,i
1800,0.00031190551817417145
1801,0.0003690093581099063
1802,0.00035874475724995136
1803,0.00029781536431983113
1804,0.00033649266697466373
1805,0.00040677940705791116
1806,0.0003080537135247141
1807,0.000360861886292696
1808,0.0002904807042796165
1809,0.0003254292532801628
1810,0.00027252905420027673
1811,0.00029097573133185506
1812,0.00028005405329167843
1813,0.0003381319984328002
1814,0.00027925815084017813
1815,0.00026553525822237134
1816,0.0002853330224752426
1817,0.0003092308761551976
1818,0.0002678106538951397
1819,0.0002852035395335406
1820,0.0002561233122833073
1821,0.00027515474357642233
1822,0.0002657927689142525
1823,0.00026168482145294547
1824,0.0002567815827205777
1825,0.0002560032007750124
1826,0.00027985451743006706
1827,0.0002556283143348992
1828,0.00032866784022189677
1829,0.00023816416796762496
1830,0.0002227194927399978
1831,0.0002021531981881708
1832,0.00018444833403918892
1833,0.00021125261264387518
1834,0.0001932437444338575
1835,0.0001846867089625448
1836,0.00022427827934734523
1837,0.00021681493672076613
1838,0.00019919511396437883
1839,0.00019906532543245703
1840,0.0002199974114773795
1841,0.00021092849783599377
1842,0.00021430088963825256
1843,0.00021730897424276918
1844,0.00021500543516594917
1845,0.0002779588394332677
1846,0.00022692701895721257
1847,0.00021213962463662028
1848,0.00020125180890318006
1849,0.00021144264610484242
1850,0.0002573594683781266
1851,0.0002184599288739264
1852,0.00022872939007356763
1853,0.00022253186034504324
1854,0.0002474759239703417
1855,0.00022271674242801964
1856,0.00023239536676555872
1857,0.00022951833670958877
1858,0.00022199210070539266
1859,0.0002312171272933483
1860,0.00022616598289459944
1861,0.0002192533720517531
1862,0.0002276828308822587
1863,0.00021759833907708526
1864,0.00020975616644136608
1865,0.00021108427608851343
1866,0.00021938276768196374
1867,0.0002204020565841347
1868,0.00021894933888688684
1869,0.00023261754540726542
1870,0.00021115240815561265
1871,0.0002158002753276378
1872,0.00022289244225248694
1873,0.00022801049635745585
1874,0.00021179730538278818
1875,0.00022347021149471402
1876,0.00021302929962985218
1877,0.00022272659407462925
1878,0.00020368823606986552
1879,0.0002086328313453123
1880,0.00024603671045042574
1881,0.00022380915470421314
1882,0.00021309070871211588
1883,0.00021822199050802737
1884,0.00021394460054580122
1885,0.0002223893825430423
1886,0.00022561324294656515
1887,0.00020822626538574696
1888,0.00020411029981914908
1889,0.00020485700224526227
1890,0.00020465969282668084
1891,0.00020828878041356802
1892,0.00020707168732769787
1893,0.00020322392811067402
1894,0.00019910199625883251
1895,0.00019370352674741298
1896,0.00020164855231996626
1897,0.00020147355098742992
1898,0.00019642830011434853
1899,0.0001881827338365838
1900,0.0001863700890680775
1901,0.00020659557776525617
1902,0.0002164044271921739
1903,0.00020111899357289076
1904,0.00019364232139196247
1905,0.00019074634474236518
1906,0.00018609083781484514
1907,0.000186706762178801
1908,0.00019398322911001742
1909,0.000183303898666054
1910,0.00018264740356244147
1911,0.00019388202053960413
1912,0.0001660690177232027
1913,0.0001792187977116555
1914,0.00016010159743018448
1915,0.0001510124420747161
1916,0.00015178085595835
1917,0.00015467707999050617
1918,0.0001506414555478841
1919,0.00015845494635868818
1920,0.0001601012918399647
1921,0.0001595218782313168
1922,0.0001684046146692708
1923,0.00016838184092193842
1924,0.0001634660002309829
1925,0.00016226594743784517
1926,0.00016018391761463135
1927,0.00015586960944347084
1928,0.00015060752048157156
1929,0.0001452352589694783
1930,0.00014970751362852752
1931,0.0001478167687309906
1932,0.00014121760614216328
1933,0.000144999532494694
1934,0.0001456548779970035
1935,0.00014407325943466276
1936,0.00015135254943743348
1937,0.00014645962801296264
1938,0.00014451416791416705
1939,0.00014742484199814498
1940,0.00014297469169832766
1941,0.00015044983592815697
1942,0.0001451431162422523
1943,0.00015009628259576857
1944,0.0001564637350384146
1945,0.00015323863772209734
1946,0.0001627960882615298
1947,0.00015584033099003136
1948,0.000158981594722718
1949,0.00015921989688649774
1950,0.00016908446559682488
1951,0.0001577806397108361
1952,0.00016458665777463466
1953,0.0001668850309215486
1954,0.00016683251305948943
1955,0.00015903179883025587
1956,0.0001607390440767631
1957,0.0001672000071266666
1958,0.00016799697186797857
1959,0.0001751304662320763
1960,0.00017760065384209156
1961,0.00018687595729716122
1962,0.00020047648285981268
1963,0.0002031174226431176
1964,0.00021534691040869802
1965,0.00021408633620012552
1966,0.00020002522796858102
1967,0.00019857595907524228
1968,0.00020302706980146468
1969,0.00019757982227019966
1970,0.00020237198623362929
1971,0.00020393769955262542
1972,0.00019973228336311877
1973,0.00020291990949772298
1974,0.00020770213450305164
1975,0.00020834553288295865
1976,0.00020756926096510142
1977,0.00020429692813195288
1978,0.00020370942365843803
1979,0.0002088426990667358
1980,0.00020102471171412617
1981,0.00020755860896315426
1982,0.00020442868117243052
1983,0.0002069308829959482
1984,0.00021090058726258576
1985,0.00021596395527012646
1986,0.00021356416982598603
1987,0.00021762930555269122
1988,0.00021833853679709136
1989,0.00021341798128560185
1990,0.00019124793470837176
1991,0.00018298851500730962
1992,0.00018229972920380533
1993,0.00017611288058105856
1994,0.00018378418462816626
1995,0.00018689224089030176
1996,0.00017721026961226016
1997,0.00018259802891407162
1998,0.00017136319365818053
1999,0.0001765470951795578
2000,0.00017178196867462248
2001,0.00017914941417984664
2002,0.00017506969743408263
2003,0.00017960766854230314
2004,0.00017200791626237333
2005,0.0001794167037587613
2006,0.00017609880887903273
2007,0.00017269159434363246
2008,0.00017982779536396265
2009,0.0001740288716973737
2010,0.00017621963343117386
2011,0.00017631980881560594
2012,0.00017626865883357823
2013,0.00017855908663477749
2014,0.00016903878713492304
2015,0.00015433895168825984
2016,0.00018038289272226393
2017,0.00023180546122603118
2018,0.0002564968017395586
2019,0.00019547618285287172
