,if
1800,0.0013784148031845689
1801,0.0013520243810489774
1802,0.001307223574258387
1803,0.0012893873499706388
1804,0.0012995812576264143
1805,0.001286364160478115
1806,0.0013303105952218175
1807,0.0013432287378236651
1808,0.0015021860599517822
1809,0.001492817304097116
1810,0.001354993088170886
1811,0.0015101191820576787
1812,0.0015295747434720397
1813,0.0013887021923437715
1814,0.001392909325659275
1815,0.0013473902363330126
1816,0.0014884856063872576
1817,0.0013766587944701314
1818,0.0013464634539559484
1819,0.0013231299817562103
1820,0.0014616374392062426
1821,0.001393430749885738
1822,0.0014252997934818268
1823,0.0014182167360559106
1824,0.0014527542516589165
1825,0.0014096058439463377
1826,0.001437699538655579
1827,0.0013715769164264202
1828,0.0013639205135405064
1829,0.0013534195022657514
1830,0.0014461760874837637
1831,0.0014008565340191126
1832,0.001360111404210329
1833,0.0014110564952716231
1834,0.0014013081090524793
1835,0.0013695198576897383
1836,0.0014084388967603445
1837,0.001383256632834673
1838,0.0013917137403041124
1839,0.0013847950613126159
1840,0.0013617145596072078
1841,0.0013604232808575034
1842,0.0013421407202258706
1843,0.0013840534957125783
1844,0.0013979666400700808
1845,0.0013534319587051868
1846,0.0013842327753081918
1847,0.0013552941381931305
1848,0.0013531249715015292
1849,0.0013395424466580153
1850,0.0013625866267830133
1851,0.0013537483755499125
1852,0.0013505712850019336
1853,0.0014008465223014355
1854,0.0013076612958684564
1855,0.0013235692167654634
1856,0.0013036903692409396
1857,0.001293559675104916
1858,0.0012875688262283802
1859,0.0012798436218872666
1860,0.001330502680502832
1861,0.0013111267471686006
1862,0.0013225481379777193
1863,0.001295571681112051
1864,0.001332269748672843
1865,0.0013103638775646687
1866,0.00132636574562639
1867,0.0012980253668501973
1868,0.001316575799137354
1869,0.0013154984917491674
1870,0.0013213452184572816
1871,0.0013247134629637003
1872,0.0013297346886247396
1873,0.0012885576579719782
1874,0.0012858167756348848
1875,0.00127606769092381
1876,0.001271903282031417
1877,0.0012670800788328052
1878,0.0012549706734716892
1879,0.0012522732140496373
1880,0.0012213991722092032
1881,0.0012306809658184648
1882,0.0012607502285391092
1883,0.0012446678010746837
1884,0.001243657199665904
1885,0.001216040924191475
1886,0.0012221017386764288
1887,0.0012243065284565091
1888,0.0012226520339027047
1889,0.0011932734632864594
1890,0.0011918084928765893
1891,0.001158814411610365
1892,0.001196299446746707
1893,0.0011705700308084488
1894,0.0012072600657120347
1895,0.0011392566375434399
1896,0.001160835730843246
1897,0.0011209325166419148
1898,0.0011262967018410563
1899,0.0011574792442843318
1900,0.001143402885645628
