,international
1800,1.0000533166021341e-06
1801,3.118959455150616e-07
1802,2.6073399794768193e-07
1803,5.158148610462376e-07
1804,2.6003067432611715e-07
1805,2.2791657272591692e-07
1806,3.8083496178842324e-07
1807,4.954459313921689e-07
1808,3.162871848871873e-07
1809,3.239632917484414e-07
1810,1.1423478696315215e-07
1811,1.4827881500423246e-07
1812,1.5704273437222582e-07
1813,2.6697361477090453e-07
1814,5.266606990517175e-07
1815,5.397193945100298e-07
1816,3.842731928216381e-07
1817,8.483700071337807e-07
1818,6.98976236890303e-07
1819,6.429739869417972e-07
1820,4.881692348135402e-07
1821,1.2181532156319008e-06
1822,5.039473194301536e-07
1823,1.1607509122768533e-06
1824,7.316022561099089e-07
1825,1.1231696817048942e-06
1826,1.7187023786391364e-06
1827,1.1294246178294998e-06
1828,1.4163355217533535e-06
1829,1.0277352657794836e-06
1830,9.559844329487532e-07
1831,1.190122247862746e-06
1832,5.4248930609901436e-06
1833,1.1721505188688752e-06
1834,1.5151118759604287e-06
1835,1.5008444052000414e-06
1836,2.4808637135720346e-06
1837,1.8622926063471823e-06
1838,2.3776053694746224e-06
1839,2.5782765078474768e-06
1840,2.8806655336666154e-06
1841,2.998380750796059e-06
1842,2.7579137622524286e-06
1843,3.870379259751644e-06
1844,2.9777572763123317e-06
1845,2.9654825084435288e-06
1846,3.3549897580087418e-06
1847,3.3424819321226096e-06
1848,3.664024916361086e-06
1849,3.659652747955988e-06
1850,3.6658427688962547e-06
1851,3.2424322853330523e-06
1852,3.7914855965937022e-06
1853,3.00755095850036e-06
1854,3.66047697752947e-06
1855,3.5159505387127865e-06
1856,5.484770554176066e-06
1857,4.200441708235303e-06
1858,6.571854100911878e-06
1859,3.8007160583219957e-06
1860,4.427049134392291e-06
1861,7.154010745580308e-06
1862,9.596805284672882e-06
1863,8.300655281345826e-06
1864,9.59138196776621e-06
1865,7.733083293715026e-06
1866,8.098159014480188e-06
1867,6.687271707050968e-06
1868,9.713566214486491e-06
1869,9.089649211091455e-06
1870,1.1553801414265763e-05
1871,9.634425623517018e-06
1872,1.3555513760366011e-05
